forecast_date,target,target_end_date,quantile,type,value,location
2021-03-15,1 wk ahead cum death,2021-03-20,0.025,quantile,541823.9871745036,US
2021-03-15,1 wk ahead cum death,2021-03-20,0.25,quantile,543354.3727357957,US
2021-03-15,1 wk ahead cum death,2021-03-20,0.75,quantile,545263.070320715,US
2021-03-15,1 wk ahead cum death,2021-03-20,0.975,quantile,547370.3569035416,US
2021-03-15,1 wk ahead cum death,2021-03-20,NA,point,544157.3706721424,US
2021-03-15,1 wk ahead inc death,2021-03-20,0.025,quantile,7510.987174503668,US
2021-03-15,1 wk ahead inc death,2021-03-20,0.25,quantile,9041.372735795492,US
2021-03-15,1 wk ahead inc death,2021-03-20,0.75,quantile,10950.070320715025,US
2021-03-15,1 wk ahead inc death,2021-03-20,0.975,quantile,13057.356903541735,US
2021-03-15,1 wk ahead inc death,2021-03-20,NA,point,9844.370672142291,US
2021-03-15,2 wk ahead cum death,2021-03-27,0.025,quantile,548381.362232662,US
2021-03-15,2 wk ahead cum death,2021-03-27,0.25,quantile,551538.6929444926,US
2021-03-15,2 wk ahead cum death,2021-03-27,0.75,quantile,555619.5487894014,US
2021-03-15,2 wk ahead cum death,2021-03-27,0.975,quantile,560239.6762503464,US
2021-03-15,2 wk ahead cum death,2021-03-27,NA,point,553195.353925941,US
2021-03-15,2 wk ahead inc death,2021-03-27,0.025,quantile,6557.375058158456,US
2021-03-15,2 wk ahead inc death,2021-03-27,0.25,quantile,8184.320208697169,US
2021-03-15,2 wk ahead inc death,2021-03-27,0.75,quantile,10356.478468686626,US
2021-03-15,2 wk ahead inc death,2021-03-27,0.975,quantile,12869.319346804594,US
2021-03-15,2 wk ahead inc death,2021-03-27,NA,point,9037.983253798851,US
2021-03-15,3 wk ahead cum death,2021-04-03,0.025,quantile,554184.6676526191,US
2021-03-15,3 wk ahead cum death,2021-04-03,0.25,quantile,559086.6656640158,US
2021-03-15,3 wk ahead cum death,2021-04-03,0.75,quantile,565817.7423071006,US
2021-03-15,3 wk ahead cum death,2021-04-03,0.975,quantile,573744.0991896024,US
2021-03-15,3 wk ahead cum death,2021-04-03,NA,point,561658.758858495,US
2021-03-15,3 wk ahead inc death,2021-04-03,0.025,quantile,5803.305419956771,US
2021-03-15,3 wk ahead inc death,2021-04-03,0.25,quantile,7547.972719523297,US
2021-03-15,3 wk ahead inc death,2021-04-03,0.75,quantile,10198.193517698794,US
2021-03-15,3 wk ahead inc death,2021-04-03,0.975,quantile,13504.422939255861,US
2021-03-15,3 wk ahead inc death,2021-04-03,NA,point,8463.404932554035,US
2021-03-15,4 wk ahead cum death,2021-04-10,0.025,quantile,559405.4726863321,US
2021-03-15,4 wk ahead cum death,2021-04-10,0.25,quantile,566224.7854051332,US
2021-03-15,4 wk ahead cum death,2021-04-10,0.75,quantile,576677.2867476563,US
2021-03-15,4 wk ahead cum death,2021-04-10,0.975,quantile,589778.7688527564,US
2021-03-15,4 wk ahead cum death,2021-04-10,NA,point,569802.8994301234,US
2021-03-15,4 wk ahead inc death,2021-04-10,0.025,quantile,5220.805033713264,US
2021-03-15,4 wk ahead inc death,2021-04-10,0.25,quantile,7138.119741117357,US
2021-03-15,4 wk ahead inc death,2021-04-10,0.75,quantile,10859.544440555946,US
2021-03-15,4 wk ahead inc death,2021-04-10,0.975,quantile,16034.669663154249,US
2021-03-15,4 wk ahead inc death,2021-04-10,NA,point,8144.140571628369,US
2021-03-15,5 wk ahead cum death,2021-04-17,0.025,quantile,564195.0527601155,US
2021-03-15,5 wk ahead cum death,2021-04-17,0.25,quantile,573209.072289949,US
2021-03-15,5 wk ahead cum death,2021-04-17,0.75,quantile,590085.435324976,US
2021-03-15,5 wk ahead cum death,2021-04-17,0.975,quantile,613235.0629813654,US
2021-03-15,5 wk ahead cum death,2021-04-17,NA,point,577938.7556218648,US
2021-03-15,5 wk ahead inc death,2021-04-17,0.025,quantile,4789.580073783414,US
2021-03-15,5 wk ahead inc death,2021-04-17,0.25,quantile,6984.28688481575,US
2021-03-15,5 wk ahead inc death,2021-04-17,0.75,quantile,13408.148577319347,US
2021-03-15,5 wk ahead inc death,2021-04-17,0.975,quantile,23456.294128609068,US
2021-03-15,5 wk ahead inc death,2021-04-17,NA,point,8135.856191741002,US
2021-03-15,6 wk ahead cum death,2021-04-24,0.025,quantile,568691.6393771617,US
2021-03-15,6 wk ahead cum death,2021-04-24,0.25,quantile,580358.4821478807,US
2021-03-15,6 wk ahead cum death,2021-04-24,0.75,quantile,610942.2635337145,US
2021-03-15,6 wk ahead cum death,2021-04-24,0.975,quantile,657563.2136999513,US
2021-03-15,6 wk ahead cum death,2021-04-24,NA,point,586480.1098641416,US
2021-03-15,6 wk ahead inc death,2021-04-24,0.025,quantile,4496.5866170462,US
2021-03-15,6 wk ahead inc death,2021-04-24,0.25,quantile,7149.409857931725,US
2021-03-15,6 wk ahead inc death,2021-04-24,0.75,quantile,20856.82820873858,US
2021-03-15,6 wk ahead inc death,2021-04-24,0.975,quantile,44328.150718585726,US
2021-03-15,6 wk ahead inc death,2021-04-24,NA,point,8541.354242277437,US
2021-03-15,7 wk ahead cum death,2021-05-01,0.025,quantile,573027.2008475888,US
2021-03-15,7 wk ahead cum death,2021-05-01,0.25,quantile,588104.3707048036,US
2021-03-15,7 wk ahead cum death,2021-05-01,0.75,quantile,652850.8031208391,US
2021-03-15,7 wk ahead cum death,2021-05-01,0.975,quantile,761169.9719459495,US
2021-03-15,7 wk ahead cum death,2021-05-01,NA,point,596015.4073660969,US
2021-03-15,7 wk ahead inc death,2021-05-01,0.025,quantile,4335.561470427042,US
2021-03-15,7 wk ahead inc death,2021-05-01,0.25,quantile,7745.8885569226795,US
2021-03-15,7 wk ahead inc death,2021-05-01,0.75,quantile,41908.539587124855,US
2021-03-15,7 wk ahead inc death,2021-05-01,0.975,quantile,103606.75824599827,US
2021-03-15,7 wk ahead inc death,2021-05-01,NA,point,9535.297501954812,US
2021-03-15,8 wk ahead cum death,2021-05-08,0.025,quantile,577334.102068625,US
2021-03-15,8 wk ahead cum death,2021-05-08,0.25,quantile,597066.1373546068,US
2021-03-15,8 wk ahead cum death,2021-05-08,0.75,quantile,755029.4684041847,US
2021-03-15,8 wk ahead cum death,2021-05-08,0.975,quantile,1036350.2629070819,US
2021-03-15,8 wk ahead cum death,2021-05-08,NA,point,607419.5959962254,US
2021-03-15,8 wk ahead inc death,2021-05-08,0.025,quantile,4306.901221036171,US
2021-03-15,8 wk ahead inc death,2021-05-08,0.25,quantile,8961.766649803289,US
2021-03-15,8 wk ahead inc death,2021-05-08,0.75,quantile,102178.6652833455,US
2021-03-15,8 wk ahead inc death,2021-05-08,0.975,quantile,275180.2909611322,US
2021-03-15,8 wk ahead inc death,2021-05-08,NA,point,11404.188630128872,US
2021-03-15,1 wk ahead inc death,2021-03-20,0.025,quantile,110.8990692671813,01
2021-03-15,1 wk ahead inc death,2021-03-20,0.25,quantile,139.82832346491548,01
2021-03-15,1 wk ahead inc death,2021-03-20,0.75,quantile,176.2504775753054,01
2021-03-15,1 wk ahead inc death,2021-03-20,0.975,quantile,216.73602040092646,01
2021-03-15,1 wk ahead inc death,2021-03-20,NA,point,155.0075907086705,01
2021-03-15,2 wk ahead inc death,2021-03-27,0.025,quantile,78.20442482625938,01
2021-03-15,2 wk ahead inc death,2021-03-27,0.25,quantile,103.58548484962147,01
2021-03-15,2 wk ahead inc death,2021-03-27,0.75,quantile,136.83342877394716,01
2021-03-15,2 wk ahead inc death,2021-03-27,0.975,quantile,174.81762913458329,01
2021-03-15,2 wk ahead inc death,2021-03-27,NA,point,116.90300387002449,01
2021-03-15,3 wk ahead inc death,2021-04-03,0.025,quantile,55.03720692109464,01
2021-03-15,3 wk ahead inc death,2021-04-03,0.25,quantile,76.76486909013767,01
2021-03-15,3 wk ahead inc death,2021-04-03,0.75,quantile,106.44761934910846,01
2021-03-15,3 wk ahead inc death,2021-04-03,0.975,quantile,141.2905289830561,01
2021-03-15,3 wk ahead inc death,2021-04-03,NA,point,88.16543919787867,01
2021-03-15,4 wk ahead inc death,2021-04-10,0.025,quantile,38.68489135886592,01
2021-03-15,4 wk ahead inc death,2021-04-10,0.25,quantile,56.92278157982703,01
2021-03-15,4 wk ahead inc death,2021-04-10,0.75,quantile,82.95652035576094,01
2021-03-15,4 wk ahead inc death,2021-04-10,0.975,quantile,114.33477000981615,01
2021-03-15,4 wk ahead inc death,2021-04-10,NA,point,66.49225778318929,01
2021-03-15,5 wk ahead inc death,2021-04-17,0.025,quantile,27.168980593747733,01
2021-03-15,5 wk ahead inc death,2021-04-17,0.25,quantile,42.2393802962471,01
2021-03-15,5 wk ahead inc death,2021-04-17,0.75,quantile,64.7552890704404,01
2021-03-15,5 wk ahead inc death,2021-04-17,0.975,quantile,92.5966082250957,01
2021-03-15,5 wk ahead inc death,2021-04-17,NA,point,50.146864636868656,01
2021-03-15,6 wk ahead inc death,2021-04-24,0.025,quantile,19.070536200109288,01
2021-03-15,6 wk ahead inc death,2021-04-24,0.25,quantile,31.367373666203683,01
2021-03-15,6 wk ahead inc death,2021-04-24,0.75,quantile,50.62604950005627,01
2021-03-15,6 wk ahead inc death,2021-04-24,0.975,quantile,75.03316616840789,01
2021-03-15,6 wk ahead inc death,2021-04-24,NA,point,37.8195615060646,01
2021-03-15,7 wk ahead inc death,2021-05-01,0.025,quantile,13.38071371816632,01
2021-03-15,7 wk ahead inc death,2021-05-01,0.25,quantile,23.311756959445084,01
