forecast_date,target,target_end_date,location,type,quantile,value
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.010,3121.789
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.025,3506.072
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.050,3849.601
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.100,4251.862
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.150,4525.033
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.200,4742.678
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.250,4929.637
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.300,5097.658
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.350,5253.43
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.400,5401.285
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.450,5544.363
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.500,5685.184
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.550,5826.005
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.600,5969.083
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.650,6116.939
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.700,6272.71
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.750,6440.732
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.800,6627.691
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.850,6845.335
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.900,7118.506
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.950,7520.767
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.975,7864.296
2020-10-18,1 wk ahead inc death,2020-10-24,US,quantile,0.990,8248.579
2020-10-18,1 wk ahead inc death,2020-10-24,US,point,NA,5702.123
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.010,3433.078
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.025,3880.091
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.050,4279.696
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.100,4747.621
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.150,5065.383
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.200,5318.555
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.250,5536.033
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.300,5731.482
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.350,5912.681
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.400,6084.672
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.450,6251.105
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.500,6414.914
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.550,6578.722
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.600,6745.155
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.650,6917.146
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.700,7098.345
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.750,7293.794
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.800,7511.272
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.850,7764.444
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.900,8082.206
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.950,8550.131
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.975,8949.736
2020-10-18,2 wk ahead inc death,2020-10-31,US,quantile,0.990,9396.749
2020-10-18,2 wk ahead inc death,2020-10-31,US,point,NA,6434.617
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.010,3549.796
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.025,4094.454
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.050,4581.351
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.100,5151.49
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.150,5538.665
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.200,5847.141
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.250,6112.125
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.300,6350.269
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.350,6571.049
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.400,6780.611
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.450,6983.4
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.500,7182.991
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.550,7382.582
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.600,7585.371
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.650,7794.933
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.700,8015.713
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.750,8253.857
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.800,8518.841
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.850,8827.317
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.900,9214.492
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.950,9784.631
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.975,10271.528
2020-10-18,3 wk ahead inc death,2020-11-07,US,quantile,0.990,10816.186
2020-10-18,3 wk ahead inc death,2020-11-07,US,point,NA,7206.998
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.010,3394.473
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.025,4075.125
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.050,4683.592
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.100,5396.087
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.150,5879.934
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.200,6265.432
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.250,6596.578
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.300,6894.183
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.350,7170.089
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.400,7431.975
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.450,7685.398
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.500,7934.823
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.550,8184.249
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.600,8437.672
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.650,8699.558
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.700,8975.464
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.750,9273.069
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.800,9604.215
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.850,9989.713
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.900,10473.56
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.950,11186.055
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.975,11794.522
2020-10-18,4 wk ahead inc death,2020-11-14,US,quantile,0.990,12475.174
2020-10-18,4 wk ahead inc death,2020-11-14,US,point,NA,7964.825
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.010,2904.71
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.025,3746.853
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.050,4499.685
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.100,5381.226
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.150,5979.87
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.200,6456.831
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.250,6866.545
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.300,7234.759
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.350,7576.126
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.400,7900.147
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.450,8213.697
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.500,8522.302
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.550,8830.906
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.600,9144.456
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.650,9468.477
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.700,9809.844
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.750,10178.058
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.800,10587.772
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.850,11064.733
2020-10-18,5 wk ahead inc death,2020-11-21,US,quantile,0.900,11663.378
