forecast_date,target,target_end_date,location,type,quantile,value
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.01,0
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.025,0
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.05,4.573
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.1,7.837
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.15,8.872
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.2,10.538
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.25,12.942
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.3,14.044
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.35,15.333
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.4,16.346
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.45,16.908
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.5,18.062
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.55,19.135
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.6,20.493
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.65,21.383
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.7,22.068
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.75,24.822
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.8,26.285
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.85,27.085
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.9,28.807
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.95,30.612
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.975,35.178
2023-01-30,1 wk ahead inc death,2023-02-04,02,quantile,0.99,38.101
2023-01-30,1 wk ahead inc death,2023-02-04,02,point,NA,18.062
2023-01-30,1 wk ahead inc case,2023-02-04,02,quantile,0.025,489.279
