forecast_date,location,target,target_end_date,type,quantile,value
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.01,11.183008649241401
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.025,12.90924456509256
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.05,14.461762381656948
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.1,16.439847016202403
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.15,17.70197224120228
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.2,18.765299459218514
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.25,19.753161070240886
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.3,20.760511785642347
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.35,21.577636064946883
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.4,22.39209809750296
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.45,23.28357460283862
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.5,24.05979855957885
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.55,24.92424567206532
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.6,25.917332649347802
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.65,26.866285290095902
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.7,27.981608411068223
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.75,29.130380170038336
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.8,30.38599585144728
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.85,32.02353800418185
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.9,33.92302846370207
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.95,36.98699070351542
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.975,39.83169782150486
2023-04-17,01,0 day ahead inc hosp,2023-04-17,quantile,0.99,42.40641048648959
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.01,10.725354624033363
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.025,12.215617783462447
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.05,13.741618555030263
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.1,15.647391479719857
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.15,17.091551000099248
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.2,18.205462280488312
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.25,19.164646753222307
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.3,20.169638946438457
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.35,21.082516123663787
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.4,22.022539156994785
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.45,22.88856194390495
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.5,23.80799239570762
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.55,24.94403894326385
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.6,25.886331378476164
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.65,26.84240267578591
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.7,27.848618398758813
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.75,28.965611314792675
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.8,30.3487851738437
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.85,31.94234279711207
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.9,34.29301954776689
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.95,37.80569453123609
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.975,41.268967333467884
2023-04-17,01,1 day ahead inc hosp,2023-04-18,quantile,0.99,45.17368937791344
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.01,11.01862581288509
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.025,12.474257950792623
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.05,13.903320844531194
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.1,16.03731569225875
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.15,17.314808253923825
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.2,18.403804922479633
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.25,19.3786004840286
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.3,20.32207742109311
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.35,21.220942776183673
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.4,22.010886891266594
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.45,22.76529261063532
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.5,23.648836830628834
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.55,24.46691818732375
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.6,25.323111132466178
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.65,26.199760286394636
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.7,27.229967019710262
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.75,28.190181055531205
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.8,29.466228402443576
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.85,30.861675433511778
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.9,32.76306182699261
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.95,35.824777447020764
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.975,38.33516341469048
2023-04-17,01,2 day ahead inc hosp,2023-04-19,quantile,0.99,41.64741838440192
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.01,10.327881337565808
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.025,12.145021089612383
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.05,13.566615292596195
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.1,15.375784621349423
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.15,16.66888958557221
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.2,17.739319892564648
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.25,18.830017417907897
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.3,20.025750014676717
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.35,20.93107996656953
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.4,21.88550733100038
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.45,22.8422843324478
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.5,23.743012303585353
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.55,24.613946361380364
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.6,25.641281485519528
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.65,26.661506270228422
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.7,27.793023236804256
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.75,29.199814810003097
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.8,30.60143688002804
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.85,32.209046055965416
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.9,34.812674581038266
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.95,38.55503244965056
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.975,41.39957563395608
2023-04-17,01,3 day ahead inc hosp,2023-04-20,quantile,0.99,46.24395196103267
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.01,9.666161267226887
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.025,11.113050209312878
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.05,12.652778901976767
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.1,14.591854771923332
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.15,15.98067335935514
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.2,17.127321638005444
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.25,18.113960457921287
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.3,19.049303654402
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.35,19.95814467113973
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.4,20.832664316760546
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.45,21.770460589285186
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.5,22.559436285192298
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.55,23.398479592418063
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.6,24.27075912009806
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.65,25.19205736780953
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.7,26.316980495536253
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.75,27.467858127140783
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.8,28.656715723794534
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.85,30.327468988835534
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.9,32.372907823259446
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.95,35.82616343431888
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.975,38.795975420149205
2023-04-17,01,4 day ahead inc hosp,2023-04-21,quantile,0.99,42.10599018608503
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.01,7.936244357437922
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.025,9.560994495719893
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.05,10.902219602767085
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.1,12.240740434012315
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.15,13.27536967866778
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.2,14.251271051637346
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.25,15.044910841799199
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.3,15.787660704980333
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.35,16.476942977592316
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.4,17.167161070924717
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.45,17.88302267536653
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.5,18.512251924072654
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.55,19.317478990039415
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.6,20.017898114702103
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.65,20.857482057054177
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.7,21.76222774327306
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.75,22.722329262087033
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.8,23.751560394122418
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.85,24.859507666261273
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.9,26.76154659371263
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.95,29.282862578892622
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.975,32.300570563195
2023-04-17,01,5 day ahead inc hosp,2023-04-22,quantile,0.99,35.10877769058218
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.01,8.516748795210177
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.025,10.190086475413434
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.05,11.257356377230337
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.1,12.987704545380717
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.15,14.172597941289471
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.2,15.100538563503525
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.25,16.087494809337038
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.3,16.831304355534012
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.35,17.658817222118024
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.4,18.375856102855522
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.45,19.220262966132328
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.5,20.04194404524302
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.55,20.85190636091335
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.6,21.64841419440886
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.65,22.57824170615541
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.7,23.628987325001656
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.75,24.672344143542325
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.8,25.93612038431645
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.85,27.414721840875366
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.9,29.497129432472953
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.95,32.61814625405931
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.975,35.71162226425032
2023-04-17,01,6 day ahead inc hosp,2023-04-23,quantile,0.99,39.07102561621187
2023-04-17,01,7 day ahead inc hosp,2023-04-24,quantile,0.01,11.226272295461792
