location,forecast_date,quantile,value,target,target_end_date,type
02,2022-12-12,0.01,0,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.025,0,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.05,0.6767525727511999,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.1,3.700396369568482,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.15,5.476968265253833,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.2,6.626781799099479,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.25,7.479138147834225,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.3,8.231878672839276,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.35,8.91434159727984,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.4,9.5355882902702,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.45,10.164398135442681,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.5,10.746264187471546,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.55,11.13704047732873,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.6,11.596974583949823,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.65,12.125482972445567,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.7,12.672122222605259,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.75,13.252997741499419,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.8,13.982985557426462,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.85,14.904689836496695,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.9,16.206709190664842,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.95,18.59751460339054,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.975,21.59343503507933,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.99,26.126847207718857,0 day ahead inc hosp,2022-12-12,quantile
02,2022-12-12,0.01,0,1 day ahead inc hosp,2022-12-13,quantile
02,2022-12-12,0.025,0,1 day ahead inc hosp,2022-12-13,quantile
02,2022-12-12,0.05,0.6767525727511999,1 day ahead inc hosp,2022-12-13,quantile
