forecast_date,target,target_end_date,location,type,quantile,value
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.01,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.01,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.01,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.01,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.01,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.01,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.01,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.01,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.01,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.01,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.01,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.01,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.01,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.01,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.01,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.01,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.01,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.01,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.01,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.01,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.01,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.01,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.01,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.01,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.01,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.01,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.01,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.01,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.025,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.025,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.025,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.025,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.025,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.025,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.025,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.025,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.025,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.025,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.025,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.025,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.025,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.025,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.025,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.025,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.025,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.025,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.025,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.025,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.025,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.025,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.025,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.025,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.025,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.025,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.025,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.025,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.05,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.05,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.05,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.05,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.05,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.05,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.05,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.05,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.05,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.05,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.05,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.05,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.05,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.05,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.05,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.05,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.05,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.05,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.05,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.05,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.05,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.05,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.05,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.05,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.05,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.05,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.05,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.05,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.1,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.1,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.1,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.1,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.1,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.1,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.1,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.1,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.1,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.1,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.1,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.1,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.1,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.1,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.1,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.1,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.1,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.1,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.1,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.1,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.1,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.1,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.1,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.1,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.1,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.1,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.1,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.1,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.15,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.15,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.15,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.15,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.15,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.15,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.15,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.15,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.15,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.15,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.15,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.15,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.15,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.15,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.15,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.15,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.15,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.15,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.15,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.15,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.15,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.15,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.15,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.15,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.15,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.15,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.15,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.15,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.2,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.2,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.2,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.2,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.2,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.2,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.2,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.2,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.2,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.2,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.2,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.2,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.2,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.2,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.2,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.2,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.2,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.2,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.2,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.2,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.2,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.2,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.2,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.2,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.2,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.2,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.2,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.2,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.25,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.25,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.25,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.25,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.25,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.25,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.25,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.25,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.25,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.25,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.25,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.25,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.25,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.25,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.25,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.25,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.25,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.25,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.25,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.25,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.25,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.25,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.25,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.25,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.25,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.25,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.25,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.25,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.3,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.3,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.3,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.3,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.3,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.3,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.3,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.3,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.3,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.3,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.3,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.3,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.3,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.3,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.3,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.3,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.3,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.3,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.3,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.3,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.3,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.3,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.3,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.3,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.3,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.3,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.3,0
2023-07-03,28 day ahead inc hosp,2023-07-31,60,quantile,0.3,0
2023-07-03,1 day ahead inc hosp,2023-07-04,60,quantile,0.35,0
2023-07-03,2 day ahead inc hosp,2023-07-05,60,quantile,0.35,0
2023-07-03,3 day ahead inc hosp,2023-07-06,60,quantile,0.35,0
2023-07-03,4 day ahead inc hosp,2023-07-07,60,quantile,0.35,0
2023-07-03,5 day ahead inc hosp,2023-07-08,60,quantile,0.35,0
2023-07-03,6 day ahead inc hosp,2023-07-09,60,quantile,0.35,0
2023-07-03,7 day ahead inc hosp,2023-07-10,60,quantile,0.35,0
2023-07-03,8 day ahead inc hosp,2023-07-11,60,quantile,0.35,0
2023-07-03,9 day ahead inc hosp,2023-07-12,60,quantile,0.35,0
2023-07-03,10 day ahead inc hosp,2023-07-13,60,quantile,0.35,0
2023-07-03,11 day ahead inc hosp,2023-07-14,60,quantile,0.35,0
2023-07-03,12 day ahead inc hosp,2023-07-15,60,quantile,0.35,0
2023-07-03,13 day ahead inc hosp,2023-07-16,60,quantile,0.35,0
2023-07-03,14 day ahead inc hosp,2023-07-17,60,quantile,0.35,0
2023-07-03,15 day ahead inc hosp,2023-07-18,60,quantile,0.35,0
2023-07-03,16 day ahead inc hosp,2023-07-19,60,quantile,0.35,0
2023-07-03,17 day ahead inc hosp,2023-07-20,60,quantile,0.35,0
2023-07-03,18 day ahead inc hosp,2023-07-21,60,quantile,0.35,0
2023-07-03,19 day ahead inc hosp,2023-07-22,60,quantile,0.35,0
2023-07-03,20 day ahead inc hosp,2023-07-23,60,quantile,0.35,0
2023-07-03,21 day ahead inc hosp,2023-07-24,60,quantile,0.35,0
2023-07-03,22 day ahead inc hosp,2023-07-25,60,quantile,0.35,0
2023-07-03,23 day ahead inc hosp,2023-07-26,60,quantile,0.35,0
2023-07-03,24 day ahead inc hosp,2023-07-27,60,quantile,0.35,0
2023-07-03,25 day ahead inc hosp,2023-07-28,60,quantile,0.35,0
2023-07-03,26 day ahead inc hosp,2023-07-29,60,quantile,0.35,0
2023-07-03,27 day ahead inc hosp,2023-07-30,60,quantile,0.35,0
