forecast_date,target,target_end_date,location,type,quantile,value
2024-03-18,1 day ahead inc hosp,2024-03-19,01,quantile,0.01,11
2024-03-18,1 day ahead inc hosp,2024-03-19,02,quantile,0.01,0
2024-03-18,1 day ahead inc hosp,2024-03-19,04,quantile,0.01,4
2024-03-18,1 day ahead inc hosp,2024-03-19,05,quantile,0.01,9
2024-03-18,1 day ahead inc hosp,2024-03-19,06,quantile,0.01,50
2024-03-18,1 day ahead inc hosp,2024-03-19,08,quantile,0.01,4
2024-03-18,1 day ahead inc hosp,2024-03-19,09,quantile,0.01,4
2024-03-18,1 day ahead inc hosp,2024-03-19,10,quantile,0.01,1
2024-03-18,1 day ahead inc hosp,2024-03-19,11,quantile,0.01,1
2024-03-18,1 day ahead inc hosp,2024-03-19,12,quantile,0.01,48
2024-03-18,1 day ahead inc hosp,2024-03-19,13,quantile,0.01,26
2024-03-18,1 day ahead inc hosp,2024-03-19,15,quantile,0.01,2
2024-03-18,1 day ahead inc hosp,2024-03-19,16,quantile,0.01,1
2024-03-18,1 day ahead inc hosp,2024-03-19,17,quantile,0.01,23
2024-03-18,1 day ahead inc hosp,2024-03-19,18,quantile,0.01,8
2024-03-18,1 day ahead inc hosp,2024-03-19,19,quantile,0.01,4
2024-03-18,1 day ahead inc hosp,2024-03-19,20,quantile,0.01,4
2024-03-18,1 day ahead inc hosp,2024-03-19,21,quantile,0.01,11
2024-03-18,1 day ahead inc hosp,2024-03-19,22,quantile,0.01,7
2024-03-18,1 day ahead inc hosp,2024-03-19,23,quantile,0.01,0
2024-03-18,1 day ahead inc hosp,2024-03-19,24,quantile,0.01,12
2024-03-18,1 day ahead inc hosp,2024-03-19,25,quantile,0.01,5
2024-03-18,1 day ahead inc hosp,2024-03-19,26,quantile,0.01,16
2024-03-18,1 day ahead inc hosp,2024-03-19,27,quantile,0.01,3
2024-03-18,1 day ahead inc hosp,2024-03-19,28,quantile,0.01,3
2024-03-18,1 day ahead inc hosp,2024-03-19,29,quantile,0.01,16
2024-03-18,1 day ahead inc hosp,2024-03-19,30,quantile,0.01,0
2024-03-18,1 day ahead inc hosp,2024-03-19,31,quantile,0.01,2
2024-03-18,1 day ahead inc hosp,2024-03-19,32,quantile,0.01,4
2024-03-18,1 day ahead inc hosp,2024-03-19,33,quantile,0.01,1
2024-03-18,1 day ahead inc hosp,2024-03-19,34,quantile,0.01,20
2024-03-18,1 day ahead inc hosp,2024-03-19,35,quantile,0.01,0
2024-03-18,1 day ahead inc hosp,2024-03-19,36,quantile,0.01,24
2024-03-18,1 day ahead inc hosp,2024-03-19,37,quantile,0.01,31
2024-03-18,1 day ahead inc hosp,2024-03-19,38,quantile,0.01,1
2024-03-18,1 day ahead inc hosp,2024-03-19,39,quantile,0.01,12
2024-03-18,1 day ahead inc hosp,2024-03-19,40,quantile,0.01,8
2024-03-18,1 day ahead inc hosp,2024-03-19,41,quantile,0.01,2
2024-03-18,1 day ahead inc hosp,2024-03-19,42,quantile,0.01,19
2024-03-18,1 day ahead inc hosp,2024-03-19,72,quantile,0.01,0
2024-03-18,1 day ahead inc hosp,2024-03-19,44,quantile,0.01,0
2024-03-18,1 day ahead inc hosp,2024-03-19,45,quantile,0.01,12
2024-03-18,1 day ahead inc hosp,2024-03-19,46,quantile,0.01,0
2024-03-18,1 day ahead inc hosp,2024-03-19,47,quantile,0.01,12
2024-03-18,1 day ahead inc hosp,2024-03-19,48,quantile,0.01,34
2024-03-18,1 day ahead inc hosp,2024-03-19,49,quantile,0.01,4
2024-03-18,1 day ahead inc hosp,2024-03-19,50,quantile,0.01,0
