location,target,target_end_date,forecast_date,type,quantile,value
01,1 day ahead inc hosp,2023-10-17,2023-10-16,point,NA,26
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.01,5
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.025,6
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.05,9
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.1,13
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.15,14
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.2,15
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.25,16
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.3,17
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.35,18
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.4,21
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.45,24
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.5,26
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.55,28
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.6,31
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.65,33
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.7,35
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.75,38
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.8,39
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.85,44
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.9,49
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.95,56
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.975,63
01,1 day ahead inc hosp,2023-10-17,2023-10-16,quantile,0.99,72
01,2 day ahead inc hosp,2023-10-18,2023-10-16,point,NA,25
01,2 day ahead inc hosp,2023-10-18,2023-10-16,quantile,0.01,4
01,2 day ahead inc hosp,2023-10-18,2023-10-16,quantile,0.025,5
01,2 day ahead inc hosp,2023-10-18,2023-10-16,quantile,0.05,8
01,2 day ahead inc hosp,2023-10-18,2023-10-16,quantile,0.1,12
01,2 day ahead inc hosp,2023-10-18,2023-10-16,quantile,0.15,13
01,2 day ahead inc hosp,2023-10-18,2023-10-16,quantile,0.2,14
01,2 day ahead inc hosp,2023-10-18,2023-10-16,quantile,0.25,15
