location,target,type,quantile,forecast_date,target_end_date,value
01,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,37
02,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,0
04,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,51
05,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,12
06,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,270
08,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,60
09,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,161
10,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,26
12,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,119
13,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,72
15,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,0
16,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,1
17,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,328
18,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,88
19,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,45
20,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,14
21,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,38
22,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,54
23,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,6
24,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,179
25,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,115
26,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,67
27,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,93
28,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,31
29,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,21
30,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,0
31,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,40
32,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,14
33,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,7
34,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,183
35,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,22
36,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,421
37,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,81
38,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,4
39,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,89
40,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,14
41,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,11
42,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,121
44,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,31
45,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,23
46,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,4
47,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,27
48,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,181
49,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,11
50,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,0
51,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,165
53,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,30
54,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,1
55,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,57
56,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,2
US,1 day ahead inc hosp,point,,2020-05-21,2020-05-22,3451
01,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,25
02,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
04,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,38
05,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,5
06,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,226
08,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,45
09,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,140
10,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,18
12,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,99
13,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,54
15,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
16,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
17,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,301
18,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,66
