forecast_date,target,target_end_date,location,type,quantile,value
2020-11-22,1 wk ahead inc death,2020-11-28,01,point,NA,172.34514215999997
2020-11-22,2 wk ahead inc death,2020-12-05,01,point,NA,175.87087499
2020-11-22,3 wk ahead inc death,2020-12-12,01,point,NA,180.27358414599996
2020-11-22,4 wk ahead inc death,2020-12-19,01,point,NA,186.69004916
2020-11-22,1 wk ahead inc death,2020-11-28,02,point,NA,13.509939832999999
2020-11-22,2 wk ahead inc death,2020-12-05,02,point,NA,15.643584514
2020-11-22,3 wk ahead inc death,2020-12-12,02,point,NA,17.715985288000002
2020-11-22,4 wk ahead inc death,2020-12-19,02,point,NA,19.454950815
2020-11-22,1 wk ahead inc death,2020-11-28,04,point,NA,216.08814196
2020-11-22,2 wk ahead inc death,2020-12-05,04,point,NA,266.8841986
2020-11-22,3 wk ahead inc death,2020-12-12,04,point,NA,312.96072039999996
2020-11-22,4 wk ahead inc death,2020-12-19,04,point,NA,371.3911183
2020-11-22,1 wk ahead inc death,2020-11-28,05,point,NA,156.28457245999996
2020-11-22,2 wk ahead inc death,2020-12-05,05,point,NA,168.22522207
2020-11-22,3 wk ahead inc death,2020-12-12,05,point,NA,174.36295291
2020-11-22,4 wk ahead inc death,2020-12-19,05,point,NA,185.67587739999996
2020-11-22,1 wk ahead inc death,2020-11-28,06,point,NA,516.4290549699999
2020-11-22,2 wk ahead inc death,2020-12-05,06,point,NA,598.0466112299999
2020-11-22,3 wk ahead inc death,2020-12-12,06,point,NA,684.8140784109999
2020-11-22,4 wk ahead inc death,2020-12-19,06,point,NA,812.9653195999999
2020-11-22,1 wk ahead inc death,2020-11-28,08,point,NA,243.16907786
2020-11-22,2 wk ahead inc death,2020-12-05,08,point,NA,298.151645286
2020-11-22,3 wk ahead inc death,2020-12-12,08,point,NA,334.80924678400004
2020-11-22,4 wk ahead inc death,2020-12-19,08,point,NA,389.5969205
2020-11-22,1 wk ahead inc death,2020-11-28,09,point,NA,113.76318
2020-11-22,2 wk ahead inc death,2020-12-05,09,point,NA,132.64564
2020-11-22,3 wk ahead inc death,2020-12-12,09,point,NA,145.01430000000002
2020-11-22,4 wk ahead inc death,2020-12-19,09,point,NA,160.70519
2020-11-22,1 wk ahead inc death,2020-11-28,10,point,NA,18.22592
2020-11-22,2 wk ahead inc death,2020-12-05,10,point,NA,21.05834
2020-11-22,3 wk ahead inc death,2020-12-12,10,point,NA,23.592209999999998
2020-11-22,4 wk ahead inc death,2020-12-19,10,point,NA,25.95547
2020-11-22,1 wk ahead inc death,2020-11-28,11,point,NA,12.54527
2020-11-22,2 wk ahead inc death,2020-12-05,11,point,NA,14.6009
2020-11-22,3 wk ahead inc death,2020-12-12,11,point,NA,15.2571
2020-11-22,4 wk ahead inc death,2020-12-19,11,point,NA,16.3434
2020-11-22,1 wk ahead inc death,2020-11-28,12,point,NA,501.53475248300003
2020-11-22,2 wk ahead inc death,2020-12-05,12,point,NA,570.76307346
2020-11-22,3 wk ahead inc death,2020-12-12,12,point,NA,635.2882110899999
2020-11-22,4 wk ahead inc death,2020-12-19,12,point,NA,724.6748117999998
2020-11-22,1 wk ahead inc death,2020-11-28,13,point,NA,262.560219652
2020-11-22,2 wk ahead inc death,2020-12-05,13,point,NA,266.292437747
2020-11-22,3 wk ahead inc death,2020-12-12,13,point,NA,260.20402256400007
2020-11-22,4 wk ahead inc death,2020-12-19,13,point,NA,261.111524334
2020-11-22,1 wk ahead inc death,2020-11-28,15,point,NA,4.145892956
2020-11-22,2 wk ahead inc death,2020-12-05,15,point,NA,4.97009632
2020-11-22,3 wk ahead inc death,2020-12-12,15,point,NA,5.604790144
2020-11-22,4 wk ahead inc death,2020-12-19,15,point,NA,6.186267330000001
2020-11-22,1 wk ahead inc death,2020-11-28,16,point,NA,99.07875757000001
2020-11-22,2 wk ahead inc death,2020-12-05,16,point,NA,112.388462717
2020-11-22,3 wk ahead inc death,2020-12-12,16,point,NA,118.13644329899999
2020-11-22,4 wk ahead inc death,2020-12-19,16,point,NA,126.54779809899998
2020-11-22,1 wk ahead inc death,2020-11-28,17,point,NA,899.8337018180001
2020-11-22,2 wk ahead inc death,2020-12-05,17,point,NA,1052.605806417
2020-11-22,3 wk ahead inc death,2020-12-12,17,point,NA,1141.48338813
2020-11-22,4 wk ahead inc death,2020-12-19,17,point,NA,1251.6309739
2020-11-22,1 wk ahead inc death,2020-11-28,18,point,NA,406.2260341
2020-11-22,2 wk ahead inc death,2020-12-05,18,point,NA,458.76056850000003
2020-11-22,3 wk ahead inc death,2020-12-12,18,point,NA,497.87657000000013
2020-11-22,4 wk ahead inc death,2020-12-19,18,point,NA,554.42855
2020-11-22,1 wk ahead inc death,2020-11-28,19,point,NA,262.8742003000001
2020-11-22,2 wk ahead inc death,2020-12-05,19,point,NA,285.91110779999997
2020-11-22,3 wk ahead inc death,2020-12-12,19,point,NA,295.20625900000005
2020-11-22,4 wk ahead inc death,2020-12-19,19,point,NA,309.1669165
2020-11-22,1 wk ahead inc death,2020-11-28,20,point,NA,153.17406164999997
2020-11-22,2 wk ahead inc death,2020-12-05,20,point,NA,173.75640530000004
2020-11-22,3 wk ahead inc death,2020-12-12,20,point,NA,185.43867598
2020-11-22,4 wk ahead inc death,2020-12-19,20,point,NA,206.24113525
2020-11-22,1 wk ahead inc death,2020-11-28,21,point,NA,173.40526305299997
2020-11-22,2 wk ahead inc death,2020-12-05,21,point,NA,191.775933581
2020-11-22,3 wk ahead inc death,2020-12-12,21,point,NA,203.02646939000002
2020-11-22,4 wk ahead inc death,2020-12-19,21,point,NA,217.729821271
2020-11-22,1 wk ahead inc death,2020-11-28,22,point,NA,159.39846909
2020-11-22,2 wk ahead inc death,2020-12-05,22,point,NA,184.48727979999998
