forecast_date,target,target_end_date,location,type,quantile,value
2022-06-27,1 wk ahead inc case,2022-07-02,32,point,NA,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,32,quantile,0.025,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,32,quantile,0.1,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,32,quantile,0.25,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,32,quantile,0.5,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,32,quantile,0.75,5713.606299836614
2022-06-27,1 wk ahead inc case,2022-07-02,32,quantile,0.9,10856.030201100068
2022-06-27,1 wk ahead inc case,2022-07-02,32,quantile,0.975,16602.865449423665
2022-06-27,1 wk ahead inc case,2022-07-02,06,point,NA,2413.0
2022-06-27,1 wk ahead inc case,2022-07-02,06,quantile,0.025,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,06,quantile,0.1,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,06,quantile,0.25,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,06,quantile,0.5,2413.0
2022-06-27,1 wk ahead inc case,2022-07-02,06,quantile,0.75,43599.214707216044
2022-06-27,1 wk ahead inc case,2022-07-02,06,quantile,0.9,80668.0927149662
2022-06-27,1 wk ahead inc case,2022-07-02,06,quantile,0.975,122093.8364577966
2022-06-27,1 wk ahead inc case,2022-07-02,04,point,NA,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,04,quantile,0.025,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,04,quantile,0.1,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,04,quantile,0.25,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,04,quantile,0.5,0.0
2022-06-27,1 wk ahead inc case,2022-07-02,04,quantile,0.75,11101.770303248866
2022-06-27,1 wk ahead inc case,2022-07-02,04,quantile,0.9,21093.709887079895
2022-06-27,1 wk ahead inc case,2022-07-02,04,quantile,0.975,32260.045393838063
