forecast_date,location,target,type,quantile,target_end_date,value
2020-08-09,01,1 wk ahead cum death,point,NA,2020-08-15,1958.7162
2020-08-09,02,1 wk ahead cum death,point,NA,2020-08-15,30.3854
2020-08-09,04,1 wk ahead cum death,point,NA,2020-08-15,4834.2748
2020-08-09,05,1 wk ahead cum death,point,NA,2020-08-15,609.744
2020-08-09,06,1 wk ahead cum death,point,NA,2020-08-15,11133.3418
2020-08-09,08,1 wk ahead cum death,point,NA,2020-08-15,1883.2264
2020-08-09,09,1 wk ahead cum death,point,NA,2020-08-15,4452.4312
2020-08-09,10,1 wk ahead cum death,point,NA,2020-08-15,599.5886
2020-08-09,11,1 wk ahead cum death,point,NA,2020-08-15,594.7254
2020-08-09,12,1 wk ahead cum death,point,NA,2020-08-15,9391.313
2020-08-09,13,1 wk ahead cum death,point,NA,2020-08-15,4468.8994
2020-08-09,15,1 wk ahead cum death,point,NA,2020-08-15,34.8708
2020-08-09,16,1 wk ahead cum death,point,NA,2020-08-15,296.0218
2020-08-09,17,1 wk ahead cum death,point,NA,2020-08-15,7942.272
2020-08-09,18,1 wk ahead cum death,point,NA,2020-08-15,3097.762
2020-08-09,19,1 wk ahead cum death,point,NA,2020-08-15,970.709
2020-08-09,20,1 wk ahead cum death,point,NA,2020-08-15,408.8094
2020-08-09,21,1 wk ahead cum death,point,NA,2020-08-15,818.2834
2020-08-09,22,1 wk ahead cum death,point,NA,2020-08-15,4420.7736
2020-08-09,23,1 wk ahead cum death,point,NA,2020-08-15,129.2448
2020-08-09,24,1 wk ahead cum death,point,NA,2020-08-15,3635.0136
2020-08-09,25,1 wk ahead cum death,point,NA,2020-08-15,8801.4738
2020-08-09,26,1 wk ahead cum death,point,NA,2020-08-15,6567.07
2020-08-09,27,1 wk ahead cum death,point,NA,2020-08-15,1720.0746
2020-08-09,28,1 wk ahead cum death,point,NA,2020-08-15,2061.8202
2020-08-09,29,1 wk ahead cum death,point,NA,2020-08-15,1391.3339999999996
2020-08-09,30,1 wk ahead cum death,point,NA,2020-08-15,94.8196
2020-08-09,31,1 wk ahead cum death,point,NA,2020-08-15,365.108
2020-08-09,32,1 wk ahead cum death,point,NA,2020-08-15,1074.0166
2020-08-09,33,1 wk ahead cum death,point,NA,2020-08-15,426.882
2020-08-09,34,1 wk ahead cum death,point,NA,2020-08-15,15951.8656
2020-08-09,35,1 wk ahead cum death,point,NA,2020-08-15,719.7848
2020-08-09,36,1 wk ahead cum death,point,NA,2020-08-15,32840.0994
2020-08-09,37,1 wk ahead cum death,point,NA,2020-08-15,2385.7072
