forecast_date,target,target_end_date,location,type,quantile,value
2021-05-24,1 wk ahead inc case,2021-05-29,US,quantile,0.025,98039.141
2021-05-24,1 wk ahead inc case,2021-05-29,US,quantile,0.1,124101.87
2021-05-24,1 wk ahead inc case,2021-05-29,US,quantile,0.25,145419.33
2021-05-24,1 wk ahead inc case,2021-05-29,US,quantile,0.5,170051.34
2021-05-24,1 wk ahead inc case,2021-05-29,US,quantile,0.75,198880.52
2021-05-24,1 wk ahead inc case,2021-05-29,US,quantile,0.9,233248.45
2021-05-24,1 wk ahead inc case,2021-05-29,US,quantile,0.975,292673.78
2021-05-24,1 wk ahead inc case,2021-05-29,US,point,NA,170356.02
2021-05-24,2 wk ahead inc case,2021-06-05,US,quantile,0.025,65501.262
2021-05-24,2 wk ahead inc case,2021-06-05,US,quantile,0.1,89078.141
2021-05-24,2 wk ahead inc case,2021-06-05,US,quantile,0.25,112755.88
2021-05-24,2 wk ahead inc case,2021-06-05,US,quantile,0.5,145304.97
2021-05-24,2 wk ahead inc case,2021-06-05,US,quantile,0.75,187684.58
2021-05-24,2 wk ahead inc case,2021-06-05,US,quantile,0.9,239088.08
2021-05-24,2 wk ahead inc case,2021-06-05,US,quantile,0.975,329499.13
2021-05-24,2 wk ahead inc case,2021-06-05,US,point,NA,146132.66
2021-05-24,3 wk ahead inc case,2021-06-12,US,quantile,0.025,48105.359
2021-05-24,3 wk ahead inc case,2021-06-12,US,quantile,0.1,68738.281
2021-05-24,3 wk ahead inc case,2021-06-12,US,quantile,0.25,91294.813
2021-05-24,3 wk ahead inc case,2021-06-12,US,quantile,0.5,126557.4
2021-05-24,3 wk ahead inc case,2021-06-12,US,quantile,0.75,176756.13
2021-05-24,3 wk ahead inc case,2021-06-12,US,quantile,0.9,239188.42
2021-05-24,3 wk ahead inc case,2021-06-12,US,quantile,0.975,344758.66
2021-05-24,3 wk ahead inc case,2021-06-12,US,point,NA,127768.53
2021-05-24,4 wk ahead inc case,2021-06-19,US,quantile,0.025,37586.238
2021-05-24,4 wk ahead inc case,2021-06-19,US,quantile,0.1,55268.801
2021-05-24,4 wk ahead inc case,2021-06-19,US,quantile,0.25,75960.336
2021-05-24,4 wk ahead inc case,2021-06-19,US,quantile,0.5,111829.97
2021-05-24,4 wk ahead inc case,2021-06-19,US,quantile,0.75,167609.36
2021-05-24,4 wk ahead inc case,2021-06-19,US,quantile,0.9,236070.17
2021-05-24,4 wk ahead inc case,2021-06-19,US,quantile,0.975,345373.03
2021-05-24,4 wk ahead inc case,2021-06-19,US,point,NA,113200.53
2021-05-24,1 wk ahead inc case,2021-05-29,01001,quantile,0.025,49.11829
2021-05-24,2 wk ahead inc case,2021-06-05,01001,quantile,0.025,30.288692
2021-05-24,3 wk ahead inc case,2021-06-12,01001,quantile,0.025,27.319963
2021-05-24,4 wk ahead inc case,2021-06-19,01001,quantile,0.025,22.253525
2021-05-24,1 wk ahead inc case,2021-05-29,01001,quantile,0.1,61.231537
2021-05-24,2 wk ahead inc case,2021-06-05,01001,quantile,0.1,38.650112
2021-05-24,3 wk ahead inc case,2021-06-12,01001,quantile,0.1,33.266182
2021-05-24,4 wk ahead inc case,2021-06-19,01001,quantile,0.1,27.018721
2021-05-24,1 wk ahead inc case,2021-05-29,01001,quantile,0.25,71.014954
2021-05-24,2 wk ahead inc case,2021-06-05,01001,quantile,0.25,46.59285
2021-05-24,3 wk ahead inc case,2021-06-12,01001,quantile,0.25,38.904842
2021-05-24,4 wk ahead inc case,2021-06-19,01001,quantile,0.25,31.707666
2021-05-24,1 wk ahead inc case,2021-05-29,01001,quantile,0.5,82.204475
2021-05-24,2 wk ahead inc case,2021-06-05,01001,quantile,0.5,56.970623
2021-05-24,3 wk ahead inc case,2021-06-12,01001,quantile,0.5,46.586857
2021-05-24,4 wk ahead inc case,2021-06-19,01001,quantile,0.5,38.520523
2021-05-24,1 wk ahead inc case,2021-05-29,01001,quantile,0.75,95.168266
2021-05-24,2 wk ahead inc case,2021-06-05,01001,quantile,0.75,69.788033
2021-05-24,3 wk ahead inc case,2021-06-12,01001,quantile,0.75,56.016251
2021-05-24,4 wk ahead inc case,2021-06-19,01001,quantile,0.75,47.220375
2021-05-24,1 wk ahead inc case,2021-05-29,01001,quantile,0.9,110.46494
2021-05-24,2 wk ahead inc case,2021-06-05,01001,quantile,0.9,84.554924
2021-05-24,3 wk ahead inc case,2021-06-12,01001,quantile,0.9,66.190231
2021-05-24,4 wk ahead inc case,2021-06-19,01001,quantile,0.9,56.102348
2021-05-24,1 wk ahead inc case,2021-05-29,01001,quantile,0.975,136.58109
2021-05-24,2 wk ahead inc case,2021-06-05,01001,quantile,0.975,109.04053
2021-05-24,3 wk ahead inc case,2021-06-12,01001,quantile,0.975,80.983543
2021-05-24,4 wk ahead inc case,2021-06-19,01001,quantile,0.975,67.941963
2021-05-24,1 wk ahead inc case,2021-05-29,01001,point,NA,82.342186
2021-05-24,2 wk ahead inc case,2021-06-05,01001,point,NA,57.227772
2021-05-24,3 wk ahead inc case,2021-06-12,01001,point,NA,46.832336
2021-05-24,4 wk ahead inc case,2021-06-19,01001,point,NA,38.757359
2021-05-24,1 wk ahead inc case,2021-05-29,01003,quantile,0.025,118.64014
2021-05-24,2 wk ahead inc case,2021-06-05,01003,quantile,0.025,64.273972
2021-05-24,3 wk ahead inc case,2021-06-12,01003,quantile,0.025,52.9762
2021-05-24,4 wk ahead inc case,2021-06-19,01003,quantile,0.025,38.763618
2021-05-24,1 wk ahead inc case,2021-05-29,01003,quantile,0.1,159.21014
2021-05-24,2 wk ahead inc case,2021-06-05,01003,quantile,0.1,99.320625
2021-05-24,3 wk ahead inc case,2021-06-12,01003,quantile,0.1,82.472458
2021-05-24,4 wk ahead inc case,2021-06-19,01003,quantile,0.1,63.659882
2021-05-24,1 wk ahead inc case,2021-05-29,01003,quantile,0.25,194.02985
2021-05-24,2 wk ahead inc case,2021-06-05,01003,quantile,0.25,138.65796
2021-05-24,3 wk ahead inc case,2021-06-12,01003,quantile,0.25,117.26091
2021-05-24,4 wk ahead inc case,2021-06-19,01003,quantile,0.25,95.84156
2021-05-24,1 wk ahead inc case,2021-05-29,01003,quantile,0.5,235.86322
2021-05-24,2 wk ahead inc case,2021-06-05,01003,quantile,0.5,198.54233
2021-05-24,3 wk ahead inc case,2021-06-12,01003,quantile,0.5,175.81519
2021-05-24,4 wk ahead inc case,2021-06-19,01003,quantile,0.5,157.63945
2021-05-24,1 wk ahead inc case,2021-05-29,01003,quantile,0.75,286.76093
2021-05-24,2 wk ahead inc case,2021-06-05,01003,quantile,0.75,285.22433
2021-05-24,3 wk ahead inc case,2021-06-12,01003,quantile,0.75,266.06317
2021-05-24,4 wk ahead inc case,2021-06-19,01003,quantile,0.75,265.32068
2021-05-24,1 wk ahead inc case,2021-05-29,01003,quantile,0.9,349.8606
2021-05-24,2 wk ahead inc case,2021-06-05,01003,quantile,0.9,401.79166
2021-05-24,3 wk ahead inc case,2021-06-12,01003,quantile,0.9,387.16531
2021-05-24,4 wk ahead inc case,2021-06-19,01003,quantile,0.9,412.23309
2021-05-24,1 wk ahead inc case,2021-05-29,01003,quantile,0.975,464.38287
2021-05-24,2 wk ahead inc case,2021-06-05,01003,quantile,0.975,632.67303
2021-05-24,3 wk ahead inc case,2021-06-12,01003,quantile,0.975,609.25641
2021-05-24,4 wk ahead inc case,2021-06-19,01003,quantile,0.975,672.58826
2021-05-24,1 wk ahead inc case,2021-05-29,01003,point,NA,236.39059
2021-05-24,2 wk ahead inc case,2021-06-05,01003,point,NA,200.14507
2021-05-24,3 wk ahead inc case,2021-06-12,01003,point,NA,177.90424
2021-05-24,4 wk ahead inc case,2021-06-19,01003,point,NA,160.12941
2021-05-24,1 wk ahead inc case,2021-05-29,01007,quantile,0.025,13.191541
2021-05-24,2 wk ahead inc case,2021-06-05,01007,quantile,0.025,8.9314756
2021-05-24,3 wk ahead inc case,2021-06-12,01007,quantile,0.025,7.6533623
2021-05-24,4 wk ahead inc case,2021-06-19,01007,quantile,0.025,6.3778262
2021-05-24,1 wk ahead inc case,2021-05-29,01007,quantile,0.1,18.282917
2021-05-24,2 wk ahead inc case,2021-06-05,01007,quantile,0.1,12.503103
2021-05-24,3 wk ahead inc case,2021-06-12,01007,quantile,0.1,10.555096
2021-05-24,4 wk ahead inc case,2021-06-19,01007,quantile,0.1,8.8026609
2021-05-24,1 wk ahead inc case,2021-05-29,01007,quantile,0.25,22.7701
2021-05-24,2 wk ahead inc case,2021-06-05,01007,quantile,0.25,16.181742
2021-05-24,3 wk ahead inc case,2021-06-12,01007,quantile,0.25,13.629151
2021-05-24,4 wk ahead inc case,2021-06-19,01007,quantile,0.25,11.482389
2021-05-24,1 wk ahead inc case,2021-05-29,01007,quantile,0.5,28.278538
2021-05-24,2 wk ahead inc case,2021-06-05,01007,quantile,0.5,21.356871
2021-05-24,3 wk ahead inc case,2021-06-12,01007,quantile,0.5,18.290367
2021-05-24,4 wk ahead inc case,2021-06-19,01007,quantile,0.5,15.863841
2021-05-24,1 wk ahead inc case,2021-05-29,01007,quantile,0.75,35.125656
2021-05-24,2 wk ahead inc case,2021-06-05,01007,quantile,0.75,28.258665
2021-05-24,3 wk ahead inc case,2021-06-12,01007,quantile,0.75,24.711515
2021-05-24,4 wk ahead inc case,2021-06-19,01007,quantile,0.75,22.247276
2021-05-24,1 wk ahead inc case,2021-05-29,01007,quantile,0.9,43.799934
2021-05-24,2 wk ahead inc case,2021-06-05,01007,quantile,0.9,36.828213
2021-05-24,3 wk ahead inc case,2021-06-12,01007,quantile,0.9,32.450222
2021-05-24,4 wk ahead inc case,2021-06-19,01007,quantile,0.9,29.619898
2021-05-24,1 wk ahead inc case,2021-05-29,01007,quantile,0.975,59.971329
2021-05-24,2 wk ahead inc case,2021-06-05,01007,quantile,0.975,52.311066
2021-05-24,3 wk ahead inc case,2021-06-12,01007,quantile,0.975,45.104858
2021-05-24,4 wk ahead inc case,2021-06-19,01007,quantile,0.975,40.708324
2021-05-24,1 wk ahead inc case,2021-05-29,01007,point,NA,28.348709
2021-05-24,2 wk ahead inc case,2021-06-05,01007,point,NA,21.490013
2021-05-24,3 wk ahead inc case,2021-06-12,01007,point,NA,18.44795
2021-05-24,4 wk ahead inc case,2021-06-19,01007,point,NA,16.026155
2021-05-24,1 wk ahead inc case,2021-05-29,01013,quantile,0.025,9.8373251
2021-05-24,2 wk ahead inc case,2021-06-05,01013,quantile,0.025,5.8218365
2021-05-24,3 wk ahead inc case,2021-06-12,01013,quantile,0.025,4.3984966
2021-05-24,4 wk ahead inc case,2021-06-19,01013,quantile,0.025,3.7128437
2021-05-24,1 wk ahead inc case,2021-05-29,01013,quantile,0.1,13.766205
2021-05-24,2 wk ahead inc case,2021-06-05,01013,quantile,0.1,8.6096029
2021-05-24,3 wk ahead inc case,2021-06-12,01013,quantile,0.1,6.6254101
2021-05-24,4 wk ahead inc case,2021-06-19,01013,quantile,0.1,5.4597883
2021-05-24,1 wk ahead inc case,2021-05-29,01013,quantile,0.25,17.256359
2021-05-24,2 wk ahead inc case,2021-06-05,01013,quantile,0.25,11.621426
2021-05-24,3 wk ahead inc case,2021-06-12,01013,quantile,0.25,9.1763802
2021-05-24,4 wk ahead inc case,2021-06-19,01013,quantile,0.25,7.5040898
2021-05-24,1 wk ahead inc case,2021-05-29,01013,quantile,0.5,21.568523
2021-05-24,2 wk ahead inc case,2021-06-05,01013,quantile,0.5,16.048256
2021-05-24,3 wk ahead inc case,2021-06-12,01013,quantile,0.5,13.349687
2021-05-24,4 wk ahead inc case,2021-06-19,01013,quantile,0.5,11.0481
2021-05-24,1 wk ahead inc case,2021-05-29,01013,quantile,0.75,26.963079
2021-05-24,2 wk ahead inc case,2021-06-05,01013,quantile,0.75,22.226831
2021-05-24,3 wk ahead inc case,2021-06-12,01013,quantile,0.75,19.588274
2021-05-24,4 wk ahead inc case,2021-06-19,01013,quantile,0.75,16.559477
2021-05-24,1 wk ahead inc case,2021-05-29,01013,quantile,0.9,33.841507
2021-05-24,2 wk ahead inc case,2021-06-05,01013,quantile,0.9,30.246017
2021-05-24,3 wk ahead inc case,2021-06-12,01013,quantile,0.9,27.718658
2021-05-24,4 wk ahead inc case,2021-06-19,01013,quantile,0.9,23.324141
2021-05-24,1 wk ahead inc case,2021-05-29,01013,quantile,0.975,46.768234
2021-05-24,2 wk ahead inc case,2021-06-05,01013,quantile,0.975,45.492546
2021-05-24,3 wk ahead inc case,2021-06-12,01013,quantile,0.975,42.170433
2021-05-24,4 wk ahead inc case,2021-06-19,01013,quantile,0.975,34.124863
2021-05-24,1 wk ahead inc case,2021-05-29,01013,point,NA,21.623629
2021-05-24,2 wk ahead inc case,2021-06-05,01013,point,NA,16.164679
2021-05-24,3 wk ahead inc case,2021-06-12,01013,point,NA,13.496431
2021-05-24,4 wk ahead inc case,2021-06-19,01013,point,NA,11.183512
2021-05-24,1 wk ahead inc case,2021-05-29,01021,quantile,0.025,39.927147
2021-05-24,2 wk ahead inc case,2021-06-05,01021,quantile,0.025,29.42325
2021-05-24,3 wk ahead inc case,2021-06-12,01021,quantile,0.025,23.158115
