location,target,type,quantile,forecast_date,target_end_date,value
US,1 wk ahead inc death,point,,2020-06-08,2020-06-13,5061.94
US,1 wk ahead inc death,quantile,0.01,2020-06-08,2020-06-13,1727.2792
US,1 wk ahead inc death,quantile,0.025,2020-06-08,2020-06-13,1826.2067
US,1 wk ahead inc death,quantile,0.05,2020-06-08,2020-06-13,2634.0728
US,1 wk ahead inc death,quantile,0.1,2020-06-08,2020-06-13,3025.6644
US,1 wk ahead inc death,quantile,0.15,2020-06-08,2020-06-13,3372.6029
US,1 wk ahead inc death,quantile,0.2,2020-06-08,2020-06-13,3499.0569
US,1 wk ahead inc death,quantile,0.25,2020-06-08,2020-06-13,3820.7059999999997
US,1 wk ahead inc death,quantile,0.3,2020-06-08,2020-06-13,4027.8476
US,1 wk ahead inc death,quantile,0.35,2020-06-08,2020-06-13,4214.7177
US,1 wk ahead inc death,quantile,0.4,2020-06-08,2020-06-13,4377.6716
US,1 wk ahead inc death,quantile,0.45,2020-06-08,2020-06-13,4518.2743
US,1 wk ahead inc death,quantile,0.5,2020-06-08,2020-06-13,4730.7441
US,1 wk ahead inc death,quantile,0.55,2020-06-08,2020-06-13,4801.9902
US,1 wk ahead inc death,quantile,0.6,2020-06-08,2020-06-13,4974.5858
US,1 wk ahead inc death,quantile,0.65,2020-06-08,2020-06-13,5227.7841
US,1 wk ahead inc death,quantile,0.7,2020-06-08,2020-06-13,5443.5331
US,1 wk ahead inc death,quantile,0.75,2020-06-08,2020-06-13,5941.3889
US,1 wk ahead inc death,quantile,0.8,2020-06-08,2020-06-13,6488.6514
US,1 wk ahead inc death,quantile,0.85,2020-06-08,2020-06-13,6781.911
US,1 wk ahead inc death,quantile,0.9,2020-06-08,2020-06-13,7386.0683
US,1 wk ahead inc death,quantile,0.95,2020-06-08,2020-06-13,9180.8208
US,1 wk ahead inc death,quantile,0.975,2020-06-08,2020-06-13,10656.5343
US,1 wk ahead inc death,quantile,0.99,2020-06-08,2020-06-13,11732.8623
US,1 wk ahead cum death,point,,2020-06-08,2020-06-13,114863.9402
US,1 wk ahead cum death,quantile,0.01,2020-06-08,2020-06-13,111529.2792
US,1 wk ahead cum death,quantile,0.025,2020-06-08,2020-06-13,111628.2067
US,1 wk ahead cum death,quantile,0.05,2020-06-08,2020-06-13,112436.0728
US,1 wk ahead cum death,quantile,0.1,2020-06-08,2020-06-13,112827.6644
US,1 wk ahead cum death,quantile,0.15,2020-06-08,2020-06-13,113174.6029
US,1 wk ahead cum death,quantile,0.2,2020-06-08,2020-06-13,113301.0569
US,1 wk ahead cum death,quantile,0.25,2020-06-08,2020-06-13,113622.70599999999
US,1 wk ahead cum death,quantile,0.3,2020-06-08,2020-06-13,113829.8476
US,1 wk ahead cum death,quantile,0.35,2020-06-08,2020-06-13,114016.7177
US,1 wk ahead cum death,quantile,0.4,2020-06-08,2020-06-13,114179.6716
US,1 wk ahead cum death,quantile,0.45,2020-06-08,2020-06-13,114320.2743
US,1 wk ahead cum death,quantile,0.5,2020-06-08,2020-06-13,114532.7441
US,1 wk ahead cum death,quantile,0.55,2020-06-08,2020-06-13,114603.9902
US,1 wk ahead cum death,quantile,0.6,2020-06-08,2020-06-13,114776.5858
US,1 wk ahead cum death,quantile,0.65,2020-06-08,2020-06-13,115029.7841
US,1 wk ahead cum death,quantile,0.7,2020-06-08,2020-06-13,115245.5331
US,1 wk ahead cum death,quantile,0.75,2020-06-08,2020-06-13,115743.3889
US,1 wk ahead cum death,quantile,0.8,2020-06-08,2020-06-13,116290.6514
US,1 wk ahead cum death,quantile,0.85,2020-06-08,2020-06-13,116583.911
US,1 wk ahead cum death,quantile,0.9,2020-06-08,2020-06-13,117188.0683
US,1 wk ahead cum death,quantile,0.95,2020-06-08,2020-06-13,118982.8208
US,1 wk ahead cum death,quantile,0.975,2020-06-08,2020-06-13,120458.5343
US,1 wk ahead cum death,quantile,0.99,2020-06-08,2020-06-13,121534.8623
US,2 wk ahead inc death,point,,2020-06-08,2020-06-20,5460.99
US,2 wk ahead inc death,quantile,0.01,2020-06-08,2020-06-20,121.3123
US,2 wk ahead inc death,quantile,0.025,2020-06-08,2020-06-20,439.7546
US,2 wk ahead inc death,quantile,0.05,2020-06-08,2020-06-20,1035.0884
US,2 wk ahead inc death,quantile,0.1,2020-06-08,2020-06-20,1810.8536
US,2 wk ahead inc death,quantile,0.15,2020-06-08,2020-06-20,2364.0337
US,2 wk ahead inc death,quantile,0.2,2020-06-08,2020-06-20,2882.0142
US,2 wk ahead inc death,quantile,0.25,2020-06-08,2020-06-20,3261.6461
US,2 wk ahead inc death,quantile,0.3,2020-06-08,2020-06-20,3433.7992
US,2 wk ahead inc death,quantile,0.35,2020-06-08,2020-06-20,3790.7540000000004
US,2 wk ahead inc death,quantile,0.4,2020-06-08,2020-06-20,4262.6954
US,2 wk ahead inc death,quantile,0.45,2020-06-08,2020-06-20,4613.3929
US,2 wk ahead inc death,quantile,0.5,2020-06-08,2020-06-20,4904.5012
US,2 wk ahead inc death,quantile,0.55,2020-06-08,2020-06-20,5202.555
US,2 wk ahead inc death,quantile,0.6,2020-06-08,2020-06-20,5474.0511
US,2 wk ahead inc death,quantile,0.65,2020-06-08,2020-06-20,5764.1966
US,2 wk ahead inc death,quantile,0.7,2020-06-08,2020-06-20,6214.7301
