forecast_date,target,target_end_date,location,type,quantile,value
2022-04-11,1 wk ahead inc death,2022-04-16,US,point,NA,3483.93
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.0100,816.4418
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.0250,1206.0789
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.0500,1592.0323
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.1000,2030.5395
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.1500,2320.1055
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.2000,2536.6796
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.2500,2732.6861
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.3000,2903.0498
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.3500,3064.2099
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.4000,3213.2059
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.4500,3375.7134
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.5000,3519.3349
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.5500,3669.1013
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.6000,3806.6969
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.6500,3943.2041
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.7000,4082.0853
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.7500,4245.2353
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.8000,4405.9856
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.8500,4616.4009
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.9000,4885.5943
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.9500,5316.8451
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.9750,5623.0032
2022-04-11,1 wk ahead inc death,2022-04-16,US,quantile,0.9900,6086.8479
2022-04-11,1 wk ahead cum death,2022-04-16,US,point,NA,988965.9274
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.0100,986298.4418
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.0250,986688.0789
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.0500,987074.0323
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.1000,987512.5395
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.1500,987802.1055
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.2000,988018.6796
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.2500,988214.6861
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.3000,988385.0498
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.3500,988546.2099
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.4000,988695.2059
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.4500,988857.7134
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.5000,989001.3349
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.5500,989151.1013
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.6000,989288.6969
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.6500,989425.2041
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.7000,989564.0853
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.7500,989727.2353
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.8000,989887.9856
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.8500,990098.4009
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.9000,990367.5943
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.9500,990798.8451
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.9750,991105.0032
2022-04-11,1 wk ahead cum death,2022-04-16,US,quantile,0.9900,991568.8479
2022-04-11,2 wk ahead inc death,2022-04-23,US,point,NA,3074.74
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.0100,0.0000
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.0250,381.3886
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.0500,824.0781
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.1000,1296.2678
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.1500,1638.2378
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.2000,1880.7891
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.2500,2114.2574
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.3000,2305.9243
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.3500,2541.8410
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.4000,2734.4304
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.4500,2913.0940
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.5000,3082.5967
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.5500,3268.1867
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.6000,3424.5084
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.6500,3595.3369
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.7000,3813.3734
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.7500,4009.8672
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.8000,4200.2496
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.8500,4464.6321
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.9000,4842.2630
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.9500,5309.3422
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.9750,5777.3218
2022-04-11,2 wk ahead inc death,2022-04-23,US,quantile,0.9900,6364.3716
2022-04-11,2 wk ahead cum death,2022-04-23,US,point,NA,992040.6654
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.0100,988965.9274
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.0250,989347.3160
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.0500,989790.0054
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.1000,990262.1952
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.1500,990604.1651
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.2000,990846.7164
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.2500,991080.1847
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.3000,991271.8517
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.3500,991507.7684
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.4000,991700.3578
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.4500,991879.0213
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.5000,992048.5241
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.5500,992234.1140
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.6000,992390.4357
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.6500,992561.2642
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.7000,992779.3008
2022-04-11,2 wk ahead cum death,2022-04-23,US,quantile,0.7500,992975.7946
