target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.01,20846.0
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.01,20846.0
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.01,20846.0
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.01,20846.0
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.025,20846.0
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.025,20846.0
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.025,20850.2
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.025,20876.6
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.05,20846.0
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.05,20851.5
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.05,20879.0
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.05,20912.7
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.1,20846.0
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.1,20870.9
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.1,20901.4
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.1,20938.8
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.15,20846.0
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.15,20886.9
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.15,20922.4
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.15,20958.8
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.2,20855.9
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.2,20890.1
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.2,20933.6
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.2,20972.4
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.25,20862.0
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.25,20900.1
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.25,20935.2
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.25,20978.8
1 wk ahead cum death,2023-01-23,2023-01-28,01,quantile,0.3,20865.5
2 wk ahead cum death,2023-01-23,2023-02-04,01,quantile,0.3,20906.7
3 wk ahead cum death,2023-01-23,2023-02-11,01,quantile,0.3,20946.5
4 wk ahead cum death,2023-01-23,2023-02-18,01,quantile,0.3,20987.2
