forecast_date,target,target_end_date,location,type,quantile,value
2021-05-03,1 wk ahead inc case,2021-05-08,US,point,NA,290520
2021-05-03,2 wk ahead inc case,2021-05-15,US,point,NA,345370
2021-05-03,3 wk ahead inc case,2021-05-22,US,point,NA,345807
2021-05-03,4 wk ahead inc case,2021-05-29,US,point,NA,346212
2021-05-03,5 wk ahead inc case,2021-06-05,US,point,NA,346583
2021-05-03,6 wk ahead inc case,2021-06-12,US,point,NA,346923
2021-05-03,7 wk ahead inc case,2021-06-19,US,point,NA,347231
2021-05-03,8 wk ahead inc case,2021-06-26,US,point,NA,347507
2021-05-03,1 wk ahead cum death,2021-05-08,US,point,NA,581491
2021-05-03,2 wk ahead cum death,2021-05-15,US,point,NA,586694
2021-05-03,3 wk ahead cum death,2021-05-22,US,point,NA,591913
2021-05-03,4 wk ahead cum death,2021-05-29,US,point,NA,597146
2021-05-03,5 wk ahead cum death,2021-06-05,US,point,NA,602392
2021-05-03,6 wk ahead cum death,2021-06-12,US,point,NA,607653
2021-05-03,7 wk ahead cum death,2021-06-19,US,point,NA,612926
2021-05-03,8 wk ahead cum death,2021-06-26,US,point,NA,618211
