forecast_date,target,target_end_date,location,type,quantile,value
2021-10-18,1 wk ahead inc case,2021-10-23,01,quantile,0.025,2750.830565171046
2021-10-18,1 wk ahead inc case,2021-10-23,01,quantile,0.1,3353.8784515374555
2021-10-18,1 wk ahead inc case,2021-10-23,01,quantile,0.25,3961.360076154404
2021-10-18,1 wk ahead inc case,2021-10-23,01,quantile,0.5,4630.146310934279
2021-10-18,1 wk ahead inc case,2021-10-23,01,point,NA,4630.146310934279
2021-10-18,1 wk ahead inc case,2021-10-23,01,quantile,0.75,5308.416746140611
2021-10-18,1 wk ahead inc case,2021-10-23,01,quantile,0.9,5970.848683998179
2021-10-18,1 wk ahead inc case,2021-10-23,01,quantile,0.975,6677.599080461621
2021-10-18,1 wk ahead inc case,2021-10-23,02,quantile,0.025,3999.0921416626047
2021-10-18,1 wk ahead inc case,2021-10-23,02,quantile,0.1,4512.88880361601
2021-10-18,1 wk ahead inc case,2021-10-23,02,quantile,0.25,5062.07011748002
2021-10-18,1 wk ahead inc case,2021-10-23,02,quantile,0.5,5689.49271211715
2021-10-18,1 wk ahead inc case,2021-10-23,02,point,NA,5689.49271211715
2021-10-18,1 wk ahead inc case,2021-10-23,02,quantile,0.75,6364.3078194959035
2021-10-18,1 wk ahead inc case,2021-10-23,02,quantile,0.9,7021.7331257540545
2021-10-18,1 wk ahead inc case,2021-10-23,02,quantile,0.975,8052.651892036165
2021-10-18,1 wk ahead inc case,2021-10-23,04,quantile,0.025,13027.740802264294
2021-10-18,1 wk ahead inc case,2021-10-23,04,quantile,0.1,13881.945438318413
2021-10-18,1 wk ahead inc case,2021-10-23,04,quantile,0.25,14716.359479607096
2021-10-18,1 wk ahead inc case,2021-10-23,04,quantile,0.5,15695.495295060431
2021-10-18,1 wk ahead inc case,2021-10-23,04,point,NA,15695.495295060431
2021-10-18,1 wk ahead inc case,2021-10-23,04,quantile,0.75,16705.755325051632
2021-10-18,1 wk ahead inc case,2021-10-23,04,quantile,0.9,17545.616202777772
2021-10-18,1 wk ahead inc case,2021-10-23,04,quantile,0.975,18767.377487998936
2021-10-18,1 wk ahead inc case,2021-10-23,05,quantile,0.025,2139.492583130873
2021-10-18,1 wk ahead inc case,2021-10-23,05,quantile,0.1,2703.5026272058954
2021-10-18,1 wk ahead inc case,2021-10-23,05,quantile,0.25,3217.1747377911483
2021-10-18,1 wk ahead inc case,2021-10-23,05,quantile,0.5,3781.90263841845
2021-10-18,1 wk ahead inc case,2021-10-23,05,point,NA,3781.90263841845
2021-10-18,1 wk ahead inc case,2021-10-23,05,quantile,0.75,4372.834846859661
2021-10-18,1 wk ahead inc case,2021-10-23,05,quantile,0.9,4891.372838480447
2021-10-18,1 wk ahead inc case,2021-10-23,05,quantile,0.975,5479.60865315398
2021-10-18,1 wk ahead inc case,2021-10-23,06,quantile,0.025,9001.483346549367
2021-10-18,1 wk ahead inc case,2021-10-23,06,quantile,0.1,17027.696950268877
2021-10-18,1 wk ahead inc case,2021-10-23,06,quantile,0.25,25136.40169838606
2021-10-18,1 wk ahead inc case,2021-10-23,06,quantile,0.5,34143.57098000852
