forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-04-01,1 day ahead cum death,2020-04-02,01,Alabama,point,NA,52.721
2020-04-01,1 day ahead inc death,2020-04-02,01,Alabama,point,NA,17.571
2020-04-01,1 wk ahead cum death,2020-04-11,01,Alabama,point,NA,825.564
2020-04-01,10 day ahead cum death,2020-04-11,01,Alabama,point,NA,825.564
2020-04-01,10 day ahead inc death,2020-04-11,01,Alabama,point,NA,168.94
2020-04-01,10 wk ahead cum death,2020-06-13,01,Alabama,point,NA,5516.046
2020-04-01,100 day ahead cum death,2020-07-10,01,Alabama,point,NA,5516.046
2020-04-01,100 day ahead inc death,2020-07-10,01,Alabama,point,NA,0
2020-04-01,101 day ahead cum death,2020-07-11,01,Alabama,point,NA,5516.046
2020-04-01,101 day ahead inc death,2020-07-11,01,Alabama,point,NA,0
2020-04-01,102 day ahead cum death,2020-07-12,01,Alabama,point,NA,5516.046
2020-04-01,102 day ahead inc death,2020-07-12,01,Alabama,point,NA,0
2020-04-01,103 day ahead cum death,2020-07-13,01,Alabama,point,NA,5516.046
2020-04-01,103 day ahead inc death,2020-07-13,01,Alabama,point,NA,0
2020-04-01,104 day ahead cum death,2020-07-14,01,Alabama,point,NA,5516.046
2020-04-01,104 day ahead inc death,2020-07-14,01,Alabama,point,NA,0
2020-04-01,105 day ahead cum death,2020-07-15,01,Alabama,point,NA,5516.046
2020-04-01,105 day ahead inc death,2020-07-15,01,Alabama,point,NA,0
2020-04-01,106 day ahead cum death,2020-07-16,01,Alabama,point,NA,5516.046
2020-04-01,106 day ahead inc death,2020-07-16,01,Alabama,point,NA,0
2020-04-01,107 day ahead cum death,2020-07-17,01,Alabama,point,NA,5516.046
2020-04-01,107 day ahead inc death,2020-07-17,01,Alabama,point,NA,0
2020-04-01,108 day ahead cum death,2020-07-18,01,Alabama,point,NA,5516.046
2020-04-01,108 day ahead inc death,2020-07-18,01,Alabama,point,NA,0
2020-04-01,109 day ahead cum death,2020-07-19,01,Alabama,point,NA,5516.046
2020-04-01,109 day ahead inc death,2020-07-19,01,Alabama,point,NA,0
2020-04-01,11 day ahead cum death,2020-04-12,01,Alabama,point,NA,1019.73
2020-04-01,11 day ahead inc death,2020-04-12,01,Alabama,point,NA,194.166
2020-04-01,11 wk ahead cum death,2020-06-20,01,Alabama,point,NA,5516.046
2020-04-01,110 day ahead cum death,2020-07-20,01,Alabama,point,NA,5516.046
2020-04-01,110 day ahead inc death,2020-07-20,01,Alabama,point,NA,0
2020-04-01,111 day ahead cum death,2020-07-21,01,Alabama,point,NA,5516.046
2020-04-01,111 day ahead inc death,2020-07-21,01,Alabama,point,NA,0
2020-04-01,112 day ahead cum death,2020-07-22,01,Alabama,point,NA,5516.046
2020-04-01,112 day ahead inc death,2020-07-22,01,Alabama,point,NA,0
2020-04-01,113 day ahead cum death,2020-07-23,01,Alabama,point,NA,5516.046
2020-04-01,113 day ahead inc death,2020-07-23,01,Alabama,point,NA,0
2020-04-01,114 day ahead cum death,2020-07-24,01,Alabama,point,NA,5516.046
2020-04-01,114 day ahead inc death,2020-07-24,01,Alabama,point,NA,0
2020-04-01,115 day ahead cum death,2020-07-25,01,Alabama,point,NA,5516.046
2020-04-01,115 day ahead inc death,2020-07-25,01,Alabama,point,NA,0
2020-04-01,116 day ahead cum death,2020-07-26,01,Alabama,point,NA,5516.046
2020-04-01,116 day ahead inc death,2020-07-26,01,Alabama,point,NA,0
2020-04-01,117 day ahead cum death,2020-07-27,01,Alabama,point,NA,5516.046
2020-04-01,117 day ahead inc death,2020-07-27,01,Alabama,point,NA,0
2020-04-01,118 day ahead cum death,2020-07-28,01,Alabama,point,NA,5516.046
2020-04-01,118 day ahead inc death,2020-07-28,01,Alabama,point,NA,0
2020-04-01,119 day ahead cum death,2020-07-29,01,Alabama,point,NA,5516.046
2020-04-01,119 day ahead inc death,2020-07-29,01,Alabama,point,NA,0
2020-04-01,12 day ahead cum death,2020-04-13,01,Alabama,point,NA,1238.235
2020-04-01,12 day ahead inc death,2020-04-13,01,Alabama,point,NA,218.505
2020-04-01,12 wk ahead cum death,2020-06-27,01,Alabama,point,NA,5516.046
2020-04-01,120 day ahead cum death,2020-07-30,01,Alabama,point,NA,5516.046
2020-04-01,120 day ahead inc death,2020-07-30,01,Alabama,point,NA,0
2020-04-01,121 day ahead cum death,2020-07-31,01,Alabama,point,NA,5516.046
2020-04-01,121 day ahead inc death,2020-07-31,01,Alabama,point,NA,0
2020-04-01,122 day ahead cum death,2020-08-01,01,Alabama,point,NA,5516.046
2020-04-01,122 day ahead inc death,2020-08-01,01,Alabama,point,NA,0
2020-04-01,123 day ahead cum death,2020-08-02,01,Alabama,point,NA,5516.046
2020-04-01,123 day ahead inc death,2020-08-02,01,Alabama,point,NA,0
2020-04-01,124 day ahead cum death,2020-08-03,01,Alabama,point,NA,5516.046
2020-04-01,124 day ahead inc death,2020-08-03,01,Alabama,point,NA,0
2020-04-01,125 day ahead cum death,2020-08-04,01,Alabama,point,NA,5516.046
2020-04-01,125 day ahead inc death,2020-08-04,01,Alabama,point,NA,0
2020-04-01,13 day ahead cum death,2020-04-14,01,Alabama,point,NA,1479.098
2020-04-01,13 day ahead inc death,2020-04-14,01,Alabama,point,NA,240.863
2020-04-01,13 wk ahead cum death,2020-07-04,01,Alabama,point,NA,5516.046
2020-04-01,14 day ahead cum death,2020-04-15,01,Alabama,point,NA,1740.953
2020-04-01,14 day ahead inc death,2020-04-15,01,Alabama,point,NA,261.855
2020-04-01,14 wk ahead cum death,2020-07-11,01,Alabama,point,NA,5516.046
2020-04-01,15 day ahead cum death,2020-04-16,01,Alabama,point,NA,2020.338
2020-04-01,15 day ahead inc death,2020-04-16,01,Alabama,point,NA,279.385
2020-04-01,15 wk ahead cum death,2020-07-18,01,Alabama,point,NA,5516.046
2020-04-01,16 day ahead cum death,2020-04-17,01,Alabama,point,NA,2312.901
2020-04-01,16 day ahead inc death,2020-04-17,01,Alabama,point,NA,292.563
2020-04-01,16 wk ahead cum death,2020-07-25,01,Alabama,point,NA,5516.046
2020-04-01,17 day ahead cum death,2020-04-18,01,Alabama,point,NA,2613.567
2020-04-01,17 day ahead inc death,2020-04-18,01,Alabama,point,NA,300.666
2020-04-01,17 wk ahead cum death,2020-08-01,01,Alabama,point,NA,5516.046
2020-04-01,18 day ahead cum death,2020-04-19,01,Alabama,point,NA,2916.852
2020-04-01,18 day ahead inc death,2020-04-19,01,Alabama,point,NA,303.285
2020-04-01,19 day ahead cum death,2020-04-20,01,Alabama,point,NA,3217.13
2020-04-01,19 day ahead inc death,2020-04-20,01,Alabama,point,NA,300.278
2020-04-01,2 day ahead cum death,2020-04-03,01,Alabama,point,NA,77.467
2020-04-01,2 day ahead inc death,2020-04-03,01,Alabama,point,NA,24.746
2020-04-01,2 wk ahead cum death,2020-04-18,01,Alabama,point,NA,2613.567
2020-04-01,20 day ahead cum death,2020-04-21,01,Alabama,point,NA,3508.888
2020-04-01,20 day ahead inc death,2020-04-21,01,Alabama,point,NA,291.758
2020-04-01,21 day ahead cum death,2020-04-22,01,Alabama,point,NA,3787.088
2020-04-01,21 day ahead inc death,2020-04-22,01,Alabama,point,NA,278.2
2020-04-01,22 day ahead cum death,2020-04-23,01,Alabama,point,NA,4047.392
2020-04-01,22 day ahead inc death,2020-04-23,01,Alabama,point,NA,260.304
2020-04-01,23 day ahead cum death,2020-04-24,01,Alabama,point,NA,4286.432
2020-04-01,23 day ahead inc death,2020-04-24,01,Alabama,point,NA,239.04
2020-04-01,24 day ahead cum death,2020-04-25,01,Alabama,point,NA,4501.773
2020-04-01,24 day ahead inc death,2020-04-25,01,Alabama,point,NA,215.341
2020-04-01,25 day ahead cum death,2020-04-26,01,Alabama,point,NA,4692.122
2020-04-01,25 day ahead inc death,2020-04-26,01,Alabama,point,NA,190.349
2020-04-01,26 day ahead cum death,2020-04-27,01,Alabama,point,NA,4857.17
2020-04-01,26 day ahead inc death,2020-04-27,01,Alabama,point,NA,165.048
2020-04-01,27 day ahead cum death,2020-04-28,01,Alabama,point,NA,4997.542
2020-04-01,27 day ahead inc death,2020-04-28,01,Alabama,point,NA,140.372
2020-04-01,28 day ahead cum death,2020-04-29,01,Alabama,point,NA,5114.631
2020-04-01,28 day ahead inc death,2020-04-29,01,Alabama,point,NA,117.089
2020-04-01,29 day ahead cum death,2020-04-30,01,Alabama,point,NA,5210.433
2020-04-01,29 day ahead inc death,2020-04-30,01,Alabama,point,NA,95.802
2020-04-01,3 day ahead cum death,2020-04-04,01,Alabama,point,NA,111.575
2020-04-01,3 day ahead inc death,2020-04-04,01,Alabama,point,NA,34.108
2020-04-01,3 wk ahead cum death,2020-04-25,01,Alabama,point,NA,4501.773
2020-04-01,30 day ahead cum death,2020-05-01,01,Alabama,point,NA,5287.285
2020-04-01,30 day ahead inc death,2020-05-01,01,Alabama,point,NA,76.852
2020-04-01,31 day ahead cum death,2020-05-02,01,Alabama,point,NA,5347.752
