,Unnamed: 0,location,target,type,quantile,forecast_date,target_end_date,value
2,2,01,1 day ahead inc hosp,point,,2020-04-20,2020-04-21,38.3248592922257
3,3,01,1 wk ahead cum death,point,,2020-04-20,2020-04-25,225.837
6,6,01,10 day ahead inc hosp,point,,2020-04-20,2020-04-30,7.794561120939599
7,7,01,10 wk ahead cum death,point,,2020-04-20,2020-06-27,289.956
10,10,01,100 day ahead inc hosp,point,,2020-04-20,2020-07-29,0.0
13,13,01,101 day ahead inc hosp,point,,2020-04-20,2020-07-30,0.0
16,16,01,102 day ahead inc hosp,point,,2020-04-20,2020-07-31,0.0
19,19,01,103 day ahead inc hosp,point,,2020-04-20,2020-08-01,0.0
22,22,01,104 day ahead inc hosp,point,,2020-04-20,2020-08-02,0.0
25,25,01,105 day ahead inc hosp,point,,2020-04-20,2020-08-03,0.0
28,28,01,106 day ahead inc hosp,point,,2020-04-20,2020-08-04,0.0
31,31,01,11 day ahead inc hosp,point,,2020-04-20,2020-05-01,5.950962133274361
32,32,01,11 wk ahead cum death,point,,2020-04-20,2020-07-04,289.956
35,35,01,12 day ahead inc hosp,point,,2020-04-20,2020-05-02,4.39403943498452
36,36,01,12 wk ahead cum death,point,,2020-04-20,2020-07-11,289.956
39,39,01,13 day ahead inc hosp,point,,2020-04-20,2020-05-03,3.26189474114207
40,40,01,13 wk ahead cum death,point,,2020-04-20,2020-07-18,289.956
43,43,01,14 day ahead inc hosp,point,,2020-04-20,2020-05-04,2.31187342006978
44,44,01,14 wk ahead cum death,point,,2020-04-20,2020-07-25,289.956
47,47,01,15 day ahead inc hosp,point,,2020-04-20,2020-05-05,1.4117236301538203
48,48,01,15 wk ahead cum death,point,,2020-04-20,2020-08-01,289.956
51,51,01,16 day ahead inc hosp,point,,2020-04-20,2020-05-06,0.928330132316084
54,54,01,17 day ahead inc hosp,point,,2020-04-20,2020-05-07,0.5368617573345129
57,57,01,18 day ahead inc hosp,point,,2020-04-20,2020-05-08,0.25507522298393
60,60,01,19 day ahead inc hosp,point,,2020-04-20,2020-05-09,0.13888596552656102
63,63,01,2 day ahead inc hosp,point,,2020-04-20,2020-04-22,34.6499617511917
64,64,01,2 wk ahead cum death,point,,2020-04-20,2020-05-02,276.47900000000004
67,67,01,20 day ahead inc hosp,point,,2020-04-20,2020-05-10,0.0386490779645191
70,70,01,21 day ahead inc hosp,point,,2020-04-20,2020-05-11,0.0197312324929972
73,73,01,22 day ahead inc hosp,point,,2020-04-20,2020-05-12,0.00617619047619048
76,76,01,23 day ahead inc hosp,point,,2020-04-20,2020-05-13,0.0
79,79,01,24 day ahead inc hosp,point,,2020-04-20,2020-05-14,0.0
82,82,01,25 day ahead inc hosp,point,,2020-04-20,2020-05-15,0.0
85,85,01,26 day ahead inc hosp,point,,2020-04-20,2020-05-16,0.0
88,88,01,27 day ahead inc hosp,point,,2020-04-20,2020-05-17,0.0
91,91,01,28 day ahead inc hosp,point,,2020-04-20,2020-05-18,0.0
94,94,01,29 day ahead inc hosp,point,,2020-04-20,2020-05-19,0.0
97,97,01,3 day ahead inc hosp,point,,2020-04-20,2020-04-23,30.438770435279398
98,98,01,3 wk ahead cum death,point,,2020-04-20,2020-05-09,289.056
101,101,01,30 day ahead inc hosp,point,,2020-04-20,2020-05-20,0.0
104,104,01,31 day ahead inc hosp,point,,2020-04-20,2020-05-21,0.0
107,107,01,32 day ahead inc hosp,point,,2020-04-20,2020-05-22,0.0
110,110,01,33 day ahead inc hosp,point,,2020-04-20,2020-05-23,0.0
113,113,01,34 day ahead inc hosp,point,,2020-04-20,2020-05-24,0.0
116,116,01,35 day ahead inc hosp,point,,2020-04-20,2020-05-25,0.0
119,119,01,36 day ahead inc hosp,point,,2020-04-20,2020-05-26,0.0
122,122,01,37 day ahead inc hosp,point,,2020-04-20,2020-05-27,0.0
125,125,01,38 day ahead inc hosp,point,,2020-04-20,2020-05-28,0.0
128,128,01,39 day ahead inc hosp,point,,2020-04-20,2020-05-29,0.0
131,131,01,4 day ahead inc hosp,point,,2020-04-20,2020-04-24,26.6066867315347
132,132,01,4 wk ahead cum death,point,,2020-04-20,2020-05-16,289.954
135,135,01,40 day ahead inc hosp,point,,2020-04-20,2020-05-30,0.0
138,138,01,41 day ahead inc hosp,point,,2020-04-20,2020-05-31,0.0
141,141,01,42 day ahead inc hosp,point,,2020-04-20,2020-06-01,0.0
144,144,01,43 day ahead inc hosp,point,,2020-04-20,2020-06-02,0.0
147,147,01,44 day ahead inc hosp,point,,2020-04-20,2020-06-03,0.0
150,150,01,45 day ahead inc hosp,point,,2020-04-20,2020-06-04,0.0
153,153,01,46 day ahead inc hosp,point,,2020-04-20,2020-06-05,0.0
156,156,01,47 day ahead inc hosp,point,,2020-04-20,2020-06-06,0.0
159,159,01,48 day ahead inc hosp,point,,2020-04-20,2020-06-07,0.0
162,162,01,49 day ahead inc hosp,point,,2020-04-20,2020-06-08,0.0
165,165,01,5 day ahead inc hosp,point,,2020-04-20,2020-04-25,22.496541697995
166,166,01,5 wk ahead cum death,point,,2020-04-20,2020-05-23,289.956
169,169,01,50 day ahead inc hosp,point,,2020-04-20,2020-06-09,0.0
172,172,01,51 day ahead inc hosp,point,,2020-04-20,2020-06-10,0.0
175,175,01,52 day ahead inc hosp,point,,2020-04-20,2020-06-11,0.0
178,178,01,53 day ahead inc hosp,point,,2020-04-20,2020-06-12,0.0
181,181,01,54 day ahead inc hosp,point,,2020-04-20,2020-06-13,0.0
184,184,01,55 day ahead inc hosp,point,,2020-04-20,2020-06-14,0.0
187,187,01,56 day ahead inc hosp,point,,2020-04-20,2020-06-15,0.0
190,190,01,57 day ahead inc hosp,point,,2020-04-20,2020-06-16,0.0
193,193,01,58 day ahead inc hosp,point,,2020-04-20,2020-06-17,0.0
196,196,01,59 day ahead inc hosp,point,,2020-04-20,2020-06-18,0.0
199,199,01,6 day ahead inc hosp,point,,2020-04-20,2020-04-26,19.0160422619048
200,200,01,6 wk ahead cum death,point,,2020-04-20,2020-05-30,289.956
