location_id,quantile,type,target_id,value
US,NA,point,1 day ahead,647
US,NA,point,2 day ahead,827
US,NA,point,3 day ahead,1058
US,NA,point,4 day ahead,1356
US,NA,point,5 day ahead,1713
US,NA,point,6 day ahead,2090
US,NA,point,7 day ahead,2510
US,0.01,quantile,1 day ahead,513
US,0.025,quantile,1 day ahead,534
US,0.05,quantile,1 day ahead,553
US,0.1,quantile,1 day ahead,574
US,0.15,quantile,1 day ahead,588
US,0.2,quantile,1 day ahead,598
US,0.25,quantile,1 day ahead,607
US,0.3,quantile,1 day ahead,615
US,0.35,quantile,1 day ahead,623
US,0.4,quantile,1 day ahead,630
US,0.45,quantile,1 day ahead,638
US,0.5,quantile,1 day ahead,647
US,0.55,quantile,1 day ahead,658
US,0.6,quantile,1 day ahead,672
US,0.65,quantile,1 day ahead,702
US,0.7,quantile,1 day ahead,767
US,0.75,quantile,1 day ahead,786
US,0.8,quantile,1 day ahead,799
US,0.85,quantile,1 day ahead,810
US,0.9,quantile,1 day ahead,823
US,0.95,quantile,1 day ahead,839
US,0.975,quantile,1 day ahead,852
US,0.99,quantile,1 day ahead,866
US,0.01,quantile,2 day ahead,651
US,0.025,quantile,2 day ahead,678
US,0.05,quantile,2 day ahead,701
US,0.1,quantile,2 day ahead,730
US,0.15,quantile,2 day ahead,749
US,0.2,quantile,2 day ahead,763
US,0.25,quantile,2 day ahead,775
US,0.3,quantile,2 day ahead,786
US,0.35,quantile,2 day ahead,796
US,0.4,quantile,2 day ahead,806
US,0.45,quantile,2 day ahead,816
US,0.5,quantile,2 day ahead,827
US,0.55,quantile,2 day ahead,840
US,0.6,quantile,2 day ahead,858
US,0.65,quantile,2 day ahead,895
US,0.7,quantile,2 day ahead,982
US,0.75,quantile,2 day ahead,1004
US,0.8,quantile,2 day ahead,1020
US,0.85,quantile,2 day ahead,1032
US,0.9,quantile,2 day ahead,1047
US,0.95,quantile,2 day ahead,1066
US,0.975,quantile,2 day ahead,1082
US,0.99,quantile,2 day ahead,1097
US,0.01,quantile,3 day ahead,822
US,0.025,quantile,3 day ahead,858
US,0.05,quantile,3 day ahead,889
US,0.1,quantile,3 day ahead,926
US,0.15,quantile,3 day ahead,951
US,0.2,quantile,3 day ahead,971
US,0.25,quantile,3 day ahead,987
US,0.3,quantile,3 day ahead,1001
US,0.35,quantile,3 day ahead,1016
US,0.4,quantile,3 day ahead,1029
US,0.45,quantile,3 day ahead,1043
US,0.5,quantile,3 day ahead,1058
US,0.55,quantile,3 day ahead,1076
US,0.6,quantile,3 day ahead,1100
US,0.65,quantile,3 day ahead,1148
US,0.7,quantile,3 day ahead,1209
US,0.75,quantile,3 day ahead,1233
US,0.8,quantile,3 day ahead,1250
US,0.85,quantile,3 day ahead,1266
US,0.9,quantile,3 day ahead,1283
US,0.95,quantile,3 day ahead,1304
US,0.975,quantile,3 day ahead,1321
US,0.99,quantile,3 day ahead,1340
US,0.01,quantile,4 day ahead,1040
US,0.025,quantile,4 day ahead,1083
US,0.05,quantile,4 day ahead,1123
US,0.1,quantile,4 day ahead,1172
US,0.15,quantile,4 day ahead,1207
US,0.2,quantile,4 day ahead,1233
US,0.25,quantile,4 day ahead,1256
US,0.3,quantile,4 day ahead,1276
US,0.35,quantile,4 day ahead,1296
US,0.4,quantile,4 day ahead,1315
US,0.45,quantile,4 day ahead,1334
US,0.5,quantile,4 day ahead,1356
US,0.55,quantile,4 day ahead,1380
US,0.6,quantile,4 day ahead,1409
US,0.65,quantile,4 day ahead,1436
US,0.7,quantile,4 day ahead,1458
US,0.75,quantile,4 day ahead,1477
US,0.8,quantile,4 day ahead,1494
US,0.85,quantile,4 day ahead,1511
US,0.9,quantile,4 day ahead,1529
US,0.95,quantile,4 day ahead,1553
US,0.975,quantile,4 day ahead,1572
US,0.99,quantile,4 day ahead,1595
US,0.01,quantile,5 day ahead,1314
US,0.025,quantile,5 day ahead,1371
US,0.05,quantile,5 day ahead,1421
US,0.1,quantile,5 day ahead,1485
US,0.15,quantile,5 day ahead,1529
US,0.2,quantile,5 day ahead,1566
US,0.25,quantile,5 day ahead,1596
US,0.3,quantile,5 day ahead,1624
US,0.35,quantile,5 day ahead,1651
US,0.4,quantile,5 day ahead,1674
US,0.45,quantile,5 day ahead,1696
US,0.5,quantile,5 day ahead,1713
US,0.55,quantile,5 day ahead,1729
US,0.6,quantile,5 day ahead,1743
US,0.65,quantile,5 day ahead,1756
US,0.7,quantile,5 day ahead,1769
US,0.75,quantile,5 day ahead,1782
US,0.8,quantile,5 day ahead,1796
US,0.85,quantile,5 day ahead,1813
US,0.9,quantile,5 day ahead,1834
US,0.95,quantile,5 day ahead,1865
US,0.975,quantile,5 day ahead,1898
US,0.99,quantile,5 day ahead,1940
US,0.01,quantile,6 day ahead,1660
US,0.025,quantile,6 day ahead,1730
US,0.05,quantile,6 day ahead,1797
US,0.1,quantile,6 day ahead,1878
US,0.15,quantile,6 day ahead,1935
US,0.2,quantile,6 day ahead,1977
US,0.25,quantile,6 day ahead,2006
US,0.3,quantile,6 day ahead,2028
US,0.35,quantile,6 day ahead,2046
US,0.4,quantile,6 day ahead,2062
US,0.45,quantile,6 day ahead,2076
US,0.5,quantile,6 day ahead,2090
US,0.55,quantile,6 day ahead,2105
US,0.6,quantile,6 day ahead,2120
US,0.65,quantile,6 day ahead,2137
US,0.7,quantile,6 day ahead,2155
US,0.75,quantile,6 day ahead,2176
US,0.8,quantile,6 day ahead,2205
US,0.85,quantile,6 day ahead,2244
US,0.9,quantile,6 day ahead,2297
US,0.95,quantile,6 day ahead,2375
US,0.975,quantile,6 day ahead,2435
US,0.99,quantile,6 day ahead,2513
US,0.01,quantile,7 day ahead,2094
US,0.025,quantile,7 day ahead,2179
US,0.05,quantile,7 day ahead,2256
US,0.1,quantile,7 day ahead,2316
US,0.15,quantile,7 day ahead,2348
US,0.2,quantile,7 day ahead,2372
US,0.25,quantile,7 day ahead,2394
US,0.3,quantile,7 day ahead,2414
US,0.35,quantile,7 day ahead,2435
US,0.4,quantile,7 day ahead,2456
US,0.45,quantile,7 day ahead,2480
US,0.5,quantile,7 day ahead,2510
US,0.55,quantile,7 day ahead,2549
US,0.6,quantile,7 day ahead,2598
US,0.65,quantile,7 day ahead,2651
US,0.7,quantile,7 day ahead,2704
US,0.75,quantile,7 day ahead,2757
US,0.8,quantile,7 day ahead,2814
US,0.85,quantile,7 day ahead,2877
US,0.9,quantile,7 day ahead,2953
US,0.95,quantile,7 day ahead,3059
US,0.975,quantile,7 day ahead,3154
US,0.99,quantile,7 day ahead,3257
