location,target,type,quantile,forecast_date,target_end_date,value
US,1 wk ahead cum death,point,,2020-04-26,2020-05-02,66837
US,1 wk ahead inc death,point,,2020-04-26,2020-05-02,1908
US,1 wk ahead cum death,quantile,0.01,2020-04-26,2020-05-02,65797
US,1 wk ahead cum death,quantile,0.025,2020-04-26,2020-05-02,65911
US,1 wk ahead cum death,quantile,0.05,2020-04-26,2020-05-02,66020
US,1 wk ahead cum death,quantile,0.1,2020-04-26,2020-05-02,66158
US,1 wk ahead cum death,quantile,0.15,2020-04-26,2020-05-02,66263
US,1 wk ahead cum death,quantile,0.2,2020-04-26,2020-05-02,66367
US,1 wk ahead cum death,quantile,0.25,2020-04-26,2020-05-02,66478
US,1 wk ahead cum death,quantile,0.3,2020-04-26,2020-05-02,66605
US,1 wk ahead cum death,quantile,0.35,2020-04-26,2020-05-02,66700
US,1 wk ahead cum death,quantile,0.4,2020-04-26,2020-05-02,66755
US,1 wk ahead cum death,quantile,0.45,2020-04-26,2020-05-02,66799
US,1 wk ahead cum death,quantile,0.5,2020-04-26,2020-05-02,66837
US,1 wk ahead cum death,quantile,0.55,2020-04-26,2020-05-02,66872
US,1 wk ahead cum death,quantile,0.6,2020-04-26,2020-05-02,66910
US,1 wk ahead cum death,quantile,0.65,2020-04-26,2020-05-02,66960
US,1 wk ahead cum death,quantile,0.7,2020-04-26,2020-05-02,67027
US,1 wk ahead cum death,quantile,0.75,2020-04-26,2020-05-02,67155
US,1 wk ahead cum death,quantile,0.8,2020-04-26,2020-05-02,67306
US,1 wk ahead cum death,quantile,0.85,2020-04-26,2020-05-02,67437
US,1 wk ahead cum death,quantile,0.9,2020-04-26,2020-05-02,67568
US,1 wk ahead cum death,quantile,0.95,2020-04-26,2020-05-02,67731
US,1 wk ahead cum death,quantile,0.975,2020-04-26,2020-05-02,67861
US,1 wk ahead cum death,quantile,0.99,2020-04-26,2020-05-02,68011
US,1 wk ahead inc death,quantile,0.01,2020-04-26,2020-05-02,1696
US,1 wk ahead inc death,quantile,0.025,2020-04-26,2020-05-02,1724
US,1 wk ahead inc death,quantile,0.05,2020-04-26,2020-05-02,1751
US,1 wk ahead inc death,quantile,0.1,2020-04-26,2020-05-02,1785
US,1 wk ahead inc death,quantile,0.15,2020-04-26,2020-05-02,1808
US,1 wk ahead inc death,quantile,0.2,2020-04-26,2020-05-02,1827
US,1 wk ahead inc death,quantile,0.25,2020-04-26,2020-05-02,1844
US,1 wk ahead inc death,quantile,0.3,2020-04-26,2020-05-02,1858
US,1 wk ahead inc death,quantile,0.35,2020-04-26,2020-05-02,1871
US,1 wk ahead inc death,quantile,0.4,2020-04-26,2020-05-02,1883
US,1 wk ahead inc death,quantile,0.45,2020-04-26,2020-05-02,1894
US,1 wk ahead inc death,quantile,0.5,2020-04-26,2020-05-02,1908
US,1 wk ahead inc death,quantile,0.55,2020-04-26,2020-05-02,1921
US,1 wk ahead inc death,quantile,0.6,2020-04-26,2020-05-02,1938
US,1 wk ahead inc death,quantile,0.65,2020-04-26,2020-05-02,1960
US,1 wk ahead inc death,quantile,0.7,2020-04-26,2020-05-02,1997
US,1 wk ahead inc death,quantile,0.75,2020-04-26,2020-05-02,2041
US,1 wk ahead inc death,quantile,0.8,2020-04-26,2020-05-02,2075
US,1 wk ahead inc death,quantile,0.85,2020-04-26,2020-05-02,2103
US,1 wk ahead inc death,quantile,0.9,2020-04-26,2020-05-02,2135
US,1 wk ahead inc death,quantile,0.95,2020-04-26,2020-05-02,2174
US,1 wk ahead inc death,quantile,0.975,2020-04-26,2020-05-02,2204
US,1 wk ahead inc death,quantile,0.99,2020-04-26,2020-05-02,2237
