forecast_date,target,target_end_date,location,type,quantile,value
2020-06-14,1 day ahead cum death,2020-06-15,US,point,NA,116571
2020-06-14,1 day ahead inc death,2020-06-15,US,point,NA,839
2020-06-14,1 wk ahead cum death,2020-06-20,US,point,NA,120630
2020-06-14,1 wk ahead inc death,2020-06-20,US,point,NA,6012
2020-06-14,2 day ahead cum death,2020-06-16,US,point,NA,117399
2020-06-14,2 day ahead inc death,2020-06-16,US,point,NA,840
2020-06-14,3 day ahead cum death,2020-06-17,US,point,NA,118217
2020-06-14,3 day ahead inc death,2020-06-17,US,point,NA,833
2020-06-14,4 day ahead cum death,2020-06-18,US,point,NA,119025
2020-06-14,4 day ahead inc death,2020-06-18,US,point,NA,825
2020-06-14,5 day ahead cum death,2020-06-19,US,point,NA,119826
2020-06-14,5 day ahead inc death,2020-06-19,US,point,NA,820
2020-06-14,6 day ahead cum death,2020-06-20,US,point,NA,120630
2020-06-14,6 day ahead inc death,2020-06-20,US,point,NA,823
2020-06-14,7 day ahead cum death,2020-06-21,US,point,NA,121448
2020-06-14,7 day ahead inc death,2020-06-21,US,point,NA,838
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.01,116478
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.025,116491
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.05,116503
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.1,116515
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.15,116524
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.2,116532
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.25,116539
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.3,116545
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.35,116551
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.4,116557
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.45,116564
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.5,116571
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.55,116579
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.6,116588
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.65,116599
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.7,116612
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.75,116625
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.8,116638
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.85,116651
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.9,116667
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.95,116687
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.975,116701
2020-06-14,1 day ahead cum death,2020-06-15,US,quantile,0.99,116719
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.01,746
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.025,759
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.05,771
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.1,783
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.15,792
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.2,800
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.25,807
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.3,813
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.35,819
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.4,825
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.45,832
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.5,839
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.55,847
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.6,856
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.65,867
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.7,880
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.75,893
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.8,906
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.85,919
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.9,935
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.95,955
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.975,969
2020-06-14,1 day ahead inc death,2020-06-15,US,quantile,0.99,987
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.01,120391
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.025,120423
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.05,120448
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.1,120482
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.15,120506
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.2,120526
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.25,120542
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.3,120557
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.35,120574
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.4,120592
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.45,120610
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.5,120630
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.55,120658
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.6,120695
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.65,120774
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.7,121194
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.75,121258
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.8,121306
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.85,121349
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.9,121394
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.95,121451
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.975,121497
2020-06-14,1 wk ahead cum death,2020-06-20,US,quantile,0.99,121549
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.01,5742
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.025,5784
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.05,5815
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.1,5852
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.15,5876
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.2,5897
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.25,5915
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.3,5933
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.35,5952
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.4,5971
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.45,5989
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.5,6012
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.55,6041
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.6,6078
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.65,6157
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.7,6727
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.75,6800
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.8,6852
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.85,6903
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.9,6954
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.95,7019
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.975,7070
2020-06-14,1 wk ahead inc death,2020-06-20,US,quantile,0.99,7129
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.01,117261
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.025,117282
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.05,117298
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.1,117317
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.15,117331
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.2,117342
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.25,117352
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.3,117361
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.35,117370
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.4,117379
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.45,117389
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.5,117399
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.55,117412
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.6,117428
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.65,117455
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.7,117494
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.75,117523
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.8,117546
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.85,117566
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.9,117587
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.95,117615
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.975,117637
2020-06-14,2 day ahead cum death,2020-06-16,US,quantile,0.99,117661
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.01,741
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.025,756
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.05,769
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.1,781
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.15,791
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.2,799
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.25,806
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.3,813
2020-06-14,2 day ahead inc death,2020-06-16,US,quantile,0.35,819
