"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-04-26,"1 day ahead cum death",2020-04-27,"01","Alabama","point",NA,232
2020-04-26,"1 day ahead cum death",2020-04-27,"01","Alabama","quantile","0.025",223
2020-04-26,"1 day ahead cum death",2020-04-27,"01","Alabama","quantile","0.975",244
2020-04-26,"1 day ahead cum death",2020-04-27,"04","Arizona","point",NA,307
2020-04-26,"1 day ahead cum death",2020-04-27,"04","Arizona","quantile","0.025",292
2020-04-26,"1 day ahead cum death",2020-04-27,"04","Arizona","quantile","0.975",326
2020-04-26,"1 day ahead cum death",2020-04-27,"05","Arkansas","point",NA,58
2020-04-26,"1 day ahead cum death",2020-04-27,"05","Arkansas","quantile","0.025",51
2020-04-26,"1 day ahead cum death",2020-04-27,"05","Arkansas","quantile","0.975",68
2020-04-26,"1 day ahead cum death",2020-04-27,"06","California","point",NA,1902
2020-04-26,"1 day ahead cum death",2020-04-27,"06","California","quantile","0.025",1860
2020-04-26,"1 day ahead cum death",2020-04-27,"06","California","quantile","0.975",1946
2020-04-26,"1 day ahead cum death",2020-04-27,"08","Colorado","point",NA,735
2020-04-26,"1 day ahead cum death",2020-04-27,"08","Colorado","quantile","0.025",713
2020-04-26,"1 day ahead cum death",2020-04-27,"08","Colorado","quantile","0.975",770
2020-04-26,"1 day ahead cum death",2020-04-27,"09","Connecticut","point",NA,2024
2020-04-26,"1 day ahead cum death",2020-04-27,"09","Connecticut","quantile","0.025",1996
2020-04-26,"1 day ahead cum death",2020-04-27,"09","Connecticut","quantile","0.975",2054
2020-04-26,"1 day ahead cum death",2020-04-27,"10","Delaware","point",NA,141
2020-04-26,"1 day ahead cum death",2020-04-27,"10","Delaware","quantile","0.025",130
2020-04-26,"1 day ahead cum death",2020-04-27,"10","Delaware","quantile","0.975",160
2020-04-26,"1 day ahead cum death",2020-04-27,"11","District of Columbia","point",NA,198
2020-04-26,"1 day ahead cum death",2020-04-27,"11","District of Columbia","quantile","0.025",184
2020-04-26,"1 day ahead cum death",2020-04-27,"11","District of Columbia","quantile","0.975",213
2020-04-26,"1 day ahead cum death",2020-04-27,"12","Florida","point",NA,1190
2020-04-26,"1 day ahead cum death",2020-04-27,"12","Florida","quantile","0.025",1156
2020-04-26,"1 day ahead cum death",2020-04-27,"12","Florida","quantile","0.975",1222
2020-04-26,"1 day ahead cum death",2020-04-27,"13","Georgia","point",NA,970
2020-04-26,"1 day ahead cum death",2020-04-27,"13","Georgia","quantile","0.025",945
2020-04-26,"1 day ahead cum death",2020-04-27,"13","Georgia","quantile","0.975",995
2020-04-26,"1 day ahead cum death",2020-04-27,"16","Idaho","point",NA,64
2020-04-26,"1 day ahead cum death",2020-04-27,"16","Idaho","quantile","0.025",56
2020-04-26,"1 day ahead cum death",2020-04-27,"16","Idaho","quantile","0.975",74
