forecast_date,target,target_end_date,location,type,quantile,value
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.01,87.6503729730633
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.025,121.3794520473
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.05,173.17558449693
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.1,208.45393583779
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.15,228.65796713378
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.2,253.157677500135
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.25,263.376518298602
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.3,272.582169537808
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.35,284.105820022847
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.4,295.828183967741
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.45,306.456404610387
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.5,318.393700854677
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.55,329.673766264404
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.6,342.114517285707
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.65,351.4161252054
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.7,361.073846780703
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.75,374.630260646833
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.8,390.793277311591
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.85,410.845962748631
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.9,432.100413872157
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.95,458.710005714877
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.975,529.598949599665
2022-01-10,1 day ahead inc hosp,2022-01-11,01,quantile,0.99,611.273931301804
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.01,105.914095455142
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.025,154.019515269318
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.05,199.947614747397
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.1,235.023250308741
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.15,255.75725025324
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.2,268.354361238924
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.25,290.855189805128
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.3,300.490127682761
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.35,313.784195068792
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.4,324.652637426246
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.45,335.353733524039
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.5,345.381235282951
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.55,354.755910343168
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.6,364.463577590822
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.65,373.002259775196
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.7,383.40876460692
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.75,397.016572754046
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.8,413.725139386501
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.85,432.723449767953
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.9,457.055308202633
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.95,502.070794950043
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.975,587.327496865667
2022-01-10,2 day ahead inc hosp,2022-01-12,01,quantile,0.99,682.284513116277
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.01,117.156479310472
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.025,169.057308291087
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.05,230.935350474973
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.1,256.132224727116
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.15,276.234028633484
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.2,292.770377276097
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.25,306.540002103598
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.3,321.468077022022
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.35,337.759109211312
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.4,350.288261493363
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.45,360.493369165993
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.5,371.058622876899
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.55,380.729668623612
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.6,389.073036948513
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.65,397.955637988609
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.7,407.647450071763
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.75,418.467262418019
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.8,433.562510445469
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.85,456.143992306252
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.9,482.665179662496
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.95,550.766882152189
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.975,636.938268943797
2022-01-10,3 day ahead inc hosp,2022-01-13,01,quantile,0.99,744.179784929266
2022-01-10,4 day ahead inc hosp,2022-01-14,01,quantile,0.01,135.518939877596
2022-01-10,4 day ahead inc hosp,2022-01-14,01,quantile,0.025,180.877330601501
2022-01-10,4 day ahead inc hosp,2022-01-14,01,quantile,0.05,235.878425810728
2022-01-10,4 day ahead inc hosp,2022-01-14,01,quantile,0.1,275.190642630908
2022-01-10,4 day ahead inc hosp,2022-01-14,01,quantile,0.15,293.736972132104
2022-01-10,4 day ahead inc hosp,2022-01-14,01,quantile,0.2,308.136929928984
