forecast_date,target,target_end_date,location,type,quantile,value
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.01,0
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.025,0
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.05,0
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.1,0
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.15,0.28925
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.2,0.86965
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.25,1.36757
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.3,1.81473
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.35,2.22909
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.4,2.62227
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.45,3.00268
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.5,3.37706
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.55,3.75143
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.6,4.13184
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.65,4.52503
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.7,4.93938
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.75,5.38654
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.8,5.88447
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.85,6.46486
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.9,7.19513
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.95,8.27751
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.975,9.2163
2023-07-03,1 day ahead inc hosp,2023-07-04,02,quantile,0.99,10.30786
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.01,0
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.025,0
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.05,0
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.1,0
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.15,0.05998
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.2,0.68045
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.25,1.21276
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.3,1.69079
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.35,2.13375
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.4,2.55408
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.45,2.96076
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.5,3.36099
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.55,3.76121
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.6,4.16789
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.65,4.58822
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.7,5.03118
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.75,5.50921
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.8,6.04152
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.85,6.66199
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.9,7.44268
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.95,8.59979
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.975,9.6034
2023-07-03,2 day ahead inc hosp,2023-07-05,02,quantile,0.99,10.77032
2023-07-03,3 day ahead inc hosp,2023-07-06,02,quantile,0.01,0
