forecast_date,target,target_end_date,type,quantile,value,location
2021-03-28,1 wk ahead cum death,2021-04-03,point,,554847.0,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.01,551613.1186629707,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.025,552059.4524813641,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.05,552323.9933727942,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.1,552801.649940469,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.15,553140.8311442768,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.2,553347.726095343,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.25,553566.2245382027,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.3,553777.05409304,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.35,553980.8039127267,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.4,554222.5552738333,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.45,554395.3722909526,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.5,554580.9851960172,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.55,554836.9619374159,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.6,555008.4428463833,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.65,555209.203700192,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.7,555778.9279662705,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.75,556110.6780977435,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.8,556399.9587849142,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.85,556739.5293772639,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.9,557244.3486614806,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.95,558032.9284082494,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.975,558853.4168847206,US
2021-03-28,1 wk ahead cum death,2021-04-03,quantile,0.99,559867.4283794467,US
2021-03-28,1 wk ahead inc case,2021-04-03,point,,422486.0,US
2021-03-28,1 wk ahead inc case,2021-04-03,quantile,0.025,292531.91154758574,US
2021-03-28,1 wk ahead inc case,2021-04-03,quantile,0.1,351101.2251879036,US
2021-03-28,1 wk ahead inc case,2021-04-03,quantile,0.25,391039.8154974098,US
2021-03-28,1 wk ahead inc case,2021-04-03,quantile,0.5,420983.0819937687,US
2021-03-28,1 wk ahead inc case,2021-04-03,quantile,0.75,454599.1787881324,US
2021-03-28,1 wk ahead inc case,2021-04-03,quantile,0.9,498149.2807714515,US
2021-03-28,1 wk ahead inc case,2021-04-03,quantile,0.975,552361.5099428336,US
2021-03-28,1 wk ahead inc death,2021-04-03,point,,6021.0,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.01,2787.1186629706367,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.025,3233.452481364219,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.05,3497.9933727943408,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.1,3975.6499404688225,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.15,4314.831144276831,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.2,4521.726095342921,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.25,4740.224538202711,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.3,4951.054093040081,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.35,5154.803912726672,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.4,5396.555273833537,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.45,5569.372290952497,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.5,5754.985196017155,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.55,6010.961937415741,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.6,6182.4428463833565,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.65,6383.203700192179,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.7,6952.927966270413,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.75,7284.678097743559,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.8,7573.958784914386,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.85,7913.529377263958,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.9,8418.348661480519,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.95,9206.928408249361,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.975,10027.416884720518,US
2021-03-28,1 wk ahead inc death,2021-04-03,quantile,0.99,11041.428379446754,US
2021-03-28,2 wk ahead cum death,2021-04-10,point,,560184.0,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.01,553944.1868695422,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.025,554784.9178540896,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.05,555455.3741016805,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.1,556376.3445780203,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.15,557017.5978573958,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.2,557420.1195310645,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.25,557835.192529648,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.3,558255.9115016917,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.35,558596.9080818327,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.4,559022.9053516426,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.45,559390.4067369254,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.5,559748.7105807576,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.55,560263.1816494609,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.6,560634.8903144129,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.65,561019.2021863612,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.7,561789.3871470458,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.75,562351.4853156189,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.8,562940.1651597745,US
