"forecast_date","target","target_end_date","quantile","type","location","value"
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","02",0.281179627077035
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","02",0.34408849112053
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","02",0.533772612976866
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","02",0.784978171510866
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","02",1.14970058653721
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","02",1.52590949282776
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","02",1.79580209443472
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","02",2.21476660869167
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","02",2.48468965514778
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","02",3.13897038050776
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","02",3.43546137498134
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","02",4.12510893327294
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","02",4.8983056769526
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","02",6.04853940919851
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","02",7.73284352003643
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","02",9.92115009224605
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","02",12.6508189907697
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","02",15.6346136960257
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","02",20.5739533164006
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","02",29.1681699222145
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","02",61.5600316228074
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","02",98.3886141093974
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","02",152.625078387582
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","01",5.77578128858694
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","01",7.75272550028404
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","01",10.3026089147184
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","01",17.3182706847552
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","01",21.8218895534672
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","01",24.6597386286504
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","01",28.9880812422477
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","01",34.6663586981113
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","01",41.9385044714501
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","01",48.4670930064776
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","01",54.6753649426071
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","01",63.1192593675102
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","01",71.2004756978065
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","01",79.4391691837138
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","01",93.9257691869188
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","01",115.367872530839
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","01",134.631328834401
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","01",146.710306810779
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","01",195.475713922748
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","01",257.178715304818
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","01",549.490684475737
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","01",760.277289577747
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","01",1007.0150648897
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","05",2.32858004022497
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","05",4.31730389726608
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","05",6.4913189635834
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","05",10.3609276546937
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","05",14.2642412937015
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","05",16.9034260163532
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","05",18.5685536872694
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","05",21.5722246125221
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","05",25.2526692485685
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","05",31.030585946066
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","05",34.8282052015286
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","05",39.5458305969145
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","05",45.2763052732838
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","05",52.2599625122642
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","05",63.6619632748805
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","05",76.5199696373369
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","05",91.3855508989839
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","05",103.742040749673
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","05",129.758152555892
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","05",178.666202332619
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","05",327.389685489562
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","05",430.397386041371
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","05",588.495560118866
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","04",18.4649968413978
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","04",22.5150541066212
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","04",27.6223180507039
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","04",39.4008887364728
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","04",49.3901657282609
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","04",62.4408326157505
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","04",80.7122407042747
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","04",98.2746408104853
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","04",113.530700690001
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","04",131.042951348902
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","04",151.082831791406
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","04",185.935665269071
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","04",197.039744880369
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","04",228.306192945675
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","04",269.546441293098
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","04",318.320963306312
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","04",361.361967380399
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","04",468.825179329172
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","04",570.83449073315
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","04",746.74029513772
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","04",1112.65705684175
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","04",1567.54197220515
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","04",1815.99458687095
