"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","quantile",0.025,149.825
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","quantile",0.1,191.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","quantile",0.25,233.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","quantile",0.5,283.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","quantile",0.75,332.25
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","quantile",0.9,383.49999999999994
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","quantile",0.975,468.6500000000002
"2020-12-27","1 wk ahead inc case","2021-01-02","01001","point","NA",278.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","quantile",0.025,521.7
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","quantile",0.1,655.6
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","quantile",0.25,769.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","quantile",0.5,918.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","quantile",0.75,1075.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","quantile",0.9,1249.6999999999998
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","quantile",0.975,1493.0250000000003
"2020-12-27","1 wk ahead inc case","2021-01-02","01003","point","NA",910.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","quantile",0.025,119.875
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","quantile",0.1,153.9
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","quantile",0.25,190.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","quantile",0.5,239.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","quantile",0.75,317.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","quantile",0.9,405.3
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","quantile",0.975,515.9250000000002
"2020-12-27","1 wk ahead inc case","2021-01-02","01009","point","NA",255.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","quantile",0.025,278.875
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","quantile",0.1,330.70000000000005
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","quantile",0.25,401.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","quantile",0.5,497.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","quantile",0.75,615.25
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","quantile",0.9,837.9999999999999
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","quantile",0.975,1070.9
"2020-12-27","1 wk ahead inc case","2021-01-02","01015","point","NA",512.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","quantile",0.025,46.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","quantile",0.1,61.900000000000006
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","quantile",0.25,83.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","quantile",0.5,107.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","quantile",0.75,135.25
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","quantile",0.9,165.1
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","quantile",0.975,205.12500000000003
"2020-12-27","1 wk ahead inc case","2021-01-02","01017","point","NA",105.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","quantile",0.025,62.975
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","quantile",0.1,85.9
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","quantile",0.25,108.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","quantile",0.5,137.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","quantile",0.75,176.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","quantile",0.9,211.2
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","quantile",0.975,258.15000000000003
"2020-12-27","1 wk ahead inc case","2021-01-02","01021","point","NA",139.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","quantile",0.025,112.925
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","quantile",0.1,138.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","quantile",0.25,168.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","quantile",0.5,202.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","quantile",0.75,247.25
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","quantile",0.9,293.4
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","quantile",0.975,361.125
"2020-12-27","1 wk ahead inc case","2021-01-02","01031","point","NA",210.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","quantile",0.025,102.85
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","quantile",0.1,154.70000000000002
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","quantile",0.25,216.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","quantile",0.5,279.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","quantile",0.75,345.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","quantile",0.9,403.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","quantile",0.975,489.4000000000001
"2020-12-27","1 wk ahead inc case","2021-01-02","01033","point","NA",273.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","quantile",0.025,35.775000000000006
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","quantile",0.1,63.900000000000006
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","quantile",0.25,92.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","quantile",0.5,124.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","quantile",0.75,156.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","quantile",0.9,190.29999999999998
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","quantile",0.975,240.22500000000005
"2020-12-27","1 wk ahead inc case","2021-01-02","01039","point","NA",116.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","quantile",0.025,191.85000000000002
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","quantile",0.1,248.8
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","quantile",0.25,304.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","quantile",0.5,380.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","quantile",0.75,477.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","quantile",0.9,591.3
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","quantile",0.975,802.1250000000002
"2020-12-27","1 wk ahead inc case","2021-01-02","01043","point","NA",401.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","quantile",0.025,60.900000000000006
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","quantile",0.1,91.70000000000002
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","quantile",0.25,121.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","quantile",0.5,154.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","quantile",0.75,191.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","quantile",0.9,230.1
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","quantile",0.975,282.4500000000001
"2020-12-27","1 wk ahead inc case","2021-01-02","01045","point","NA",154.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","quantile",0.025,30.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","quantile",0.1,42.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","quantile",0.25,56.75
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","quantile",0.5,80.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","quantile",0.75,107.25
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","quantile",0.9,130.29999999999998
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","quantile",0.975,161.07500000000002
"2020-12-27","1 wk ahead inc case","2021-01-02","01047","point","NA",80.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01049","quantile",0.025,161.92499999999998
"2020-12-27","1 wk ahead inc case","2021-01-02","01049","quantile",0.1,209.8
"2020-12-27","1 wk ahead inc case","2021-01-02","01049","quantile",0.25,262.5
"2020-12-27","1 wk ahead inc case","2021-01-02","01049","quantile",0.5,322.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01049","quantile",0.75,396.0
"2020-12-27","1 wk ahead inc case","2021-01-02","01049","quantile",0.9,495.5
