forecast_date,target,target_end_date,location,type,quantile,value
2022-08-21,1 wk ahead inc death,2022-08-27,01,point,NA,77.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.010,30.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.025,34.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.050,39.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.100,47.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.150,52.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.200,56.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.250,60.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.300,63.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.350,66.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.400,70.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.450,73.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.500,75.5
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.550,80.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.600,84.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.650,88.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.700,92.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.750,97.3
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.800,101.2
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.850,108.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.900,116.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.950,128.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.975,141.0
2022-08-21,1 wk ahead inc death,2022-08-27,01,quantile,0.990,154.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,point,NA,79.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.010,29.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.025,34.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.050,38.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.100,44.9
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.150,50.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.200,53.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.250,57.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.300,60.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.350,63.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.400,67.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.450,70.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.500,74.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.550,78.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.600,81.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.650,84.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.700,88.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.750,93.0
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.800,97.2
2022-08-21,2 wk ahead inc death,2022-09-03,01,quantile,0.850,103.0
