forecast_date,target,target_end_date,location,type,quantile,value
2021-04-19,1 wk ahead cum death,2021-04-24,01,point,NA,10918.0
2021-04-19,1 wk ahead inc case,2021-04-24,01,point,NA,6159.0
2021-04-19,2 wk ahead cum death,2021-05-01,01,point,NA,11059.0
2021-04-19,2 wk ahead inc case,2021-05-01,01,point,NA,13780.0
2021-04-19,3 wk ahead cum death,2021-05-08,01,point,NA,11199.0
2021-04-19,3 wk ahead inc case,2021-05-08,01,point,NA,21715.0
2021-04-19,4 wk ahead cum death,2021-05-15,01,point,NA,11341.0
2021-04-19,4 wk ahead inc case,2021-05-15,01,point,NA,29810.0
2021-04-19,5 wk ahead cum death,2021-05-22,01,point,NA,11485.0
2021-04-19,5 wk ahead inc case,2021-05-22,01,point,NA,38034.0
2021-04-19,1 wk ahead cum death,2021-04-24,04,point,NA,17236.0
2021-04-19,1 wk ahead inc case,2021-04-24,04,point,NA,4528.0
2021-04-19,2 wk ahead cum death,2021-05-01,04,point,NA,17318.0
2021-04-19,2 wk ahead inc case,2021-05-01,04,point,NA,9560.0
2021-04-19,3 wk ahead cum death,2021-05-08,04,point,NA,17409.0
2021-04-19,3 wk ahead inc case,2021-05-08,04,point,NA,14705.0
2021-04-19,4 wk ahead cum death,2021-05-15,04,point,NA,17496.0
2021-04-19,4 wk ahead inc case,2021-05-15,04,point,NA,19664.0
2021-04-19,5 wk ahead cum death,2021-05-22,04,point,NA,17584.0
2021-04-19,5 wk ahead inc case,2021-05-22,04,point,NA,24446.0
2021-04-19,1 wk ahead cum death,2021-04-24,05,point,NA,5723.0
2021-04-19,1 wk ahead inc case,2021-04-24,05,point,NA,2069.0
2021-04-19,2 wk ahead cum death,2021-05-01,05,point,NA,5758.0
2021-04-19,2 wk ahead inc case,2021-05-01,05,point,NA,4818.0
2021-04-19,3 wk ahead cum death,2021-05-08,05,point,NA,5793.0
2021-04-19,3 wk ahead inc case,2021-05-08,05,point,NA,7909.0
2021-04-19,4 wk ahead cum death,2021-05-15,05,point,NA,5828.0
2021-04-19,4 wk ahead inc case,2021-05-15,05,point,NA,11277.0
2021-04-19,5 wk ahead cum death,2021-05-22,05,point,NA,5864.0
2021-04-19,5 wk ahead inc case,2021-05-22,05,point,NA,14863.0
2021-04-19,1 wk ahead cum death,2021-04-24,06,point,NA,61716.19412759814
2021-04-19,1 wk ahead inc case,2021-04-24,06,point,NA,24304.0
2021-04-19,2 wk ahead cum death,2021-05-01,06,point,NA,62503.32783088996
2021-04-19,2 wk ahead inc case,2021-05-01,06,point,NA,52228.0
2021-04-19,3 wk ahead cum death,2021-05-08,06,point,NA,63355.615722490664
2021-04-19,3 wk ahead inc case,2021-05-08,06,point,NA,81591.0
2021-04-19,4 wk ahead cum death,2021-05-15,06,point,NA,64255.14294423959
2021-04-19,4 wk ahead inc case,2021-05-15,06,point,NA,111952.0
2021-04-19,5 wk ahead cum death,2021-05-22,06,point,NA,65198.303206643104
2021-04-19,5 wk ahead inc case,2021-05-22,06,point,NA,142996.0
2021-04-19,1 wk ahead cum death,2021-04-24,08,point,NA,6214.292903475001
2021-04-19,1 wk ahead inc case,2021-04-24,08,point,NA,10830.0
2021-04-19,2 wk ahead cum death,2021-05-01,08,point,NA,6232.093155010573
2021-04-19,2 wk ahead inc case,2021-05-01,08,point,NA,20398.0
2021-04-19,3 wk ahead cum death,2021-05-08,08,point,NA,6247.43792500262
2021-04-19,3 wk ahead inc case,2021-05-08,08,point,NA,30479.0
2021-04-19,4 wk ahead cum death,2021-05-15,08,point,NA,6260.666078989898
2021-04-19,4 wk ahead inc case,2021-05-15,08,point,NA,40996.0
2021-04-19,5 wk ahead cum death,2021-05-22,08,point,NA,6272.06969885023
2021-04-19,5 wk ahead inc case,2021-05-22,08,point,NA,51803.0
2021-04-19,1 wk ahead cum death,2021-04-24,09,point,NA,8017.625680813312
2021-04-19,1 wk ahead inc case,2021-04-24,09,point,NA,4973.0
2021-04-19,2 wk ahead cum death,2021-05-01,09,point,NA,8038.443254717511
2021-04-19,2 wk ahead inc case,2021-05-01,09,point,NA,9185.0
2021-04-19,3 wk ahead cum death,2021-05-08,09,point,NA,8054.7915622436885
2021-04-19,3 wk ahead inc case,2021-05-08,09,point,NA,13083.0
2021-04-19,4 wk ahead cum death,2021-05-15,09,point,NA,8067.630279059388
2021-04-19,4 wk ahead inc case,2021-05-15,09,point,NA,17255.0
2021-04-19,5 wk ahead cum death,2021-05-22,09,point,NA,8077.712973125171
2021-04-19,5 wk ahead inc case,2021-05-22,09,point,NA,21476.0
2021-04-19,1 wk ahead cum death,2021-04-24,10,point,NA,1617.9614256916952
2021-04-19,1 wk ahead inc case,2021-04-24,10,point,NA,2410.0
2021-04-19,2 wk ahead cum death,2021-05-01,10,point,NA,1638.8277651840274
2021-04-19,2 wk ahead inc case,2021-05-01,10,point,NA,4793.0
2021-04-19,3 wk ahead cum death,2021-05-08,10,point,NA,1647.2604816751834
2021-04-19,3 wk ahead inc case,2021-05-08,10,point,NA,7209.0
2021-04-19,4 wk ahead cum death,2021-05-15,10,point,NA,1659.0584728175845
2021-04-19,4 wk ahead inc case,2021-05-15,10,point,NA,9681.0
2021-04-19,5 wk ahead cum death,2021-05-22,10,point,NA,1667.9245388564395
2021-04-19,5 wk ahead inc case,2021-05-22,10,point,NA,12281.0
2021-04-19,1 wk ahead cum death,2021-04-24,12,point,NA,34804.0
2021-04-19,1 wk ahead inc case,2021-04-24,12,point,NA,46710.0
2021-04-19,2 wk ahead cum death,2021-05-01,12,point,NA,35252.0
2021-04-19,2 wk ahead inc case,2021-05-01,12,point,NA,93018.0
2021-04-19,3 wk ahead cum death,2021-05-08,12,point,NA,35688.0
2021-04-19,3 wk ahead inc case,2021-05-08,12,point,NA,140011.0
2021-04-19,4 wk ahead cum death,2021-05-15,12,point,NA,36132.0
2021-04-19,4 wk ahead inc case,2021-05-15,12,point,NA,187926.0
2021-04-19,5 wk ahead cum death,2021-05-22,12,point,NA,36582.0
2021-04-19,5 wk ahead inc case,2021-05-22,12,point,NA,236828.0
2021-04-19,1 wk ahead cum death,2021-04-24,13,point,NA,20008.0
2021-04-19,1 wk ahead inc case,2021-04-24,13,point,NA,10277.0
2021-04-19,2 wk ahead cum death,2021-05-01,13,point,NA,20338.0
2021-04-19,2 wk ahead inc case,2021-05-01,13,point,NA,21185.0
2021-04-19,3 wk ahead cum death,2021-05-08,13,point,NA,20590.0
2021-04-19,3 wk ahead inc case,2021-05-08,13,point,NA,32121.0
2021-04-19,4 wk ahead cum death,2021-05-15,13,point,NA,20907.0
2021-04-19,4 wk ahead inc case,2021-05-15,13,point,NA,43166.0
2021-04-19,5 wk ahead cum death,2021-05-22,13,point,NA,21131.0
2021-04-19,5 wk ahead inc case,2021-05-22,13,point,NA,54321.0
2021-04-19,1 wk ahead cum death,2021-04-24,16,point,NA,2033.0
2021-04-19,1 wk ahead inc case,2021-04-24,16,point,NA,1573.0
2021-04-19,2 wk ahead cum death,2021-05-01,16,point,NA,2049.0
2021-04-19,2 wk ahead inc case,2021-05-01,16,point,NA,3513.0
2021-04-19,3 wk ahead cum death,2021-05-08,16,point,NA,2067.0
2021-04-19,3 wk ahead inc case,2021-05-08,16,point,NA,4971.0
2021-04-19,4 wk ahead cum death,2021-05-15,16,point,NA,2086.0
2021-04-19,4 wk ahead inc case,2021-05-15,16,point,NA,6512.0
2021-04-19,5 wk ahead cum death,2021-05-22,16,point,NA,2103.0
2021-04-19,5 wk ahead inc case,2021-05-22,16,point,NA,8301.0
2021-04-19,1 wk ahead cum death,2021-04-24,17,point,NA,24090.0
2021-04-19,1 wk ahead inc case,2021-04-24,17,point,NA,19750.0
2021-04-19,2 wk ahead cum death,2021-05-01,17,point,NA,24238.0
2021-04-19,2 wk ahead inc case,2021-05-01,17,point,NA,38856.0
2021-04-19,3 wk ahead cum death,2021-05-08,17,point,NA,24384.0
2021-04-19,3 wk ahead inc case,2021-05-08,17,point,NA,56993.0
2021-04-19,4 wk ahead cum death,2021-05-15,17,point,NA,24542.0
2021-04-19,4 wk ahead inc case,2021-05-15,17,point,NA,74022.0
2021-04-19,5 wk ahead cum death,2021-05-22,17,point,NA,24691.0
2021-04-19,5 wk ahead inc case,2021-05-22,17,point,NA,90036.0
2021-04-19,1 wk ahead cum death,2021-04-24,18,point,NA,13297.934232754807
2021-04-19,1 wk ahead inc case,2021-04-24,18,point,NA,7500.0
2021-04-19,2 wk ahead cum death,2021-05-01,18,point,NA,13360.767535176223
2021-04-19,2 wk ahead inc case,2021-05-01,18,point,NA,14959.0
2021-04-19,3 wk ahead cum death,2021-05-08,18,point,NA,13412.039065173396
2021-04-19,3 wk ahead inc case,2021-05-08,18,point,NA,22378.0
2021-04-19,4 wk ahead cum death,2021-05-15,18,point,NA,13453.46949429327
2021-04-19,4 wk ahead inc case,2021-05-15,18,point,NA,29688.0
2021-04-19,5 wk ahead cum death,2021-05-22,18,point,NA,13486.71292976604
2021-04-19,5 wk ahead inc case,2021-05-22,18,point,NA,36525.0
2021-04-19,1 wk ahead cum death,2021-04-24,19,point,NA,5908.065247510456
2021-04-19,1 wk ahead inc case,2021-04-24,19,point,NA,3867.0
2021-04-19,2 wk ahead cum death,2021-05-01,19,point,NA,5925.577618201427
2021-04-19,2 wk ahead inc case,2021-05-01,19,point,NA,8070.0
2021-04-19,3 wk ahead cum death,2021-05-08,19,point,NA,5938.864791061574
2021-04-19,3 wk ahead inc case,2021-05-08,19,point,NA,12302.0
2021-04-19,4 wk ahead cum death,2021-05-15,19,point,NA,5948.930792527959
2021-04-19,4 wk ahead inc case,2021-05-15,19,point,NA,16582.0
2021-04-19,5 wk ahead cum death,2021-05-22,19,point,NA,5956.454911015678
2021-04-19,5 wk ahead inc case,2021-05-22,19,point,NA,20911.0
2021-04-19,1 wk ahead cum death,2021-04-24,20,point,NA,4937.715052740874
