forecast_date,target,target_end_date,location,type,quantile,value
2022-03-21,1 wk ahead cum death,2022-03-26,01,point,NA,19867.575198576476
2022-03-21,1 wk ahead inc case,2022-03-26,01,point,NA,0.0
2022-03-21,1 wk ahead inc death,2022-03-26,01,point,NA,163.2784090909091
2022-03-21,2 wk ahead cum death,2022-04-02,01,point,NA,20923.558781969063
2022-03-21,2 wk ahead inc case,2022-04-02,01,point,NA,181.7007163104797
2022-03-21,2 wk ahead inc death,2022-04-02,01,point,NA,207.84049453060393
2022-03-21,3 wk ahead cum death,2022-04-09,01,point,NA,22062.36460719637
2022-03-21,3 wk ahead inc case,2022-04-09,01,point,NA,169.83765666516723
2022-03-21,3 wk ahead inc death,2022-04-09,01,point,NA,224.14170978790793
2022-03-21,4 wk ahead cum death,2022-04-16,01,point,NA,23270.188967285943
2022-03-21,4 wk ahead inc case,2022-04-16,01,point,NA,152.2607380164364
2022-03-21,4 wk ahead inc death,2022-04-16,01,point,NA,237.72605583566076
2022-03-21,5 wk ahead cum death,2022-04-23,01,point,NA,24346.87811113721
2022-03-21,5 wk ahead inc case,2022-04-23,01,point,NA,175.55151566866488
2022-03-21,5 wk ahead inc death,2022-04-23,01,point,NA,211.91579834493032
2022-03-21,1 wk ahead cum death,2022-03-26,04,point,NA,28806.517844538703
2022-03-21,1 wk ahead inc case,2022-03-26,04,point,NA,0.0
2022-03-21,1 wk ahead inc death,2022-03-26,04,point,NA,501.8625654450261
2022-03-21,2 wk ahead cum death,2022-04-02,04,point,NA,29277.31979029641
2022-03-21,2 wk ahead inc case,2022-04-02,04,point,NA,849.0223854748472
2022-03-21,2 wk ahead inc death,2022-04-02,04,point,NA,910.4494249112636
2022-03-21,3 wk ahead cum death,2022-04-09,04,point,NA,29752.372769424383
2022-03-21,3 wk ahead inc case,2022-04-09,04,point,NA,916.43855504097
2022-03-21,3 wk ahead inc death,2022-04-09,04,point,NA,918.6701872129337
2022-03-21,4 wk ahead cum death,2022-04-16,04,point,NA,30233.80229860777
2022-03-21,4 wk ahead inc case,2022-04-16,04,point,NA,958.7651842286845
2022-03-21,4 wk ahead inc death,2022-04-16,04,point,NA,931.001330665467
2022-03-21,5 wk ahead cum death,2022-04-23,04,point,NA,30720.545619504
2022-03-21,5 wk ahead inc case,2022-04-23,04,point,NA,986.6318111376415
2022-03-21,5 wk ahead inc death,2022-04-23,04,point,NA,941.2772835425686
2022-03-21,1 wk ahead cum death,2022-03-26,05,point,NA,11321.548307015104
2022-03-21,1 wk ahead inc case,2022-03-26,05,point,NA,0.0
2022-03-21,1 wk ahead inc death,2022-03-26,05,point,NA,182.62694300518135
2022-03-21,2 wk ahead cum death,2022-04-02,05,point,NA,11687.197659935746
