forecast_date,target,target_end_date,location,type,quantile,value
2020-09-20,1 wk ahead cum death,2020-09-26,US,point,NA,204435
2020-09-20,2 wk ahead cum death,2020-10-03,US,point,NA,209199
2020-09-20,3 wk ahead cum death,2020-10-10,US,point,NA,213260
2020-09-20,4 wk ahead cum death,2020-10-17,US,point,NA,216475
2020-09-20,1 wk ahead inc death,2020-09-26,US,point,NA,4833
2020-09-20,2 wk ahead inc death,2020-10-03,US,point,NA,4738
2020-09-20,3 wk ahead inc death,2020-10-10,US,point,NA,4034
2020-09-20,4 wk ahead inc death,2020-10-17,US,point,NA,3189
2020-09-20,1 wk ahead cum death,2020-09-26,01,point,NA,2536
2020-09-20,2 wk ahead cum death,2020-10-03,01,point,NA,2697
2020-09-20,3 wk ahead cum death,2020-10-10,01,point,NA,2842
2020-09-20,4 wk ahead cum death,2020-10-17,01,point,NA,2908
2020-09-20,1 wk ahead cum death,2020-09-26,02,point,NA,73
2020-09-20,2 wk ahead cum death,2020-10-03,02,point,NA,82
2020-09-20,3 wk ahead cum death,2020-10-10,02,point,NA,93
2020-09-20,4 wk ahead cum death,2020-10-17,02,point,NA,104
2020-09-20,1 wk ahead cum death,2020-09-26,04,point,NA,5566
2020-09-20,2 wk ahead cum death,2020-10-03,04,point,NA,5656
2020-09-20,3 wk ahead cum death,2020-10-10,04,point,NA,5719
2020-09-20,4 wk ahead cum death,2020-10-17,04,point,NA,5788
2020-09-20,1 wk ahead cum death,2020-09-26,05,point,NA,1284
2020-09-20,2 wk ahead cum death,2020-10-03,05,point,NA,1410
2020-09-20,3 wk ahead cum death,2020-10-10,05,point,NA,1507
2020-09-20,4 wk ahead cum death,2020-10-17,05,point,NA,1565
2020-09-20,1 wk ahead cum death,2020-09-26,06,point,NA,15611
2020-09-20,2 wk ahead cum death,2020-10-03,06,point,NA,16114
2020-09-20,3 wk ahead cum death,2020-10-10,06,point,NA,16507
2020-09-20,4 wk ahead cum death,2020-10-17,06,point,NA,16814
2020-09-20,1 wk ahead cum death,2020-09-26,08,point,NA,2065
2020-09-20,2 wk ahead cum death,2020-10-03,08,point,NA,2097
2020-09-20,3 wk ahead cum death,2020-10-10,08,point,NA,2135
2020-09-20,4 wk ahead cum death,2020-10-17,08,point,NA,2164
2020-09-20,1 wk ahead cum death,2020-09-26,09,point,NA,4503
2020-09-20,2 wk ahead cum death,2020-10-03,09,point,NA,4516
2020-09-20,3 wk ahead cum death,2020-10-10,09,point,NA,4529
2020-09-20,4 wk ahead cum death,2020-10-17,09,point,NA,4539
2020-09-20,1 wk ahead cum death,2020-09-26,10,point,NA,628
2020-09-20,2 wk ahead cum death,2020-10-03,10,point,NA,637
2020-09-20,3 wk ahead cum death,2020-10-10,10,point,NA,644
2020-09-20,4 wk ahead cum death,2020-10-17,10,point,NA,649
2020-09-20,1 wk ahead cum death,2020-09-26,11,point,NA,623
2020-09-20,2 wk ahead cum death,2020-10-03,11,point,NA,627
2020-09-20,3 wk ahead cum death,2020-10-10,11,point,NA,632
2020-09-20,4 wk ahead cum death,2020-10-17,11,point,NA,635
2020-09-20,1 wk ahead cum death,2020-09-26,12,point,NA,13897
2020-09-20,2 wk ahead cum death,2020-10-03,12,point,NA,14471
2020-09-20,3 wk ahead cum death,2020-10-10,12,point,NA,14887
