forecast_date,location,quantile,target,target_end_date,type,value
2021-10-25,US,NA,1 wk ahead inc case,2021-10-30,point,394235.6760679692
2021-10-25,US,0.025,1 wk ahead inc case,2021-10-30,quantile,58764.231565185844
2021-10-25,US,0.1,1 wk ahead inc case,2021-10-30,quantile,174882.68882471585
2021-10-25,US,0.25,1 wk ahead inc case,2021-10-30,quantile,278788.6308235636
2021-10-25,US,0.5,1 wk ahead inc case,2021-10-30,quantile,394235.6760679692
2021-10-25,US,0.75,1 wk ahead inc case,2021-10-30,quantile,509682.7213123747
2021-10-25,US,0.9,1 wk ahead inc case,2021-10-30,quantile,613588.6633112225
2021-10-25,US,0.975,1 wk ahead inc case,2021-10-30,quantile,729707.1205707525
2021-10-25,US,NA,2 wk ahead inc case,2021-11-06,point,266677.0510032021
2021-10-25,US,0.025,2 wk ahead inc case,2021-11-06,quantile,39750.51708808625
2021-10-25,US,0.1,2 wk ahead inc case,2021-11-06,quantile,118297.76592630158
2021-10-25,US,0.25,2 wk ahead inc case,2021-11-06,quantile,188583.97256881048
2021-10-25,US,0.5,2 wk ahead inc case,2021-11-06,quantile,266677.0510032021
2021-10-25,US,0.75,2 wk ahead inc case,2021-11-06,quantile,344770.1294375937
2021-10-25,US,0.9,2 wk ahead inc case,2021-11-06,quantile,415056.3360801026
2021-10-25,US,0.975,2 wk ahead inc case,2021-11-06,quantile,493603.5849183179
2021-10-25,US,NA,3 wk ahead inc case,2021-11-13,point,171457.51812807663
2021-10-25,US,0.025,3 wk ahead inc case,2021-11-13,quantile,25557.223535328245
2021-10-25,US,0.1,3 wk ahead inc case,2021-11-13,quantile,76058.44323505837
2021-10-25,US,0.25,3 wk ahead inc case,2021-11-13,quantile,121248.30304574383
2021-10-25,US,0.5,3 wk ahead inc case,2021-11-13,quantile,171457.51812807663
2021-10-25,US,0.75,3 wk ahead inc case,2021-11-13,quantile,221666.7332104094
2021-10-25,US,0.9,3 wk ahead inc case,2021-11-13,quantile,266856.59302109486
2021-10-25,US,0.975,3 wk ahead inc case,2021-11-13,quantile,317357.81272082496
2021-10-25,US,NA,4 wk ahead inc case,2021-11-20,point,104777.56823345384
2021-10-25,US,0.025,4 wk ahead inc case,2021-11-20,quantile,15618.001252241313
2021-10-25,US,0.1,4 wk ahead inc case,2021-11-20,quantile,46479.26094345248
2021-10-25,US,0.25,4 wk ahead inc case,2021-11-20,quantile,74094.75235770128
2021-10-25,US,0.5,4 wk ahead inc case,2021-11-20,quantile,104777.56823345384
2021-10-25,US,0.75,4 wk ahead inc case,2021-11-20,quantile,135460.38410920644
2021-10-25,US,0.9,4 wk ahead inc case,2021-11-20,quantile,163075.8755234552
2021-10-25,US,0.975,4 wk ahead inc case,2021-11-20,quantile,193937.13521466637
2021-10-25,US,NA,1 wk ahead inc death,2021-10-30,point,9097.60696758062
2021-10-25,US,0.01,1 wk ahead inc death,2021-10-30,quantile,5679.18090116584
2021-10-25,US,0.025,1 wk ahead inc death,2021-10-30,quantile,6217.559641576842
2021-10-25,US,0.05,1 wk ahead inc death,2021-10-30,quantile,6680.5950595373715
2021-10-25,US,0.1,1 wk ahead inc death,2021-10-30,quantile,7214.4452418569535
2021-10-25,US,0.15,1 wk ahead inc death,2021-10-30,quantile,7574.631425408549
2021-10-25,US,0.2,1 wk ahead inc death,2021-10-30,quantile,7860.895985960979
2021-10-25,US,0.25,1 wk ahead inc death,2021-10-30,quantile,8106.48548943517
2021-10-25,US,0.3,1 wk ahead inc death,2021-10-30,quantile,8327.03245381769
2021-10-25,US,0.35,1 wk ahead inc death,2021-10-30,quantile,8531.402084386264
2021-10-25,US,0.4,1 wk ahead inc death,2021-10-30,quantile,8725.328878446093
2021-10-25,US,0.45,1 wk ahead inc death,2021-10-30,quantile,8912.95529599548
2021-10-25,US,0.5,1 wk ahead inc death,2021-10-30,quantile,9097.60696758062
2021-10-25,US,0.55,1 wk ahead inc death,2021-10-30,quantile,9282.258639165757
2021-10-25,US,0.6,1 wk ahead inc death,2021-10-30,quantile,9469.885056715148
2021-10-25,US,0.65,1 wk ahead inc death,2021-10-30,quantile,9663.811850774973
2021-10-25,US,0.7,1 wk ahead inc death,2021-10-30,quantile,9868.181481343549
2021-10-25,US,0.75,1 wk ahead inc death,2021-10-30,quantile,10088.728445726068
2021-10-25,US,0.8,1 wk ahead inc death,2021-10-30,quantile,10334.31794920026
2021-10-25,US,0.85,1 wk ahead inc death,2021-10-30,quantile,10620.58250975269
2021-10-25,US,0.9,1 wk ahead inc death,2021-10-30,quantile,10980.768693304286
2021-10-25,US,0.95,1 wk ahead inc death,2021-10-30,quantile,11514.618875623864
2021-10-25,US,0.975,1 wk ahead inc death,2021-10-30,quantile,11977.654293584395
2021-10-25,US,0.99,1 wk ahead inc death,2021-10-30,quantile,12516.033033995396
2021-10-25,US,NA,2 wk ahead inc death,2021-11-06,point,7350.5445826675
2021-10-25,US,0.01,2 wk ahead inc death,2021-11-06,quantile,4588.577255075113
2021-10-25,US,0.025,2 wk ahead inc death,2021-11-06,quantile,5023.568231037647
2021-10-25,US,0.05,2 wk ahead inc death,2021-11-06,quantile,5397.684467889994
2021-10-25,US,0.1,2 wk ahead inc death,2021-11-06,quantile,5829.0165291220055
2021-10-25,US,0.15,2 wk ahead inc death,2021-11-06,quantile,6120.034223081689
2021-10-25,US,0.2,2 wk ahead inc death,2021-11-06,quantile,6351.32586079221
2021-10-25,US,0.25,2 wk ahead inc death,2021-11-06,quantile,6549.753491349908
2021-10-25,US,0.3,2 wk ahead inc death,2021-11-06,quantile,6727.947636254456
2021-10-25,US,0.35,2 wk ahead inc death,2021-11-06,quantile,6893.071067744824
2021-10-25,US,0.4,2 wk ahead inc death,2021-11-06,quantile,7049.757056773611
2021-10-25,US,0.45,2 wk ahead inc death,2021-11-06,quantile,7201.352564471139
2021-10-25,US,0.5,2 wk ahead inc death,2021-11-06,quantile,7350.5445826675
2021-10-25,US,0.55,2 wk ahead inc death,2021-11-06,quantile,7499.736600863864
2021-10-25,US,0.6,2 wk ahead inc death,2021-11-06,quantile,7651.3321085613925
2021-10-25,US,0.65,2 wk ahead inc death,2021-11-06,quantile,7808.018097590178
2021-10-25,US,0.7,2 wk ahead inc death,2021-11-06,quantile,7973.141529080546
2021-10-25,US,0.75,2 wk ahead inc death,2021-11-06,quantile,8151.335673985095
2021-10-25,US,0.8,2 wk ahead inc death,2021-11-06,quantile,8349.763304542794
2021-10-25,US,0.85,2 wk ahead inc death,2021-11-06,quantile,8581.054942253313
2021-10-25,US,0.9,2 wk ahead inc death,2021-11-06,quantile,8872.072636212997
2021-10-25,US,0.95,2 wk ahead inc death,2021-11-06,quantile,9303.404697445008
2021-10-25,US,0.975,2 wk ahead inc death,2021-11-06,quantile,9677.520934297354
2021-10-25,US,0.99,2 wk ahead inc death,2021-11-06,quantile,10112.511910259887
2021-10-25,US,NA,3 wk ahead inc death,2021-11-13,point,5675.246998402179
2021-10-25,US,0.01,3 wk ahead inc death,2021-11-13,quantile,3542.7727838297387
2021-10-25,US,0.025,3 wk ahead inc death,2021-11-13,quantile,3878.622897096792
2021-10-25,US,0.05,3 wk ahead inc death,2021-11-13,quantile,4167.472522641038
2021-10-25,US,0.1,3 wk ahead inc death,2021-11-13,quantile,4500.4976418402
2021-10-25,US,0.15,3 wk ahead inc death,2021-11-13,quantile,4725.188108723575
2021-10-25,US,0.2,3 wk ahead inc death,2021-11-13,quantile,4903.764968969731
2021-10-25,US,0.25,3 wk ahead inc death,2021-11-13,quantile,5056.9680142757925
2021-10-25,US,0.3,3 wk ahead inc death,2021-11-13,quantile,5194.549083899805
2021-10-25,US,0.35,3 wk ahead inc death,2021-11-13,quantile,5322.038448584604
2021-10-25,US,0.4,3 wk ahead inc death,2021-11-13,quantile,5443.013388458324
2021-10-25,US,0.45,3 wk ahead inc death,2021-11-13,quantile,5560.058042817721
2021-10-25,US,0.5,3 wk ahead inc death,2021-11-13,quantile,5675.246998402179
2021-10-25,US,0.55,3 wk ahead inc death,2021-11-13,quantile,5790.435953986637
2021-10-25,US,0.6,3 wk ahead inc death,2021-11-13,quantile,5907.480608346035
2021-10-25,US,0.65,3 wk ahead inc death,2021-11-13,quantile,6028.455548219753
