forecast_date,target,target_end_date,location,type,quantile,value
2022-04-04,1 wk ahead inc case,2022-04-09,US,point,NA,317007.3070636514
2022-04-04,1 wk ahead inc case,2022-04-09,US,quantile,0.025,5.8250836581564425
2022-04-04,1 wk ahead inc case,2022-04-09,US,quantile,0.1,109731.17917768184
2022-04-04,1 wk ahead inc case,2022-04-09,US,quantile,0.25,207916.39923115406
2022-04-04,1 wk ahead inc case,2022-04-09,US,quantile,0.5,317007.3070636514
2022-04-04,1 wk ahead inc case,2022-04-09,US,quantile,0.75,426098.2148961487
2022-04-04,1 wk ahead inc case,2022-04-09,US,quantile,0.9,524283.4349496209
2022-04-04,1 wk ahead inc case,2022-04-09,US,quantile,0.975,634008.7890436447
2022-04-04,2 wk ahead inc case,2022-04-16,US,point,NA,181682.11284530006
2022-04-04,2 wk ahead inc case,2022-04-16,US,quantile,0.025,3.338451458161483
2022-04-04,2 wk ahead inc case,2022-04-16,US,quantile,0.1,62888.74746349137
2022-04-04,2 wk ahead inc case,2022-04-16,US,quantile,0.25,119160.31544319664
2022-04-04,2 wk ahead inc case,2022-04-16,US,quantile,0.5,181682.11284530006
2022-04-04,2 wk ahead inc case,2022-04-16,US,quantile,0.75,244203.91024740352
2022-04-04,2 wk ahead inc case,2022-04-16,US,quantile,0.9,300475.4782271088
2022-04-04,2 wk ahead inc case,2022-04-16,US,quantile,0.975,363360.887239142
2022-04-04,3 wk ahead inc case,2022-04-23,US,point,NA,102323.18311413974
2022-04-04,3 wk ahead inc case,2022-04-23,US,quantile,0.025,1.8802125015025173
2022-04-04,3 wk ahead inc case,2022-04-23,US,quantile,0.1,35418.87928177617
2022-04-04,3 wk ahead inc case,2022-04-23,US,quantile,0.25,67110.96973764789
2022-04-04,3 wk ahead inc case,2022-04-23,US,quantile,0.5,102323.18311413974
2022-04-04,3 wk ahead inc case,2022-04-23,US,quantile,0.75,137535.3964906316
2022-04-04,3 wk ahead inc case,2022-04-23,US,quantile,0.9,169227.48694650328
2022-04-04,3 wk ahead inc case,2022-04-23,US,quantile,0.975,204644.48601577795
2022-04-04,4 wk ahead inc case,2022-04-30,US,point,NA,56543.2976393749
2022-04-04,4 wk ahead inc case,2022-04-30,US,quantile,0.025,1.0389963629174797
2022-04-04,4 wk ahead inc case,2022-04-30,US,quantile,0.1,19572.301919581423
2022-04-04,4 wk ahead inc case,2022-04-30,US,quantile,0.25,37085.19830261742
2022-04-04,4 wk ahead inc case,2022-04-30,US,quantile,0.5,56543.2976393749
2022-04-04,4 wk ahead inc case,2022-04-30,US,quantile,0.75,76001.39697613238
2022-04-04,4 wk ahead inc case,2022-04-30,US,quantile,0.9,93514.29335916837
2022-04-04,4 wk ahead inc case,2022-04-30,US,quantile,0.975,113085.55628238688
2022-04-04,1 wk ahead inc death,2022-04-09,US,point,NA,5980.721269632346
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.01,0.0
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.025,259.4703642651886
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.05,1179.2961533433029
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.1,2239.79637892964
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.15,2955.310846396624
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.2,3523.9790628691803
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.25,4011.845757424515
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.3,4449.965127289278
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.35,4855.948016307424
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.4,5241.186076832368
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.45,5613.908358714003
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.5,5980.721269632346
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.55,6347.534180550688
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.6,6720.256462432322
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.65,7105.494522957268
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.7,7511.47741197541
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.75,7949.596781840175
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.8,8437.463476395511
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.85,9006.131692868068
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.9,9721.64616033505
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.95,10782.146385921385
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.975,11701.9721749995
2022-04-04,1 wk ahead inc death,2022-04-09,US,quantile,0.99,12771.468439243472
2022-04-04,2 wk ahead inc death,2022-04-16,US,point,NA,5585.89600882613
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.01,0.0
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.025,242.34108342699557
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.05,1101.4433509270218
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.1,2091.9332451042987
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.15,2760.212074344384
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.2,3291.3389029544055
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.25,3746.9984294722435
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.3,4156.194767034961
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.35,4535.376156231781
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.4,4895.182214350669
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.45,5243.298739582279
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.5,5585.89600882613
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.55,5928.493278069981
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.6,6276.60980330159
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.65,6636.41586142048
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.7,7015.597250617297
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.75,7424.793588180016
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.8,7880.453114697855
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.85,8411.579943307877
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.9,9079.858772547961
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.95,10070.348666725235
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.975,10929.450934225264
2022-04-04,2 wk ahead inc death,2022-04-16,US,quantile,0.99,11928.342981615746
2022-04-04,3 wk ahead inc death,2022-04-23,US,point,NA,5347.768598449322
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.01,0.0
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.025,232.0100542540218
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.05,1054.4886900420756
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.1,2002.7538823752525
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.15,2642.543905743345
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.2,3151.028734559831
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.25,3587.2634413367055
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.3,3979.015690422745
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.35,4342.032531957051
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.4,4686.500015078775
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.45,5019.776291488747
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.5,5347.768598449322
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.55,5675.760905409898
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.6,6009.037181819869
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.65,6353.504664941593
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.7,6716.521506475898
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.75,7108.273755561938
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.8,7544.508462338814
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.85,8052.9932911553005
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.9,8692.783314523393
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.95,9641.048506856565
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.975,10463.527142644622
2022-04-04,3 wk ahead inc death,2022-04-23,US,quantile,0.99,11419.836303401476
2022-04-04,4 wk ahead inc death,2022-04-30,US,point,NA,5213.503372121391
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.01,0.0
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.025,226.1850298777231
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.05,1028.0138790957312
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.1,1952.471190006284
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.15,2576.198148806703
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.2,3071.9165631143105
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.25,3497.1988229856706
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.3,3879.115436250956
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.35,4233.018095394575
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.4,4568.837110705376
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.45,4893.745894420378
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.5,5213.503372121391
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.55,5533.2608498224035
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.6,5858.169633537405
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.65,6193.988648848207
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.7,6547.891307991824
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.75,6929.80792125711
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.8,7355.090181128472
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.85,7850.808595436079
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.9,8474.535554236496
2022-04-04,4 wk ahead inc death,2022-04-30,US,quantile,0.95,9398.992865147047
