forecast_date,target,target_end_date,location,type,quantile,value
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.01,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.025,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.05,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.10,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.15,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.20,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.25,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.30,0.0
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.35,0.10310378496148163
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.40,0.3843493045474141
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.45,0.6564575995746849
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.50,0.9242517203878792
2021-06-28,1 wk ahead inc death,2021-07-03,02,point,NA,0.9242517203878792
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.55,1.1920458412010733
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.60,1.464154136228344
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.65,1.7453996558142766
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.70,2.0417900706380827
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.75,2.361641929642804
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.80,2.7178121424507413
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.85,3.1329720251370325
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.90,3.65533795621817
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.95,4.429562955065905
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.975,5.101087678311842
2021-06-28,1 wk ahead inc death,2021-07-03,02,quantile,0.99,5.881880292942486
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.01,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.025,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.05,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.10,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.15,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.20,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.25,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.30,374.0
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.35,374.1031037849615
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.40,374.38434930454736
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.45,374.65645759957465
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.50,374.9242517203879
2021-06-28,1 wk ahead cum death,2021-07-03,02,point,NA,374.9242517203879
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.55,375.1920458412011
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.60,375.46415413622833
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.65,375.7453996558143
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.70,376.04179007063806
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.75,376.3616419296428
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.80,376.7178121424507
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.85,377.132972025137
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.90,377.6553379562182
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.95,378.42956295506593
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.975,379.10108767831184
2021-06-28,1 wk ahead cum death,2021-07-03,02,quantile,0.99,379.8818802929425
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.01,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.025,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.05,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.10,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.15,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.20,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.25,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.30,0.0
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.35,0.05229672224495252
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.40,0.3335422418308849
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.45,0.6056505368581557
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.50,0.8734446576713498
2021-06-28,2 wk ahead inc death,2021-07-10,02,point,NA,0.8734446576713498
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.55,1.141238778484544
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.60,1.4133470735118148
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.65,1.6945925930977477
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.70,1.9909830079215536
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.75,2.310834866926275
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.80,2.6670050797342126
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.85,3.0821649624205034
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.90,3.6045308935016407
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.95,4.378755892349377
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.975,5.050280615595312
2021-06-28,2 wk ahead inc death,2021-07-10,02,quantile,0.99,5.8310732302259565
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.01,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.025,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.05,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.10,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.15,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.20,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.25,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.30,374.0
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.35,374.15540050720637
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.40,374.7178915463783
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.45,375.26210813643286
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.50,375.7976963780592
2021-06-28,2 wk ahead cum death,2021-07-10,02,point,NA,375.7976963780592
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.55,376.33328461968557
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.60,376.8775012097402
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.65,377.43999224891195
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.70,378.0327730785597
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.75,378.67247679656913
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.80,379.3848172221849
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.85,380.2151369875575
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.90,381.2598688497199
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.95,382.8083188474153
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.975,384.15136829390707
2021-06-28,2 wk ahead cum death,2021-07-10,02,quantile,0.99,385.7129535231685
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.01,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.025,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.05,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.10,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.15,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.20,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.25,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.30,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.35,0.0
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.40,0.2726828078209813
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.45,0.5447911028482522
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.50,0.8125852236614463
2021-06-28,3 wk ahead inc death,2021-07-17,02,point,NA,0.8125852236614463
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.55,1.0803793444746406
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.60,1.3524876395019112
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.65,1.6337331590878437
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.70,1.9301235739116496
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.75,2.249975432916372
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.80,2.6061456457243093
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.85,3.0213055284105996
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.90,3.543671459491737
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.95,4.317896458339471
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.975,4.989421181585409
2021-06-28,3 wk ahead inc death,2021-07-17,02,quantile,0.99,5.770213796216053
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.01,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.025,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.05,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.10,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.15,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.20,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.25,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.30,374.0
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.35,374.15540050720637
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.40,374.9905743541993
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.45,375.80689923928117
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.50,376.61028160172066
2021-06-28,3 wk ahead cum death,2021-07-17,02,point,NA,376.61028160172066
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.55,377.41366396416015
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.60,378.2299888492421
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.65,379.07372540800003
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.70,379.96289665247116
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.75,380.9224522294855
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.80,381.99096286790916
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.85,383.2364425159681
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.90,384.8035403092115
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.95,387.1262153057547
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.975,389.14078947549257
2021-06-28,3 wk ahead cum death,2021-07-17,02,quantile,0.99,391.48316731938456
2021-06-28,4 wk ahead inc death,2021-07-24,02,quantile,0.01,0.0
2021-06-28,4 wk ahead inc death,2021-07-24,02,quantile,0.025,0.0
2021-06-28,4 wk ahead inc death,2021-07-24,02,quantile,0.05,0.0
2021-06-28,4 wk ahead inc death,2021-07-24,02,quantile,0.10,0.0
2021-06-28,4 wk ahead inc death,2021-07-24,02,quantile,0.15,0.0
