forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-04-20,1 day ahead cum death,2020-04-21,US,US,point,NA,44475.540649245115
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,point,NA,49779.17301493284
2020-04-20,2 day ahead cum death,2020-04-22,US,US,point,NA,45849.16941985276
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,point,NA,57595.10923261664
2020-04-20,3 day ahead cum death,2020-04-23,US,US,point,NA,47174.117632368536
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,point,NA,63831.75405072951
2020-04-20,4 day ahead cum death,2020-04-24,US,US,point,NA,48471.8308970411
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,point,NA,68798.66931549521
2020-04-20,5 day ahead cum death,2020-04-25,US,US,point,NA,49726.79774823875
2020-04-20,6 day ahead cum death,2020-04-26,US,US,point,NA,50947.98563288478
2020-04-20,7 day ahead cum death,2020-04-27,US,US,point,NA,52131.87069152674
2020-04-20,1 day ahead cum death,2020-04-21,US,US,quantile,0.025,28922.507388964877
2020-04-20,1 day ahead cum death,2020-04-21,US,US,quantile,0.05,28971.275826767247
2020-04-20,1 day ahead cum death,2020-04-21,US,US,quantile,0.1,29423.403030912057
2020-04-20,1 day ahead cum death,2020-04-21,US,US,quantile,0.5,44475.540649245115
2020-04-20,1 day ahead cum death,2020-04-21,US,US,quantile,0.9,77690.49878144043
2020-04-20,1 day ahead cum death,2020-04-21,US,US,quantile,0.95,83434.78182047581
2020-04-20,1 day ahead cum death,2020-04-21,US,US,quantile,0.975,83482.10309059688
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,quantile,0.025,32586.02732813229
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,quantile,0.05,32654.32082174844
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,quantile,0.1,33024.437562830564
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,quantile,0.5,49779.17301493284
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,quantile,0.9,86179.52145388695
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,quantile,0.95,93170.71747265145
2020-04-20,1 wk ahead cum death,2020-04-25,US,US,quantile,0.975,93239.97979986267
2020-04-20,2 day ahead cum death,2020-04-22,US,US,quantile,0.025,29691.263484020605
2020-04-20,2 day ahead cum death,2020-04-22,US,US,quantile,0.05,29740.965455215293
2020-04-20,2 day ahead cum death,2020-04-22,US,US,quantile,0.1,30318.3576304436
2020-04-20,2 day ahead cum death,2020-04-22,US,US,quantile,0.5,45849.16941985276
2020-04-20,2 day ahead cum death,2020-04-22,US,US,quantile,0.9,79784.14093240997
2020-04-20,2 day ahead cum death,2020-04-22,US,US,quantile,0.95,85894.1545916652
2020-04-20,2 day ahead cum death,2020-04-22,US,US,quantile,0.975,85940.27103789718
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,quantile,0.025,36763.546158884616
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,quantile,0.05,36851.166778498686
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,quantile,0.1,38159.724483947204
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,quantile,0.5,57595.10923261664
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,quantile,0.9,97704.9172651458
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,quantile,0.95,106892.81767867267
2020-04-20,2 wk ahead cum death,2020-05-02,US,US,quantile,0.975,106987.15641523217
2020-04-20,3 day ahead cum death,2020-04-23,US,US,quantile,0.025,30433.84977525297
2020-04-20,3 day ahead cum death,2020-04-23,US,US,quantile,0.05,30490.05073583255
2020-04-20,3 day ahead cum death,2020-04-23,US,US,quantile,0.1,31192.63770188437
2020-04-20,3 day ahead cum death,2020-04-23,US,US,quantile,0.5,47174.117632368536
2020-04-20,3 day ahead cum death,2020-04-23,US,US,quantile,0.9,81822.52976828664
2020-04-20,3 day ahead cum death,2020-04-23,US,US,quantile,0.95,88286.0049878791
2020-04-20,3 day ahead cum death,2020-04-23,US,US,quantile,0.975,88335.99958012985
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,quantile,0.025,39916.33492639956
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,quantile,0.05,40004.66738941164
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,quantile,0.1,42262.11494314834
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,quantile,0.5,63831.75405072951
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,quantile,0.9,106422.3970941426
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,quantile,0.95,117442.70108023768
2020-04-20,3 wk ahead cum death,2020-05-09,US,US,quantile,0.975,117546.80012274877
2020-04-20,4 day ahead cum death,2020-04-24,US,US,quantile,0.025,31149.410381871883
2020-04-20,4 day ahead cum death,2020-04-24,US,US,quantile,0.05,31207.249601108953
2020-04-20,4 day ahead cum death,2020-04-24,US,US,quantile,0.1,32042.01463119201
2020-04-20,4 day ahead cum death,2020-04-24,US,US,quantile,0.5,48471.8308970411
2020-04-20,4 day ahead cum death,2020-04-24,US,US,quantile,0.9,83788.36019026686
2020-04-20,4 day ahead cum death,2020-04-24,US,US,quantile,0.95,90597.55340509325
2020-04-20,4 day ahead cum death,2020-04-24,US,US,quantile,0.975,90661.88988702641
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,quantile,0.025,42229.13236488508
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,quantile,0.05,42321.112604642614
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,quantile,0.1,45454.16893922363
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,quantile,0.5,68798.66931549521
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,quantile,0.9,112842.83217299508
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,quantile,0.95,125379.79355217465
2020-04-20,4 wk ahead cum death,2020-05-16,US,US,quantile,0.975,125499.21140593814
2020-04-20,5 day ahead cum death,2020-04-25,US,US,quantile,0.025,31844.777872845312
2020-04-20,5 day ahead cum death,2020-04-25,US,US,quantile,0.05,31902.566365343013
2020-04-20,5 day ahead cum death,2020-04-25,US,US,quantile,0.1,32864.713844746155
2020-04-20,5 day ahead cum death,2020-04-25,US,US,quantile,0.5,49726.79774823875
2020-04-20,5 day ahead cum death,2020-04-25,US,US,quantile,0.9,85695.67586917558
2020-04-20,5 day ahead cum death,2020-04-25,US,US,quantile,0.95,92842.06585994533
2020-04-20,5 day ahead cum death,2020-04-25,US,US,quantile,0.975,92907.93039135548
2020-04-20,6 day ahead cum death,2020-04-26,US,US,quantile,0.025,32513.044312337428
2020-04-20,6 day ahead cum death,2020-04-26,US,US,quantile,0.05,32574.192365918218
2020-04-20,6 day ahead cum death,2020-04-26,US,US,quantile,0.1,33661.24447829893
2020-04-20,6 day ahead cum death,2020-04-26,US,US,quantile,0.5,50947.98563288478
2020-04-20,6 day ahead cum death,2020-04-26,US,US,quantile,0.9,87538.39582794963
2020-04-20,6 day ahead cum death,2020-04-26,US,US,quantile,0.95,95005.71638079916
2020-04-20,6 day ahead cum death,2020-04-26,US,US,quantile,0.975,95090.57039653645
2020-04-20,7 day ahead cum death,2020-04-27,US,US,quantile,0.025,33161.641972995916
2020-04-20,7 day ahead cum death,2020-04-27,US,US,quantile,0.05,33218.909083104285
2020-04-20,7 day ahead cum death,2020-04-27,US,US,quantile,0.1,34439.62873021197
2020-04-20,7 day ahead cum death,2020-04-27,US,US,quantile,0.5,52131.87069152674
2020-04-20,7 day ahead cum death,2020-04-27,US,US,quantile,0.9,89315.63614855248
2020-04-20,7 day ahead cum death,2020-04-27,US,US,quantile,0.95,97111.54476905293
2020-04-20,7 day ahead cum death,2020-04-27,US,US,quantile,0.975,97196.11382183876
