location,type,quantile,value,target_end_date,forecast_date,target
01,point,,144,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.01,84,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.025,92,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.05,100,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.1,109,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.15,116,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.2,121,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.25,125,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.3,130,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.35,133,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.4,137,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.45,141,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.5,144,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.55,148,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.6,152,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.65,156,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.7,160,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.75,164,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.8,170,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.85,176,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.9,185,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.95,197,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.975,209,2022-08-15,2022-08-15,0 day ahead inc hosp
01,quantile,0.99,225,2022-08-15,2022-08-15,0 day ahead inc hosp
01,point,,143,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.01,78,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.025,88,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.05,96,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.1,106,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.15,112,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.2,118,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.25,122,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.3,127,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.35,131,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.4,135,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.45,139,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.5,143,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.55,147,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.6,151,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.65,155,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.7,159,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.75,164,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.8,170,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.85,177,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.9,186,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.95,199,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.975,211,2022-08-16,2022-08-15,1 day ahead inc hosp
01,quantile,0.99,228,2022-08-16,2022-08-15,1 day ahead inc hosp
01,point,,11490,2022-08-20,2022-08-15,1 wk ahead inc case
01,quantile,0.025,4986,2022-08-20,2022-08-15,1 wk ahead inc case
01,quantile,0.1,8102,2022-08-20,2022-08-15,1 wk ahead inc case
01,quantile,0.25,9699,2022-08-20,2022-08-15,1 wk ahead inc case
01,quantile,0.5,11490,2022-08-20,2022-08-15,1 wk ahead inc case
01,quantile,0.75,13362,2022-08-20,2022-08-15,1 wk ahead inc case
01,quantile,0.9,16157,2022-08-20,2022-08-15,1 wk ahead inc case
01,quantile,0.975,19835,2022-08-20,2022-08-15,1 wk ahead inc case
01,point,,57,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.01,1,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.025,11,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.05,16,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.1,18,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.15,25,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.2,28,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.25,30,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.3,33,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.35,41,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.4,44,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.45,52,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.5,57,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.55,58,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.6,63,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.65,68,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.7,75,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.75,83,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.8,95,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.85,108,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.9,131,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.95,158,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.975,220,2022-08-20,2022-08-15,1 wk ahead inc death
01,quantile,0.99,232,2022-08-20,2022-08-15,1 wk ahead inc death
01,point,,150,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.01,48,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.025,59,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.05,71,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.1,86,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.15,96,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.2,107,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.25,115,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.3,121,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.35,128,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.4,136,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.45,142,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.5,150,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.55,157,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.6,165,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.65,174,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.7,182,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.75,192,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.8,201,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.85,213,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.9,231,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.95,261,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.975,286,2022-08-25,2022-08-15,10 day ahead inc hosp
01,quantile,0.99,315,2022-08-25,2022-08-15,10 day ahead inc hosp
01,point,,144,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.01,39,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.025,53,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.05,65,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.1,78,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.15,89,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.2,98,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.25,107,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.3,115,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.35,122,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.4,130,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.45,137,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.5,144,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.55,151,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.6,159,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.65,167,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.7,176,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.75,186,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.8,197,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.85,210,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.9,227,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.95,254,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.975,283,2022-08-26,2022-08-15,11 day ahead inc hosp
01,quantile,0.99,322,2022-08-26,2022-08-15,11 day ahead inc hosp
01,point,,144,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.01,37,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.025,52,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.05,61,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.1,76,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.15,87,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.2,97,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.25,105,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.3,113,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.35,121,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.4,129,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.45,136,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.5,144,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.55,151,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.6,159,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.65,167,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.7,176,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.75,186,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.8,198,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.85,212,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.9,232,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.95,262,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.975,291,2022-08-27,2022-08-15,12 day ahead inc hosp
01,quantile,0.99,325,2022-08-27,2022-08-15,12 day ahead inc hosp
01,point,,140,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.01,33,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.025,47,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.05,59,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.1,72,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.15,83,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.2,93,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.25,102,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.3,109,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.35,117,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.4,125,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.45,133,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.5,140,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.55,149,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.6,157,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.65,165,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.7,175,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.75,186,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.8,199,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.85,215,2022-08-28,2022-08-15,13 day ahead inc hosp
01,quantile,0.9,233,2022-08-28,2022-08-15,13 day ahead inc hosp
