location,type,quantile,value,target_end_date,forecast_date,target
01,point,,3171,2021-11-20,2021-11-15,1 wk ahead inc case
01,quantile,0.025,181,2021-11-20,2021-11-15,1 wk ahead inc case
01,quantile,0.1,801,2021-11-20,2021-11-15,1 wk ahead inc case
01,quantile,0.25,1728,2021-11-20,2021-11-15,1 wk ahead inc case
01,quantile,0.5,3171,2021-11-20,2021-11-15,1 wk ahead inc case
01,quantile,0.75,5049,2021-11-20,2021-11-15,1 wk ahead inc case
01,quantile,0.9,7110,2021-11-20,2021-11-15,1 wk ahead inc case
01,quantile,0.975,9831,2021-11-20,2021-11-15,1 wk ahead inc case
01,point,,127,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.01,49,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.025,58,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.05,68,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.1,79,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.15,87,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.2,94,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.25,100,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.3,106,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.35,111,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.4,117,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.45,122,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.5,127,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.55,132,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.6,138,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.65,143,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.7,150,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.75,156,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.8,164,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.85,174,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.9,186,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.95,205,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.975,221,2021-11-20,2021-11-15,1 wk ahead inc death
01,quantile,0.99,242,2021-11-20,2021-11-15,1 wk ahead inc death
01,point,,3126,2021-11-27,2021-11-15,2 wk ahead inc case
01,quantile,0.025,0,2021-11-27,2021-11-15,2 wk ahead inc case
01,quantile,0.1,392,2021-11-27,2021-11-15,2 wk ahead inc case
01,quantile,0.25,1362,2021-11-27,2021-11-15,2 wk ahead inc case
01,quantile,0.5,3126,2021-11-27,2021-11-15,2 wk ahead inc case
01,quantile,0.75,5613,2021-11-27,2021-11-15,2 wk ahead inc case
01,quantile,0.9,8468,2021-11-27,2021-11-15,2 wk ahead inc case
01,quantile,0.975,12352,2021-11-27,2021-11-15,2 wk ahead inc case
01,point,,104,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.01,24,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.025,33,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.05,41,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.1,53,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.15,61,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.2,68,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.25,75,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.3,81,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.35,87,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.4,92,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.45,98,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.5,104,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.55,110,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.6,116,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.65,123,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.7,130,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.75,138,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.8,147,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.85,158,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.9,172,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.95,195,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.975,215,2021-11-27,2021-11-15,2 wk ahead inc death
01,quantile,0.99,241,2021-11-27,2021-11-15,2 wk ahead inc death
01,point,,3216,2021-12-04,2021-11-15,3 wk ahead inc case
01,quantile,0.025,0,2021-12-04,2021-11-15,3 wk ahead inc case
01,quantile,0.1,162,2021-12-04,2021-11-15,3 wk ahead inc case
01,quantile,0.25,1126,2021-12-04,2021-11-15,3 wk ahead inc case
01,quantile,0.5,3216,2021-12-04,2021-11-15,3 wk ahead inc case
01,quantile,0.75,6379,2021-12-04,2021-11-15,3 wk ahead inc case
01,quantile,0.9,10142,2021-12-04,2021-11-15,3 wk ahead inc case
01,quantile,0.975,15376,2021-12-04,2021-11-15,3 wk ahead inc case
01,point,,89,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.01,11,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.025,18,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.05,26,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.1,36,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.15,45,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.2,52,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.25,58,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.3,65,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.35,71,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.4,77,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.45,83,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.5,89,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.55,95,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.6,102,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.65,109,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.7,117,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.75,126,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.8,136,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.85,148,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.9,164,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.95,190,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.975,214,2021-12-04,2021-11-15,3 wk ahead inc death
01,quantile,0.99,243,2021-12-04,2021-11-15,3 wk ahead inc death
01,point,,3505,2021-12-11,2021-11-15,4 wk ahead inc case
01,quantile,0.025,0,2021-12-11,2021-11-15,4 wk ahead inc case
01,quantile,0.1,82,2021-12-11,2021-11-15,4 wk ahead inc case
01,quantile,0.25,1076,2021-12-11,2021-11-15,4 wk ahead inc case
01,quantile,0.5,3505,2021-12-11,2021-11-15,4 wk ahead inc case
01,quantile,0.75,7328,2021-12-11,2021-11-15,4 wk ahead inc case
01,quantile,0.9,11961,2021-12-11,2021-11-15,4 wk ahead inc case
01,quantile,0.975,18475,2021-12-11,2021-11-15,4 wk ahead inc case
01,point,,79,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.01,3,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.025,8,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.05,15,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.1,25,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.15,33,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.2,40,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.25,47,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.3,53,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.35,59,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.4,66,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.45,72,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.5,79,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.55,86,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.6,93,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.65,101,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.7,110,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.75,119,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.8,131,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.85,145,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.9,163,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.95,193,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.975,220,2021-12-11,2021-11-15,4 wk ahead inc death
01,quantile,0.99,255,2021-12-11,2021-11-15,4 wk ahead inc death
02,point,,1799,2021-11-20,2021-11-15,1 wk ahead inc case
02,quantile,0.025,1012,2021-11-20,2021-11-15,1 wk ahead inc case
02,quantile,0.1,1259,2021-11-20,2021-11-15,1 wk ahead inc case
02,quantile,0.25,1503,2021-11-20,2021-11-15,1 wk ahead inc case
02,quantile,0.5,1799,2021-11-20,2021-11-15,1 wk ahead inc case
02,quantile,0.75,2121,2021-11-20,2021-11-15,1 wk ahead inc case
02,quantile,0.9,2435,2021-11-20,2021-11-15,1 wk ahead inc case
02,quantile,0.975,2810,2021-11-20,2021-11-15,1 wk ahead inc case
02,point,,21,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.01,3,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.025,5,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.05,7,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.1,9,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.15,11,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.2,13,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.25,14,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.3,16,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.35,17,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.4,19,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.45,20,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.5,21,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.55,23,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.6,24,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.65,26,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.7,28,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.75,30,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.8,32,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.85,35,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.9,39,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.95,45,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.975,50,2021-11-20,2021-11-15,1 wk ahead inc death
02,quantile,0.99,57,2021-11-20,2021-11-15,1 wk ahead inc death
02,point,,691,2021-11-27,2021-11-15,2 wk ahead inc case
02,quantile,0.025,98,2021-11-27,2021-11-15,2 wk ahead inc case
02,quantile,0.1,243,2021-11-27,2021-11-15,2 wk ahead inc case
02,quantile,0.25,427,2021-11-27,2021-11-15,2 wk ahead inc case
02,quantile,0.5,691,2021-11-27,2021-11-15,2 wk ahead inc case
02,quantile,0.75,1019,2021-11-27,2021-11-15,2 wk ahead inc case
02,quantile,0.9,1369,2021-11-27,2021-11-15,2 wk ahead inc case
02,quantile,0.975,1820,2021-11-27,2021-11-15,2 wk ahead inc case
02,point,,2,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.01,0,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.025,0,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.05,0,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.1,0,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.15,0,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.2,0,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.25,0,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.3,1,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.35,1,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.4,1,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.45,2,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.5,2,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.55,3,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.6,4,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.65,4,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.7,5,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.75,6,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.8,7,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.85,9,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.9,11,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.95,14,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.975,18,2021-11-27,2021-11-15,2 wk ahead inc death
02,quantile,0.99,22,2021-11-27,2021-11-15,2 wk ahead inc death
02,point,,282,2021-12-04,2021-11-15,3 wk ahead inc case
02,quantile,0.025,0,2021-12-04,2021-11-15,3 wk ahead inc case
02,quantile,0.1,1,2021-12-04,2021-11-15,3 wk ahead inc case
02,quantile,0.25,72,2021-12-04,2021-11-15,3 wk ahead inc case
02,quantile,0.5,282,2021-12-04,2021-11-15,3 wk ahead inc case
02,quantile,0.75,630,2021-12-04,2021-11-15,3 wk ahead inc case
02,quantile,0.9,1061,2021-12-04,2021-11-15,3 wk ahead inc case
02,quantile,0.975,1676,2021-12-04,2021-11-15,3 wk ahead inc case
02,point,,21,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.01,1,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.025,2,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.05,4,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.1,7,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.15,9,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.2,11,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.25,12,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.3,14,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.35,16,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.4,18,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.45,19,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.5,21,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.55,23,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.6,25,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.65,27,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.7,29,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.75,32,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.8,35,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.85,39,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.9,44,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.95,52,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.975,59,2021-12-04,2021-11-15,3 wk ahead inc death
02,quantile,0.99,69,2021-12-04,2021-11-15,3 wk ahead inc death
02,point,,33,2021-12-11,2021-11-15,4 wk ahead inc case
02,quantile,0.025,0,2021-12-11,2021-11-15,4 wk ahead inc case
02,quantile,0.1,0,2021-12-11,2021-11-15,4 wk ahead inc case
02,quantile,0.25,0,2021-12-11,2021-11-15,4 wk ahead inc case
02,quantile,0.5,33,2021-12-11,2021-11-15,4 wk ahead inc case
02,quantile,0.75,274,2021-12-11,2021-11-15,4 wk ahead inc case
02,quantile,0.9,691,2021-12-11,2021-11-15,4 wk ahead inc case
02,quantile,0.975,1381,2021-12-11,2021-11-15,4 wk ahead inc case
02,point,,12,2021-12-11,2021-11-15,4 wk ahead inc death
02,quantile,0.01,0,2021-12-11,2021-11-15,4 wk ahead inc death
02,quantile,0.025,0,2021-12-11,2021-11-15,4 wk ahead inc death
02,quantile,0.05,1,2021-12-11,2021-11-15,4 wk ahead inc death
02,quantile,0.1,2,2021-12-11,2021-11-15,4 wk ahead inc death
02,quantile,0.15,3,2021-12-11,2021-11-15,4 wk ahead inc death
02,quantile,0.2,4,2021-12-11,2021-11-15,4 wk ahead inc death
02,quantile,0.25,6,2021-12-11,2021-11-15,4 wk ahead inc death
