forecast_date,target,target_end_date,location,type,quantile,value
2021-02-15,1 wk ahead cum death,2021-02-20,01,point,NA,9877.594439164206
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.01,9722.915968949363
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.025,9730.246675492332
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.05,9742.464519730613
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.1,9762.5240460978
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.15,9771.36968330483
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.2,9808.209368363425
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.25,9820.680418168113
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.3,9837.365681839987
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.35,9846.764849320456
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.4,9851.802356644675
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.45,9868.76808906655
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.5,9882.768406449362
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.55,9886.15419502358
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.6,9903.579407425925
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.65,9928.342344437644
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.7,9931.799773636862
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.75,9936.429453812643
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.8,9940.456555863424
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.85,9943.091140824363
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.9,9950.08664375405
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.95,9996.67883125405
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.975,10049.398728714987
2021-02-15,1 wk ahead cum death,2021-02-20,01,quantile,0.99,10081.03066719155
2021-02-15,1 wk ahead cum death,2021-02-20,02,point,NA,290.0707986397625
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.01,285.5547711663128
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.025,285.7627372951389
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.05,286.10934750984916
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.1,287.0391428084255
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.15,287.9410830778957
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.2,288.2966109938503
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.25,288.3830219931484
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.3,288.40097195576436
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.35,288.6557376570583
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.4,288.97237858723406
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.45,289.2700033278347
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.5,289.5645168013454
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.55,289.87305706928976
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.6,290.1189151472927
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.65,290.49060807179217
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.7,291.14968068073995
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.75,291.6308452315212
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.8,292.4415476698757
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.85,293.1881761259914
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.9,293.8319958968044
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.95,294.08443779896504
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.975,295.356501874435
2021-02-15,1 wk ahead cum death,2021-02-20,02,quantile,0.99,296.119740319717
2021-02-15,1 wk ahead cum death,2021-02-20,04,point,NA,15712.202048795294
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.01,15613.290569303106
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.025,15621.140315396857
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.05,15634.223225553105
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.1,15654.604480435919
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.15,15663.262209928107
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.2,15665.036165006231
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.25,15672.30977340467
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.3,15676.520862271856
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.35,15677.466174771856
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.4,15686.454006803106
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.45,15697.652688443732
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.5,15703.305671842169
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.55,15705.978635709356
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.6,15713.727590787481
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.65,15726.776477506231
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.7,15734.970974576543
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.75,15739.827827603887
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.8,15755.321565396856
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.85,15790.32324264295
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.9,15805.52733688123
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.95,15818.690427701544
2021-02-15,1 wk ahead cum death,2021-02-20,04,quantile,0.975,15822.448354947637
