location,target_end_date,quantile,value,type,forecast_date,target
01,2024-01-29,0.010,32.03,quantile,2024-01-29,0 day ahead inc hosp
01,2024-01-30,0.010,30.96,quantile,2024-01-29,1 day ahead inc hosp
01,2024-01-31,0.010,29.55,quantile,2024-01-29,2 day ahead inc hosp
01,2024-02-01,0.010,29.2,quantile,2024-01-29,3 day ahead inc hosp
01,2024-02-02,0.010,28.52,quantile,2024-01-29,4 day ahead inc hosp
01,2024-02-03,0.010,26.57,quantile,2024-01-29,5 day ahead inc hosp
01,2024-02-04,0.010,24.04,quantile,2024-01-29,6 day ahead inc hosp
01,2024-02-05,0.010,22.31,quantile,2024-01-29,7 day ahead inc hosp
01,2024-02-06,0.010,21.17,quantile,2024-01-29,8 day ahead inc hosp
01,2024-02-07,0.010,21.36,quantile,2024-01-29,9 day ahead inc hosp
01,2024-02-08,0.010,20.25,quantile,2024-01-29,10 day ahead inc hosp
01,2024-02-09,0.010,19.6,quantile,2024-01-29,11 day ahead inc hosp
01,2024-02-10,0.010,18.13,quantile,2024-01-29,12 day ahead inc hosp
01,2024-02-11,0.010,16.18,quantile,2024-01-29,13 day ahead inc hosp
01,2024-02-12,0.010,14.68,quantile,2024-01-29,14 day ahead inc hosp
01,2024-02-13,0.010,14.1,quantile,2024-01-29,15 day ahead inc hosp
01,2024-02-14,0.010,13.69,quantile,2024-01-29,16 day ahead inc hosp
01,2024-02-15,0.010,13.0,quantile,2024-01-29,17 day ahead inc hosp
01,2024-02-16,0.010,12.49,quantile,2024-01-29,18 day ahead inc hosp
01,2024-02-17,0.010,11.45,quantile,2024-01-29,19 day ahead inc hosp
01,2024-02-18,0.010,10.0,quantile,2024-01-29,20 day ahead inc hosp
01,2024-02-19,0.010,8.99,quantile,2024-01-29,21 day ahead inc hosp
01,2024-02-20,0.010,8.29,quantile,2024-01-29,22 day ahead inc hosp
01,2024-02-21,0.010,7.73,quantile,2024-01-29,23 day ahead inc hosp
01,2024-02-22,0.010,7.0,quantile,2024-01-29,24 day ahead inc hosp
01,2024-02-23,0.010,7.48,quantile,2024-01-29,25 day ahead inc hosp
01,2024-02-24,0.010,6.24,quantile,2024-01-29,26 day ahead inc hosp
01,2024-02-25,0.010,5.25,quantile,2024-01-29,27 day ahead inc hosp
01,2024-02-26,0.010,4.72,quantile,2024-01-29,28 day ahead inc hosp
01,2024-02-27,0.010,4.62,quantile,2024-01-29,29 day ahead inc hosp
01,2024-02-28,0.010,4.5,quantile,2024-01-29,30 day ahead inc hosp
01,2024-01-29,0.025,34.37,quantile,2024-01-29,0 day ahead inc hosp
01,2024-01-30,0.025,33.28,quantile,2024-01-29,1 day ahead inc hosp
01,2024-01-31,0.025,31.82,quantile,2024-01-29,2 day ahead inc hosp
01,2024-02-01,0.025,31.37,quantile,2024-01-29,3 day ahead inc hosp
01,2024-02-02,0.025,30.69,quantile,2024-01-29,4 day ahead inc hosp
01,2024-02-03,0.025,28.74,quantile,2024-01-29,5 day ahead inc hosp
01,2024-02-04,0.025,26.28,quantile,2024-01-29,6 day ahead inc hosp
