forecast_date,target,target_end_date,location,type,quantile,value
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.01,567564.8114141006
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.025,567783.6651868137
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.05,567999.9450850862
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.1,568258.0660881508
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.15,568412.6190904971
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.2,568548.5443118806
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.25,568661.3024897358
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.3,568749.1198887537
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.35,568844.1643486497
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.4,568933.386417212
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.45,569020.2987523114
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.5,569104.5288277603
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.55,569189.3152716849
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.6,569276.9075912959
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.65,569369.4544242151
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.7,569463.1314977686
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.75,569563.814213791
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.8,569678.7337856677
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.85,569806.5661414223
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.9,569982.0602159261
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.95,570225.6475879381
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.975,570450.8042711692
2021-04-11,1 wk ahead cum death,2021-04-17,US,quantile,0.99,570692.2677299582
2021-04-11,1 wk ahead cum death,2021-04-17,US,point,,569104.5288277603
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.01,572977.4165872714
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.025,573451.1964900247
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.05,573920.8813586213
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.1,574466.5484081267
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.15,574826.6395894657
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.2,575151.4223182384
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.25,575428.5233367156
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.3,575653.0567969069
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.35,575857.6686064083
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.4,576067.1879208289
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.45,576276.0677466877
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.5,576492.7776183677
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.55,576689.8854902943
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.6,576888.2637915029
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.65,577095.0829430652
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.7,577340.707793533
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.75,577577.1180803577
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.8,577844.7747469444
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.85,578169.4300904282
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.9,578584.0778788697
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.95,579164.0790427972
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.975,579710.1150437931
2021-04-11,2 wk ahead cum death,2021-04-24,US,quantile,0.99,580364.3750336582
2021-04-11,2 wk ahead cum death,2021-04-24,US,point,,576492.7776183677
2021-04-11,3 wk ahead cum death,2021-05-01,US,quantile,0.01,578124.7862442011
2021-04-11,3 wk ahead cum death,2021-05-01,US,quantile,0.025,578743.8320127795
