"forecast_date","target","target_end_date","location","type","quantile","value"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.01","   0.00"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.025"," 102.46"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.05"," 429.24"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.1"," 824.59"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.15","1078.10"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.2","1250.63"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.25","1392.38"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.3","1520.04"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.35","1640.82"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.4","1758.73"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.45","1869.00"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.5","1976.17"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.55","2091.00"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.6","2206.82"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.65","2324.65"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.7","2451.78"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.75","2594.41"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.8","2760.38"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.85","2947.00"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.9","3190.43"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.95","3566.67"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.975","3909.38"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","quantile","0.99","4318.91"
"2023-04-17","1 day ahead inc hosp","2023-04-18","US","point",NA,"1976.17"
"2023-04-17","2 day ahead inc hosp","2023-04-19","US","quantile","0.01","   0.00"
