"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.01","8513.99"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.025","8774.975"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.05","9055"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.1","10084.7"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.15","10901.85"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.2","11469.6"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.25","12028.75"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.3","12772.8"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.35","13434"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.4","14512.6000000002"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.45","15498"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.5","16091"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.55","16720.45"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.6","17499.6000000001"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.65","18338.7"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.7","19086.3000000002"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.75","19925"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.8","20843.6"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.85","21928.6"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.9","23300.1000000012"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.95","25295"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.975","25866.075"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","quantile","0.99","26411.06"
"2022-02-07","1 wk ahead inc death","2022-02-12","US","point",NA,"16091"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.01","7325.95"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.025","7571"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.05","7833"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.1","8886.60000000003"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.15","9743.7"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.2","10408.4"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.25","11093.75"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.3","11998.6999999999"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.35","12864.65"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.4","14086.0000000003"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.45","15290.1"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.5","16200"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.55","17168"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.6","18127.4000000002"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.65","19240.35"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.7","20038.2000000002"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.75","20994.5"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.8","22203.6000000004"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.85","23943.15"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.9","25588.7000000013"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.95","28042.2"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.975","28686.05"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","quantile","0.99","29289.1"
"2022-02-07","2 wk ahead inc death","2022-02-19","US","point",NA,"16200"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.01","6315.97"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.025","6529"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.05","6762"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.1","7794.80000000004"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.15","8616"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.2","9375.80000000002"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.25","10121.75"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.3","11208.8999999999"
"2022-02-07","3 wk ahead inc death","2022-02-26","US","quantile","0.35","12246"
