,location,target,type,quantile,forecast_date,target_end_date,value
0,US,1 day ahead cum death,quantile,0.05,2020-06-24,2020-06-25,122747.45
1,US,1 day ahead cum death,point,,2020-06-24,2020-06-25,123004.025
2,US,1 day ahead cum death,quantile,0.95,2020-06-24,2020-06-25,123260.6
3,US,2 day ahead cum death,quantile,0.05,2020-06-24,2020-06-26,123677.75
4,US,2 day ahead cum death,point,,2020-06-24,2020-06-26,124089.375
5,US,2 day ahead cum death,quantile,0.95,2020-06-24,2020-06-26,124501.0
6,US,3 day ahead cum death,quantile,0.05,2020-06-24,2020-06-27,124635.65
7,US,3 day ahead cum death,point,,2020-06-24,2020-06-27,125206.925
8,US,3 day ahead cum death,quantile,0.95,2020-06-24,2020-06-27,125778.19999999998
9,US,4 day ahead cum death,quantile,0.05,2020-06-24,2020-06-28,125453.99
10,US,4 day ahead cum death,point,,2020-06-24,2020-06-28,126161.655
11,US,4 day ahead cum death,quantile,0.95,2020-06-24,2020-06-28,126869.31999999998
12,US,5 day ahead cum death,quantile,0.05,2020-06-24,2020-06-29,126265.07
13,US,5 day ahead cum death,point,,2020-06-24,2020-06-29,127107.915
14,US,5 day ahead cum death,quantile,0.95,2020-06-24,2020-06-29,127950.75999999998
15,US,6 day ahead cum death,quantile,0.05,2020-06-24,2020-06-30,127254.59
16,US,6 day ahead cum death,point,,2020-06-24,2020-06-30,128262.355
17,US,6 day ahead cum death,quantile,0.95,2020-06-24,2020-06-30,129270.11999999998
18,US,7 day ahead cum death,quantile,0.05,2020-06-24,2020-07-01,128414.75
19,US,7 day ahead cum death,point,,2020-06-24,2020-07-01,129615.875
20,US,7 day ahead cum death,quantile,0.95,2020-06-24,2020-07-01,130817.0
21,US,8 day ahead cum death,quantile,0.05,2020-06-24,2020-07-02,129416.9675
22,US,8 day ahead cum death,point,,2020-06-24,2020-07-02,130803.761
23,US,8 day ahead cum death,quantile,0.95,2020-06-24,2020-07-02,132195.878
24,US,9 day ahead cum death,quantile,0.05,2020-06-24,2020-07-03,130432.0775
25,US,9 day ahead cum death,point,,2020-06-24,2020-07-03,132025.93300000002
26,US,9 day ahead cum death,quantile,0.95,2020-06-24,2020-07-03,133638.69400000002
27,US,10 day ahead cum death,quantile,0.05,2020-06-24,2020-07-04,131460.0905
28,US,10 day ahead cum death,point,,2020-06-24,2020-07-04,133283.0245
29,US,10 day ahead cum death,quantile,0.95,2020-06-24,2020-07-04,135150.082
30,US,11 day ahead cum death,quantile,0.05,2020-06-24,2020-07-05,132500.3945
31,US,11 day ahead cum death,point,,2020-06-24,2020-07-05,134574.7625
32,US,11 day ahead cum death,quantile,0.95,2020-06-24,2020-07-05,136733.922
33,US,12 day ahead cum death,quantile,0.05,2020-06-24,2020-07-06,133554.38749999998
34,US,12 day ahead cum death,point,,2020-06-24,2020-07-06,135903.4255
35,US,12 day ahead cum death,quantile,0.95,2020-06-24,2020-07-06,138397.674
36,US,13 day ahead cum death,quantile,0.05,2020-06-24,2020-07-07,134623.7975
37,US,13 day ahead cum death,point,,2020-06-24,2020-07-07,137271.68050000002
38,US,13 day ahead cum death,quantile,0.95,2020-06-24,2020-07-07,140150.074
39,US,14 day ahead cum death,quantile,0.05,2020-06-24,2020-07-08,135709.1045
40,US,14 day ahead cum death,point,,2020-06-24,2020-07-08,138680.70700000002
41,US,14 day ahead cum death,quantile,0.95,2020-06-24,2020-07-08,141998.59
42,US,15 day ahead cum death,quantile,0.05,2020-06-24,2020-07-09,136813.02349999998
43,US,15 day ahead cum death,point,,2020-06-24,2020-07-09,140134.75750000007
44,US,15 day ahead cum death,quantile,0.95,2020-06-24,2020-07-09,143955.922
45,US,16 day ahead cum death,quantile,0.05,2020-06-24,2020-07-10,137935.08049999998
46,US,16 day ahead cum death,point,,2020-06-24,2020-07-10,141633.66400000005
47,US,16 day ahead cum death,quantile,0.95,2020-06-24,2020-07-10,146029.35799999998
48,US,17 day ahead cum death,quantile,0.05,2020-06-24,2020-07-11,139077.0095
49,US,17 day ahead cum death,point,,2020-06-24,2020-07-11,143180.49950000006
50,US,17 day ahead cum death,quantile,0.95,2020-06-24,2020-07-11,148231.96999999994
51,US,18 day ahead cum death,quantile,0.05,2020-06-24,2020-07-12,140241.0935
52,US,18 day ahead cum death,point,,2020-06-24,2020-07-12,144779.32750000007
53,US,18 day ahead cum death,quantile,0.95,2020-06-24,2020-07-12,150579.20199999993
54,US,19 day ahead cum death,quantile,0.05,2020-06-24,2020-07-13,141431.3735
55,US,19 day ahead cum death,point,,2020-06-24,2020-07-13,146437.03250000006
