forecast_date,target,target_end_date,location,type,quantile,value
2022-01-16,1 wk ahead cum death,2022-01-22,US,point,NA,866752.3240365206
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.01,862693.1768600479
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.025,863253.0592292165
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.05,863882.9268945312
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.10,864512.7945598459
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.15,864932.7063367225
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.20,865282.6328174528
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.25,865597.5666501103
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.30,865842.5151866216
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.35,866087.4637231329
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.40,866297.419611571
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.45,866542.3681480823
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.5,866752.3240365206
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.55,866962.2799249588
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.60,867207.2284614702
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.65,867417.1843499085
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.70,867662.1328864198
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.75,867907.081422931
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.80,868222.0152555883
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.85,868571.9417363189
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.90,868991.8535131954
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.95,869621.7211785102
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.975,870251.588843825
2022-01-16,1 wk ahead cum death,2022-01-22,US,quantile,0.99,870811.4712129937
2022-01-16,2 wk ahead cum death,2022-01-29,US,point,NA,882081.9311554796
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.01,874466.3151274084
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.025,875516.7449243838
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.05,876698.478445981
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.10,877880.2119675783
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.15,878668.0343153097
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.20,879324.5529384194
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.25,879915.4196992181
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.30,880374.9827353947
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.35,880834.5457715715
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.40,881228.4569454372
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.45,881688.0199816138
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.5,882081.9311554796
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.55,882475.8423293454
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.60,882935.4053655223
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.65,883329.3165393879
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.70,883788.8795755648
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.75,884248.4426117416
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.80,884839.3093725401
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.85,885495.8279956498
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.90,886283.6503433813
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.95,887465.3838649787
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.975,888647.117386576
2022-01-16,2 wk ahead cum death,2022-01-29,US,quantile,0.99,889697.5471835514
2022-01-16,3 wk ahead cum death,2022-02-05,US,point,NA,897074.8936776773
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.01,885980.9103444561
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.025,887511.1149421418
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.05,889232.5951145381
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.10,890954.0752869346
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.15,892101.7287351988
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.20,893058.1066087524
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.25,893918.8466949507
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.30,894588.311206438
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.35,895257.7757179255
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.40,895831.6024420577
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.45,896501.066953545
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.5,897074.8936776773
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.55,897648.7204018093
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.60,898318.184913297
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.65,898892.0116374291
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.70,899561.4761489165
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.75,900230.9406604043
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.80,901091.6807466024
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.85,902048.058620156
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.90,903195.7120684201
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.95,904917.1922408167
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.975,906638.6724132132
2022-01-16,3 wk ahead cum death,2022-02-05,US,quantile,0.99,908168.8770108989
2022-01-16,4 wk ahead cum death,2022-02-12,US,point,NA,911612.7853259565
2022-01-16,4 wk ahead cum death,2022-02-12,US,quantile,0.01,897146.0111303345
2022-01-16,4 wk ahead cum death,2022-02-12,US,quantile,0.025,899141.4282607652
2022-01-16,4 wk ahead cum death,2022-02-12,US,quantile,0.05,901386.2725324996
2022-01-16,4 wk ahead cum death,2022-02-12,US,quantile,0.10,903631.116804234
2022-01-16,4 wk ahead cum death,2022-02-12,US,quantile,0.15,905127.6796520571
