forecast_date,target,target_end_date,location,type,quantile,value
2020-12-27,1 wk ahead inc death,2021-01-02,US,point,NA,14544.7176165746
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.01,8930.8935762317
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.025,9814.84824500942
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.05,10575.2471424483
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.1,11451.9622152491
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.15,12043.6785264265
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.2,12513.7213612191
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.25,12917.0392530914
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.3,13279.236239815
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.35,13614.8639093034
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.4,13933.3337363266
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.45,14241.4750730894
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.5,14544.7176165746
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.55,14847.9601600597
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.6,15156.1014968226
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.65,15474.5713238457
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.7,15810.1989933342
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.75,16172.3959800577
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.8,16575.71387193
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.85,17045.7567067226
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.9,17637.4730179
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.95,18514.1880907009
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.975,19274.5869881397
2020-12-27,1 wk ahead inc death,2021-01-02,US,quantile,0.99,20158.5416569175
