forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-06-30,1 day ahead inc death,2020-07-01,US,US,point,NA,512.9479
2020-06-30,1 day ahead cum death,2020-07-01,US,US,point,NA,117698
2020-06-30,2 day ahead inc death,2020-07-02,US,US,point,NA,505.9007
2020-06-30,2 day ahead cum death,2020-07-02,US,US,point,NA,118203.9
2020-06-30,3 day ahead inc death,2020-07-03,US,US,point,NA,499.0397
2020-06-30,3 day ahead cum death,2020-07-03,US,US,point,NA,118702.9
2020-06-30,4 day ahead inc death,2020-07-04,US,US,point,NA,492.3585
2020-06-30,4 day ahead cum death,2020-07-04,US,US,point,NA,119195.3
2020-06-30,5 day ahead inc death,2020-07-05,US,US,point,NA,485.8509
2020-06-30,5 day ahead cum death,2020-07-05,US,US,point,NA,119681.1
2020-06-30,6 day ahead inc death,2020-07-06,US,US,point,NA,479.511
2020-06-30,6 day ahead cum death,2020-07-06,US,US,point,NA,120160.7
2020-06-30,7 day ahead inc death,2020-07-07,US,US,point,NA,473.3331
2020-06-30,7 day ahead cum death,2020-07-07,US,US,point,NA,120634
2020-06-30,8 day ahead inc death,2020-07-08,US,US,point,NA,467.3117
2020-06-30,8 day ahead cum death,2020-07-08,US,US,point,NA,121101.3
2020-06-30,9 day ahead inc death,2020-07-09,US,US,point,NA,461.4416
2020-06-30,9 day ahead cum death,2020-07-09,US,US,point,NA,121562.8
2020-06-30,10 day ahead inc death,2020-07-10,US,US,point,NA,455.7177
2020-06-30,10 day ahead cum death,2020-07-10,US,US,point,NA,122018.5
2020-06-30,11 day ahead inc death,2020-07-11,US,US,point,NA,450.1353
2020-06-30,11 day ahead cum death,2020-07-11,US,US,point,NA,122468.6
2020-06-30,12 day ahead inc death,2020-07-12,US,US,point,NA,444.6896
2020-06-30,12 day ahead cum death,2020-07-12,US,US,point,NA,122913.3
2020-06-30,13 day ahead inc death,2020-07-13,US,US,point,NA,439.3763
2020-06-30,13 day ahead cum death,2020-07-13,US,US,point,NA,123352.7
2020-06-30,14 day ahead inc death,2020-07-14,US,US,point,NA,434.1909
2020-06-30,14 day ahead cum death,2020-07-14,US,US,point,NA,123786.9
2020-06-30,15 day ahead inc death,2020-07-15,US,US,point,NA,429.1295
2020-06-30,15 day ahead cum death,2020-07-15,US,US,point,NA,124216
2020-06-30,16 day ahead inc death,2020-07-16,US,US,point,NA,424.1882
2020-06-30,16 day ahead cum death,2020-07-16,US,US,point,NA,124640.2
2020-06-30,17 day ahead inc death,2020-07-17,US,US,point,NA,419.3629
2020-06-30,17 day ahead cum death,2020-07-17,US,US,point,NA,125059.5
2020-06-30,18 day ahead inc death,2020-07-18,US,US,point,NA,414.6502
2020-06-30,18 day ahead cum death,2020-07-18,US,US,point,NA,125474.2
2020-06-30,19 day ahead inc death,2020-07-19,US,US,point,NA,410.0465
2020-06-30,19 day ahead cum death,2020-07-19,US,US,point,NA,125884.2
2020-06-30,20 day ahead inc death,2020-07-20,US,US,point,NA,405.5484
2020-06-30,20 day ahead cum death,2020-07-20,US,US,point,NA,126289.8
2020-06-30,21 day ahead inc death,2020-07-21,US,US,point,NA,401.1526
2020-06-30,21 day ahead cum death,2020-07-21,US,US,point,NA,126690.9
2020-06-30,22 day ahead inc death,2020-07-22,US,US,point,NA,396.8561
2020-06-30,22 day ahead cum death,2020-07-22,US,US,point,NA,127087.8
2020-06-30,23 day ahead inc death,2020-07-23,US,US,point,NA,392.6558
2020-06-30,23 day ahead cum death,2020-07-23,US,US,point,NA,127480.4
2020-06-30,24 day ahead inc death,2020-07-24,US,US,point,NA,388.5487
2020-06-30,24 day ahead cum death,2020-07-24,US,US,point,NA,127869
2020-06-30,25 day ahead inc death,2020-07-25,US,US,point,NA,384.5322
2020-06-30,25 day ahead cum death,2020-07-25,US,US,point,NA,128253.5
2020-06-30,26 day ahead inc death,2020-07-26,US,US,point,NA,380.6035
2020-06-30,26 day ahead cum death,2020-07-26,US,US,point,NA,128634.1
2020-06-30,27 day ahead inc death,2020-07-27,US,US,point,NA,376.7601
2020-06-30,27 day ahead cum death,2020-07-27,US,US,point,NA,129010.9
2020-06-30,28 day ahead inc death,2020-07-28,US,US,point,NA,372.9993
2020-06-30,28 day ahead cum death,2020-07-28,US,US,point,NA,129383.9
2020-06-30,29 day ahead inc death,2020-07-29,US,US,point,NA,369.3188
2020-06-30,29 day ahead cum death,2020-07-29,US,US,point,NA,129753.2
2020-06-30,30 day ahead inc death,2020-07-30,US,US,point,NA,365.7163
2020-06-30,30 day ahead cum death,2020-07-30,US,US,point,NA,130118.9
2020-06-30,31 day ahead inc death,2020-07-31,US,US,point,NA,362.1895
2020-06-30,31 day ahead cum death,2020-07-31,US,US,point,NA,130481.1
