forecast_date,target,target_end_date,location,type,quantile,value
2021-02-08,1 wk ahead cum death,2021-02-13,01,point,NA,9082.12
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.010,8689.67
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.025,8751.47
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.050,8804.63
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.100,8865.94
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.150,8907.31
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.200,8940.19
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.250,8968.41
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.300,8993.74
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.350,9017.20
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.400,9039.46
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.450,9060.97
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.500,9082.12
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.550,9103.26
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.600,9124.78
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.650,9147.03
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.700,9170.50
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.750,9195.83
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.800,9224.04
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.850,9256.92
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.900,9298.30
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.950,9359.60
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.975,9412.76
2021-02-08,1 wk ahead cum death,2021-02-13,01,quantile,0.99,9474.56
2021-02-08,1 wk ahead inc death,2021-02-13,01,point,NA,666.70
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.010,215.51
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.025,286.56
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.050,347.67
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.100,418.16
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.150,465.72
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.200,503.53
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.250,535.97
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.300,565.09
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.350,592.07
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.400,617.65
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.450,642.39
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.500,666.70
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.550,691.01
2021-02-08,1 wk ahead inc death,2021-02-13,01,quantile,0.600,715.75
