forecast_date,target,target_end_date,location,type,quantile,value
2023-02-12,1 wk ahead inc case,2023-02-18,01,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,02,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,04,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,05,quantile,0.025,244.00418954635438
2023-02-12,1 wk ahead inc case,2023-02-18,06,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,08,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,09,quantile,0.025,234.36240205250093
2023-02-12,1 wk ahead inc case,2023-02-18,10,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,11,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,12,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,13,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,15,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,16,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,17,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,18,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,19,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,20,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,21,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,22,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,23,quantile,0.025,536.3456894743036
2023-02-12,1 wk ahead inc case,2023-02-18,24,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,25,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,26,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,27,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,28,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,29,quantile,0.025,1343.9148748875086
2023-02-12,1 wk ahead inc case,2023-02-18,30,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,31,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,32,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,33,quantile,0.025,589.7513308252004
2023-02-12,1 wk ahead inc case,2023-02-18,34,quantile,0.025,468.09924099298223
2023-02-12,1 wk ahead inc case,2023-02-18,35,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,36,quantile,0.025,6280.346505423956
2023-02-12,1 wk ahead inc case,2023-02-18,37,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,38,quantile,0.025,115.59170824528485
2023-02-12,1 wk ahead inc case,2023-02-18,39,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,40,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,41,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,42,quantile,0.025,10570.788111149988
2023-02-12,1 wk ahead inc case,2023-02-18,44,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,45,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,46,quantile,0.025,423.3246837860423
2023-02-12,1 wk ahead inc case,2023-02-18,47,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,48,quantile,0.025,2658.885403833655
2023-02-12,1 wk ahead inc case,2023-02-18,49,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,50,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,51,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,53,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,54,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,55,quantile,0.025,2073.006384674229
2023-02-12,1 wk ahead inc case,2023-02-18,56,quantile,0.025,645.2541149386685
2023-02-12,1 wk ahead inc case,2023-02-18,60,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,66,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,69,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,72,quantile,0.025,721.2181206983031
2023-02-12,1 wk ahead inc case,2023-02-18,78,quantile,0.025,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,US,quantile,0.025,34478.55390358744
2023-02-12,1 wk ahead inc case,2023-02-18,01,quantile,0.1,4516.340438822588
2023-02-12,1 wk ahead inc case,2023-02-18,02,quantile,0.1,204.9550355122456
2023-02-12,1 wk ahead inc case,2023-02-18,04,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,05,quantile,0.1,824.5016842930709
2023-02-12,1 wk ahead inc case,2023-02-18,06,quantile,0.1,1655.3789752240964
2023-02-12,1 wk ahead inc case,2023-02-18,08,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,09,quantile,0.1,1076.5012864983512
2023-02-12,1 wk ahead inc case,2023-02-18,10,quantile,0.1,343.72232191758684
2023-02-12,1 wk ahead inc case,2023-02-18,11,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,12,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,13,quantile,0.1,397.59564065755416
2023-02-12,1 wk ahead inc case,2023-02-18,15,quantile,0.1,31.225235981539413
2023-02-12,1 wk ahead inc case,2023-02-18,16,quantile,0.1,293.4107806792806
2023-02-12,1 wk ahead inc case,2023-02-18,17,quantile,0.1,1305.6519344574906
2023-02-12,1 wk ahead inc case,2023-02-18,18,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,19,quantile,0.1,248.69604918707185
2023-02-12,1 wk ahead inc case,2023-02-18,20,quantile,0.1,809.7885630138919
2023-02-12,1 wk ahead inc case,2023-02-18,21,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,22,quantile,0.1,255.38326565093533
2023-02-12,1 wk ahead inc case,2023-02-18,23,quantile,0.1,810.2194403497364
2023-02-12,1 wk ahead inc case,2023-02-18,24,quantile,0.1,1281.5524825153416
2023-02-12,1 wk ahead inc case,2023-02-18,25,quantile,0.1,49.54888355850608
2023-02-12,1 wk ahead inc case,2023-02-18,26,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,27,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,28,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,29,quantile,0.1,2477.7684832347445
2023-02-12,1 wk ahead inc case,2023-02-18,30,quantile,0.1,202.9883247399079
2023-02-12,1 wk ahead inc case,2023-02-18,31,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,32,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,33,quantile,0.1,831.9732405244732
2023-02-12,1 wk ahead inc case,2023-02-18,34,quantile,0.1,5054.307139875128
2023-02-12,1 wk ahead inc case,2023-02-18,35,quantile,0.1,168.07255412738985
2023-02-12,1 wk ahead inc case,2023-02-18,36,quantile,0.1,11192.176447623911
2023-02-12,1 wk ahead inc case,2023-02-18,37,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,38,quantile,0.1,314.7584167475782
2023-02-12,1 wk ahead inc case,2023-02-18,39,quantile,0.1,3196.106254802961
2023-02-12,1 wk ahead inc case,2023-02-18,40,quantile,0.1,1002.4370082521277
2023-02-12,1 wk ahead inc case,2023-02-18,41,quantile,0.1,648.9657971441009
2023-02-12,1 wk ahead inc case,2023-02-18,42,quantile,0.1,12792.708997045325
2023-02-12,1 wk ahead inc case,2023-02-18,44,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,45,quantile,0.1,1228.2890686470034
2023-02-12,1 wk ahead inc case,2023-02-18,46,quantile,0.1,661.5858578571945
2023-02-12,1 wk ahead inc case,2023-02-18,47,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,48,quantile,0.1,8446.67015447127
2023-02-12,1 wk ahead inc case,2023-02-18,49,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,50,quantile,0.1,4.289289310743556
2023-02-12,1 wk ahead inc case,2023-02-18,51,quantile,0.1,788.384841982537
2023-02-12,1 wk ahead inc case,2023-02-18,53,quantile,0.1,857.1453012217694
2023-02-12,1 wk ahead inc case,2023-02-18,54,quantile,0.1,791.8186994386255
2023-02-12,1 wk ahead inc case,2023-02-18,55,quantile,0.1,2900.4073374301643
2023-02-12,1 wk ahead inc case,2023-02-18,56,quantile,0.1,1054.835875623001
2023-02-12,1 wk ahead inc case,2023-02-18,60,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,66,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,69,quantile,0.1,29.61411061376748
2023-02-12,1 wk ahead inc case,2023-02-18,72,quantile,0.1,1486.121031445222
2023-02-12,1 wk ahead inc case,2023-02-18,78,quantile,0.1,0.0
2023-02-12,1 wk ahead inc case,2023-02-18,US,quantile,0.1,116127.10414922205
2023-02-12,1 wk ahead inc case,2023-02-18,01,quantile,0.25,7845.183834224177
2023-02-12,1 wk ahead inc case,2023-02-18,02,quantile,0.25,419.4320613573635
2023-02-12,1 wk ahead inc case,2023-02-18,04,quantile,0.25,1529.8539850380112
2023-02-12,1 wk ahead inc case,2023-02-18,05,quantile,0.25,1248.8301797648644
2023-02-12,1 wk ahead inc case,2023-02-18,06,quantile,0.25,11633.329743059854
