forecast_date,target,target_end_date,location,type,quantile,value
2023-09-04,1 day ahead inc hosp,2023-09-05,53,quantile,0.01,14.8
2023-09-04,1 day ahead inc hosp,2023-09-05,17,quantile,0.01,34.5
2023-09-04,1 day ahead inc hosp,2023-09-05,06,quantile,0.01,106.2
2023-09-04,1 day ahead inc hosp,2023-09-05,04,quantile,0.01,12.1
2023-09-04,1 day ahead inc hosp,2023-09-05,25,quantile,0.01,15.1
2023-09-04,1 day ahead inc hosp,2023-09-05,55,quantile,0.01,3.1
2023-09-04,1 day ahead inc hosp,2023-09-05,48,quantile,0.01,93.9
2023-09-04,1 day ahead inc hosp,2023-09-05,31,quantile,0.01,0.2
2023-09-04,1 day ahead inc hosp,2023-09-05,49,quantile,0.01,2.3
2023-09-04,1 day ahead inc hosp,2023-09-05,41,quantile,0.01,8
2023-09-04,1 day ahead inc hosp,2023-09-05,12,quantile,0.01,20.6
2023-09-04,1 day ahead inc hosp,2023-09-05,36,quantile,0.01,18.6
2023-09-04,1 day ahead inc hosp,2023-09-05,44,quantile,0.01,0.2
2023-09-04,1 day ahead inc hosp,2023-09-05,13,quantile,0.01,38
2023-09-04,1 day ahead inc hosp,2023-09-05,33,quantile,0.01,0.6
2023-09-04,1 day ahead inc hosp,2023-09-05,37,quantile,0.01,19.2
2023-09-04,1 day ahead inc hosp,2023-09-05,34,quantile,0.01,15.3
2023-09-04,1 day ahead inc hosp,2023-09-05,08,quantile,0.01,9.1
2023-09-04,1 day ahead inc hosp,2023-09-05,24,quantile,0.01,11.8
2023-09-04,1 day ahead inc hosp,2023-09-05,32,quantile,0.01,6.5
2023-09-04,1 day ahead inc hosp,2023-09-05,47,quantile,0.01,18.6
2023-09-04,1 day ahead inc hosp,2023-09-05,15,quantile,0.01,9.3
2023-09-04,1 day ahead inc hosp,2023-09-05,18,quantile,0.01,8.1
2023-09-04,1 day ahead inc hosp,2023-09-05,21,quantile,0.01,9.1
2023-09-04,1 day ahead inc hosp,2023-09-05,27,quantile,0.01,3.2
2023-09-04,1 day ahead inc hosp,2023-09-05,40,quantile,0.01,1.4
2023-09-04,1 day ahead inc hosp,2023-09-05,42,quantile,0.01,10.8
2023-09-04,1 day ahead inc hosp,2023-09-05,45,quantile,0.01,10.4
2023-09-04,1 day ahead inc hosp,2023-09-05,11,quantile,0.01,0.4
2023-09-04,1 day ahead inc hosp,2023-09-05,20,quantile,0.01,3.5
2023-09-04,1 day ahead inc hosp,2023-09-05,29,quantile,0.01,8.3
2023-09-04,1 day ahead inc hosp,2023-09-05,50,quantile,0.01,0
2023-09-04,1 day ahead inc hosp,2023-09-05,51,quantile,0.01,9.3
2023-09-04,1 day ahead inc hosp,2023-09-05,09,quantile,0.01,7.3
2023-09-04,1 day ahead inc hosp,2023-09-05,19,quantile,0.01,2.4
2023-09-04,1 day ahead inc hosp,2023-09-05,22,quantile,0.01,15.4
2023-09-04,1 day ahead inc hosp,2023-09-05,39,quantile,0.01,19.7
2023-09-04,1 day ahead inc hosp,2023-09-05,26,quantile,0.01,16.3
2023-09-04,1 day ahead inc hosp,2023-09-05,46,quantile,0.01,0.1
2023-09-04,1 day ahead inc hosp,2023-09-05,05,quantile,0.01,9.6
2023-09-04,1 day ahead inc hosp,2023-09-05,10,quantile,0.01,0.8
2023-09-04,1 day ahead inc hosp,2023-09-05,28,quantile,0.01,9
2023-09-04,1 day ahead inc hosp,2023-09-05,35,quantile,0.01,0.4
2023-09-04,1 day ahead inc hosp,2023-09-05,38,quantile,0.01,0.2
2023-09-04,1 day ahead inc hosp,2023-09-05,56,quantile,0.01,0.7
2023-09-04,1 day ahead inc hosp,2023-09-05,02,quantile,0.01,0
2023-09-04,1 day ahead inc hosp,2023-09-05,23,quantile,0.01,0
2023-09-04,1 day ahead inc hosp,2023-09-05,01,quantile,0.01,15.3
2023-09-04,1 day ahead inc hosp,2023-09-05,16,quantile,0.01,3.6
2023-09-04,1 day ahead inc hosp,2023-09-05,30,quantile,0.01,0.3
2023-09-04,1 day ahead inc hosp,2023-09-05,72,quantile,0.01,2.9
2023-09-04,1 day ahead inc hosp,2023-09-05,78,quantile,0.01,0
2023-09-04,1 day ahead inc hosp,2023-09-05,54,quantile,0.01,4
2023-09-04,2 day ahead inc hosp,2023-09-06,53,quantile,0.01,15.1
2023-09-04,2 day ahead inc hosp,2023-09-06,17,quantile,0.01,34.7
2023-09-04,2 day ahead inc hosp,2023-09-06,06,quantile,0.01,106.5
2023-09-04,2 day ahead inc hosp,2023-09-06,04,quantile,0.01,11.8
2023-09-04,2 day ahead inc hosp,2023-09-06,25,quantile,0.01,14.9
2023-09-04,2 day ahead inc hosp,2023-09-06,55,quantile,0.01,3.2
2023-09-04,2 day ahead inc hosp,2023-09-06,48,quantile,0.01,93.6
2023-09-04,2 day ahead inc hosp,2023-09-06,31,quantile,0.01,0.2
2023-09-04,2 day ahead inc hosp,2023-09-06,49,quantile,0.01,2.2
2023-09-04,2 day ahead inc hosp,2023-09-06,41,quantile,0.01,7.7
2023-09-04,2 day ahead inc hosp,2023-09-06,12,quantile,0.01,23.3
2023-09-04,2 day ahead inc hosp,2023-09-06,36,quantile,0.01,18.3
2023-09-04,2 day ahead inc hosp,2023-09-06,44,quantile,0.01,0.2
2023-09-04,2 day ahead inc hosp,2023-09-06,13,quantile,0.01,37.4
2023-09-04,2 day ahead inc hosp,2023-09-06,33,quantile,0.01,0.6
2023-09-04,2 day ahead inc hosp,2023-09-06,37,quantile,0.01,19.4
2023-09-04,2 day ahead inc hosp,2023-09-06,34,quantile,0.01,14.7
2023-09-04,2 day ahead inc hosp,2023-09-06,08,quantile,0.01,8.9
2023-09-04,2 day ahead inc hosp,2023-09-06,24,quantile,0.01,11.9
2023-09-04,2 day ahead inc hosp,2023-09-06,32,quantile,0.01,6.3
2023-09-04,2 day ahead inc hosp,2023-09-06,47,quantile,0.01,17.7
2023-09-04,2 day ahead inc hosp,2023-09-06,15,quantile,0.01,9.4
2023-09-04,2 day ahead inc hosp,2023-09-06,18,quantile,0.01,8.3
2023-09-04,2 day ahead inc hosp,2023-09-06,21,quantile,0.01,8.8
2023-09-04,2 day ahead inc hosp,2023-09-06,27,quantile,0.01,3.3
2023-09-04,2 day ahead inc hosp,2023-09-06,40,quantile,0.01,1.5
2023-09-04,2 day ahead inc hosp,2023-09-06,42,quantile,0.01,10.5
2023-09-04,2 day ahead inc hosp,2023-09-06,45,quantile,0.01,10.3
2023-09-04,2 day ahead inc hosp,2023-09-06,11,quantile,0.01,0.4
2023-09-04,2 day ahead inc hosp,2023-09-06,20,quantile,0.01,3.3
2023-09-04,2 day ahead inc hosp,2023-09-06,29,quantile,0.01,8.8
2023-09-04,2 day ahead inc hosp,2023-09-06,50,quantile,0.01,0
2023-09-04,2 day ahead inc hosp,2023-09-06,51,quantile,0.01,8.7
2023-09-04,2 day ahead inc hosp,2023-09-06,09,quantile,0.01,7.1
2023-09-04,2 day ahead inc hosp,2023-09-06,19,quantile,0.01,2.7
2023-09-04,2 day ahead inc hosp,2023-09-06,22,quantile,0.01,14.8
2023-09-04,2 day ahead inc hosp,2023-09-06,39,quantile,0.01,20
2023-09-04,2 day ahead inc hosp,2023-09-06,26,quantile,0.01,16.3
2023-09-04,2 day ahead inc hosp,2023-09-06,46,quantile,0.01,0.1
2023-09-04,2 day ahead inc hosp,2023-09-06,05,quantile,0.01,9.5
2023-09-04,2 day ahead inc hosp,2023-09-06,10,quantile,0.01,0.8
2023-09-04,2 day ahead inc hosp,2023-09-06,28,quantile,0.01,8.8
2023-09-04,2 day ahead inc hosp,2023-09-06,35,quantile,0.01,0.4
2023-09-04,2 day ahead inc hosp,2023-09-06,38,quantile,0.01,0.2
2023-09-04,2 day ahead inc hosp,2023-09-06,56,quantile,0.01,0.7
2023-09-04,2 day ahead inc hosp,2023-09-06,02,quantile,0.01,0
2023-09-04,2 day ahead inc hosp,2023-09-06,23,quantile,0.01,0
2023-09-04,2 day ahead inc hosp,2023-09-06,01,quantile,0.01,14.8
2023-09-04,2 day ahead inc hosp,2023-09-06,16,quantile,0.01,3.6
2023-09-04,2 day ahead inc hosp,2023-09-06,30,quantile,0.01,0.3
2023-09-04,2 day ahead inc hosp,2023-09-06,72,quantile,0.01,2.9
2023-09-04,2 day ahead inc hosp,2023-09-06,78,quantile,0.01,0
2023-09-04,2 day ahead inc hosp,2023-09-06,54,quantile,0.01,4
2023-09-04,3 day ahead inc hosp,2023-09-07,53,quantile,0.01,15.4
2023-09-04,3 day ahead inc hosp,2023-09-07,17,quantile,0.01,34.9
2023-09-04,3 day ahead inc hosp,2023-09-07,06,quantile,0.01,106.9
2023-09-04,3 day ahead inc hosp,2023-09-07,04,quantile,0.01,11.5
2023-09-04,3 day ahead inc hosp,2023-09-07,25,quantile,0.01,15
2023-09-04,3 day ahead inc hosp,2023-09-07,55,quantile,0.01,3.4
2023-09-04,3 day ahead inc hosp,2023-09-07,48,quantile,0.01,93
2023-09-04,3 day ahead inc hosp,2023-09-07,31,quantile,0.01,0.3
2023-09-04,3 day ahead inc hosp,2023-09-07,49,quantile,0.01,2.1
2023-09-04,3 day ahead inc hosp,2023-09-07,41,quantile,0.01,7.3
2023-09-04,3 day ahead inc hosp,2023-09-07,12,quantile,0.01,26.3
2023-09-04,3 day ahead inc hosp,2023-09-07,36,quantile,0.01,18
2023-09-04,3 day ahead inc hosp,2023-09-07,44,quantile,0.01,0.3
2023-09-04,3 day ahead inc hosp,2023-09-07,13,quantile,0.01,36.5
2023-09-04,3 day ahead inc hosp,2023-09-07,33,quantile,0.01,0.6
2023-09-04,3 day ahead inc hosp,2023-09-07,37,quantile,0.01,19.7
2023-09-04,3 day ahead inc hosp,2023-09-07,34,quantile,0.01,14.2
2023-09-04,3 day ahead inc hosp,2023-09-07,08,quantile,0.01,8.8
2023-09-04,3 day ahead inc hosp,2023-09-07,24,quantile,0.01,11.9
2023-09-04,3 day ahead inc hosp,2023-09-07,32,quantile,0.01,6.2
2023-09-04,3 day ahead inc hosp,2023-09-07,47,quantile,0.01,16.8
2023-09-04,3 day ahead inc hosp,2023-09-07,15,quantile,0.01,9.4
2023-09-04,3 day ahead inc hosp,2023-09-07,18,quantile,0.01,8.1
2023-09-04,3 day ahead inc hosp,2023-09-07,21,quantile,0.01,8.6
2023-09-04,3 day ahead inc hosp,2023-09-07,27,quantile,0.01,3.4
2023-09-04,3 day ahead inc hosp,2023-09-07,40,quantile,0.01,1.5
2023-09-04,3 day ahead inc hosp,2023-09-07,42,quantile,0.01,10.1
2023-09-04,3 day ahead inc hosp,2023-09-07,45,quantile,0.01,10.2
2023-09-04,3 day ahead inc hosp,2023-09-07,11,quantile,0.01,0.4
2023-09-04,3 day ahead inc hosp,2023-09-07,20,quantile,0.01,3.1
2023-09-04,3 day ahead inc hosp,2023-09-07,29,quantile,0.01,9.2
2023-09-04,3 day ahead inc hosp,2023-09-07,50,quantile,0.01,0
2023-09-04,3 day ahead inc hosp,2023-09-07,51,quantile,0.01,8
2023-09-04,3 day ahead inc hosp,2023-09-07,09,quantile,0.01,6.9
2023-09-04,3 day ahead inc hosp,2023-09-07,19,quantile,0.01,3
