forecast_date,target,target_end_date,location,type,quantile,value
2020-08-16,1 wk ahead inc death,2020-08-22,US,point,NA,6805
2020-08-16,2 wk ahead inc death,2020-08-29,US,point,NA,6293
2020-08-16,3 wk ahead inc death,2020-09-05,US,point,NA,5874
2020-08-16,4 wk ahead inc death,2020-09-12,US,point,NA,5500
2020-08-16,5 wk ahead inc death,2020-09-19,US,point,NA,5208
2020-08-16,6 wk ahead inc death,2020-09-26,US,point,NA,5033
2020-08-16,7 wk ahead inc death,2020-10-03,US,point,NA,4953
2020-08-16,8 wk ahead inc death,2020-10-10,US,point,NA,4954
2020-08-16,9 wk ahead inc death,2020-10-17,US,point,NA,5012
2020-08-16,10 wk ahead inc death,2020-10-24,US,point,NA,5097
2020-08-16,11 wk ahead inc death,2020-10-31,US,point,NA,5178
2020-08-16,12 wk ahead inc death,2020-11-07,US,point,NA,5232
2020-08-16,13 wk ahead inc death,2020-11-14,US,point,NA,5242
2020-08-16,14 wk ahead inc death,2020-11-21,US,point,NA,5205
2020-08-16,15 wk ahead inc death,2020-11-28,US,point,NA,5124
2020-08-16,16 wk ahead inc death,2020-12-05,US,point,NA,5010
2020-08-16,17 wk ahead inc death,2020-12-12,US,point,NA,4878
2020-08-16,18 wk ahead inc death,2020-12-19,US,point,NA,4744
2020-08-16,19 wk ahead inc death,2020-12-26,US,point,NA,4619
2020-08-16,20 wk ahead inc death,2021-01-02,US,point,NA,4514
2020-08-16,1 wk ahead cum death,2020-08-22,US,point,NA,176779
2020-08-16,2 wk ahead cum death,2020-08-29,US,point,NA,183071
2020-08-16,3 wk ahead cum death,2020-09-05,US,point,NA,188945
2020-08-16,4 wk ahead cum death,2020-09-12,US,point,NA,194445
2020-08-16,5 wk ahead cum death,2020-09-19,US,point,NA,199653
2020-08-16,6 wk ahead cum death,2020-09-26,US,point,NA,204686
2020-08-16,7 wk ahead cum death,2020-10-03,US,point,NA,209640
2020-08-16,8 wk ahead cum death,2020-10-10,US,point,NA,214594
2020-08-16,9 wk ahead cum death,2020-10-17,US,point,NA,219606
2020-08-16,10 wk ahead cum death,2020-10-24,US,point,NA,224703
2020-08-16,11 wk ahead cum death,2020-10-31,US,point,NA,229881
2020-08-16,12 wk ahead cum death,2020-11-07,US,point,NA,235113
2020-08-16,13 wk ahead cum death,2020-11-14,US,point,NA,240355
2020-08-16,14 wk ahead cum death,2020-11-21,US,point,NA,245561
2020-08-16,15 wk ahead cum death,2020-11-28,US,point,NA,250685
2020-08-16,16 wk ahead cum death,2020-12-05,US,point,NA,255695
2020-08-16,17 wk ahead cum death,2020-12-12,US,point,NA,260574
2020-08-16,18 wk ahead cum death,2020-12-19,US,point,NA,265317
2020-08-16,19 wk ahead cum death,2020-12-26,US,point,NA,269937
2020-08-16,20 wk ahead cum death,2021-01-02,US,point,NA,274451
2020-08-16,1 wk ahead inc death,2020-08-22,48,point,NA,1115
2020-08-16,2 wk ahead inc death,2020-08-29,48,point,NA,837
2020-08-16,3 wk ahead inc death,2020-09-05,48,point,NA,668
2020-08-16,4 wk ahead inc death,2020-09-12,48,point,NA,541
2020-08-16,5 wk ahead inc death,2020-09-19,48,point,NA,463
2020-08-16,6 wk ahead inc death,2020-09-26,48,point,NA,419
2020-08-16,7 wk ahead inc death,2020-10-03,48,point,NA,416
2020-08-16,8 wk ahead inc death,2020-10-10,48,point,NA,454
2020-08-16,9 wk ahead inc death,2020-10-17,48,point,NA,519
2020-08-16,10 wk ahead inc death,2020-10-24,48,point,NA,596
2020-08-16,11 wk ahead inc death,2020-10-31,48,point,NA,681
2020-08-16,12 wk ahead inc death,2020-11-07,48,point,NA,770
2020-08-16,13 wk ahead inc death,2020-11-14,48,point,NA,842
2020-08-16,14 wk ahead inc death,2020-11-21,48,point,NA,877
2020-08-16,15 wk ahead inc death,2020-11-28,48,point,NA,869
2020-08-16,16 wk ahead inc death,2020-12-05,48,point,NA,819
2020-08-16,17 wk ahead inc death,2020-12-12,48,point,NA,734
2020-08-16,18 wk ahead inc death,2020-12-19,48,point,NA,627
2020-08-16,19 wk ahead inc death,2020-12-26,48,point,NA,539
2020-08-16,20 wk ahead inc death,2021-01-02,48,point,NA,481
2020-08-16,1 wk ahead cum death,2020-08-22,48,point,NA,11650
2020-08-16,2 wk ahead cum death,2020-08-29,48,point,NA,12488
2020-08-16,3 wk ahead cum death,2020-09-05,48,point,NA,13156
2020-08-16,4 wk ahead cum death,2020-09-12,48,point,NA,13697
2020-08-16,5 wk ahead cum death,2020-09-19,48,point,NA,14160
2020-08-16,6 wk ahead cum death,2020-09-26,48,point,NA,14579
2020-08-16,7 wk ahead cum death,2020-10-03,48,point,NA,14995
2020-08-16,8 wk ahead cum death,2020-10-10,48,point,NA,15449
2020-08-16,9 wk ahead cum death,2020-10-17,48,point,NA,15968
2020-08-16,10 wk ahead cum death,2020-10-24,48,point,NA,16564
2020-08-16,11 wk ahead cum death,2020-10-31,48,point,NA,17245
2020-08-16,12 wk ahead cum death,2020-11-07,48,point,NA,18015
2020-08-16,13 wk ahead cum death,2020-11-14,48,point,NA,18858
2020-08-16,14 wk ahead cum death,2020-11-21,48,point,NA,19735
2020-08-16,15 wk ahead cum death,2020-11-28,48,point,NA,20603
2020-08-16,16 wk ahead cum death,2020-12-05,48,point,NA,21422
2020-08-16,17 wk ahead cum death,2020-12-12,48,point,NA,22156
2020-08-16,18 wk ahead cum death,2020-12-19,48,point,NA,22783
2020-08-16,19 wk ahead cum death,2020-12-26,48,point,NA,23322
2020-08-16,20 wk ahead cum death,2021-01-02,48,point,NA,23803
