forecast_date,target,target_end_date,location,type,quantile,value
2020-10-19,1 wk ahead inc death,2020-10-24,US,point,NA,5223
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.01,3976.5
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.025,3977
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.05,4042.6
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.1,4173.7
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.15,4304.9
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.2,4436.1
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.25,4567.2
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.3,4698.4
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.35,4829.5
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.4,4960.7
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.45,5091.8
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.5,5223
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.55,5291.2
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.6,5359.4
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.65,5427.6
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.7,5495.8
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.75,5564.1
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.8,5632.3
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.85,5700.5
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.9,5768.7
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.95,5836.9
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.975,5871
2020-10-19,1 wk ahead inc death,2020-10-24,US,quantile,0.99,5871.5
2020-10-19,1 wk ahead cum death,2020-10-24,US,point,NA,224509
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.01,223262.5
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.025,223263
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.05,223328.6
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.1,223459.7
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.15,223590.9
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.2,223722.1
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.25,223853.2
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.3,223984.4
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.35,224115.5
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.4,224246.7
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.45,224377.8
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.5,224509
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.55,224577.2
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.6,224645.4
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.65,224713.6
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.7,224781.8
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.75,224850.1
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.8,224918.3
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.85,224986.5
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.9,225054.7
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.95,225122.9
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.975,225157
2020-10-19,1 wk ahead cum death,2020-10-24,US,quantile,0.99,225157.5
2020-10-19,2 wk ahead inc death,2020-10-31,US,point,NA,5833
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.01,4441.5
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.025,4442
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.05,4515.2
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.1,4661.6
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.15,4808.1
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.2,4954.5
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.25,5100.9
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.3,5247.3
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.35,5393.7
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.4,5540.2
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.45,5686.6
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.5,5833
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.55,5909.1
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.6,5985.2
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.65,6061.3
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.7,6137.4
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.75,6213.5
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.8,6289.6
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.85,6365.7
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.9,6441.8
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.95,6517.9
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.975,6556
2020-10-19,2 wk ahead inc death,2020-10-31,US,quantile,0.99,6556.5
2020-10-19,2 wk ahead cum death,2020-10-31,US,point,NA,230342
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.01,227704.5
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.025,227705
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.05,227843.8
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.1,228121.4
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.15,228398.9
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.2,228676.5
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.25,228954.1
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.3,229231.7
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.35,229509.3
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.4,229786.8
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.45,230064.4
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.5,230342
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.55,230486.3
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.6,230630.6
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.65,230774.9
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.7,230919.3
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.75,231063.6
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.8,231207.9
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.85,231352.2
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.9,231496.5
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.95,231640.8
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.975,231713
2020-10-19,2 wk ahead cum death,2020-10-31,US,quantile,0.99,231713.5
2020-10-19,3 wk ahead inc death,2020-11-07,US,point,NA,5415
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.01,3789.5
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.025,3790
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.05,3875.5
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.1,4046.6
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.15,4217.6
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.2,4388.7
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.25,4559.7
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.3,4730.8
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.35,4901.8
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.4,5072.9
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.45,5243.9
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.5,5415
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.55,5643
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.6,5871
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.65,6099
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.7,6327
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.75,6555
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.8,6783
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.85,7011
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.9,7239
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.95,7467
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.975,7581
2020-10-19,3 wk ahead inc death,2020-11-07,US,quantile,0.99,7581.5
2020-10-19,3 wk ahead cum death,2020-11-07,US,point,NA,235757
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.01,231494.5
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.025,231495
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.05,231719.3
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.1,232167.9
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.15,232616.6
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.2,233065.2
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.25,233513.8
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.3,233962.5
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.35,234411.1
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.4,234859.7
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.45,235308.4
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.5,235757
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.55,236129.3
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.6,236501.6
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.65,236873.9
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.7,237246.3
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.75,237618.6
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.8,237990.9
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.85,238363.2
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.9,238735.5
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.95,239107.8
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.975,239294
2020-10-19,3 wk ahead cum death,2020-11-07,US,quantile,0.99,239294.5
2020-10-19,4 wk ahead inc death,2020-11-14,US,point,NA,5415
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.01,3789.5
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.025,3790
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.05,3875.5
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.1,4046.6
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.15,4217.6
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.2,4388.7
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.25,4559.7
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.3,4730.8
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.35,4901.8
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.4,5072.9
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.45,5243.9
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.5,5415
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.55,5643
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.6,5871
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.65,6099
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.7,6327
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.75,6555
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.8,6783
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.85,7011
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.9,7239
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.95,7467
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.975,7581
2020-10-19,4 wk ahead inc death,2020-11-14,US,quantile,0.99,7581.5
2020-10-19,4 wk ahead cum death,2020-11-14,US,point,NA,241172
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.01,235284.5
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.025,235285
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.05,235594.8
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.1,236214.5
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.15,236834.2
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.2,237453.9
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.25,238073.6
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.3,238693.3
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.35,239312.9
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.4,239932.6
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.45,240552.3
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.5,241172
2020-10-19,4 wk ahead cum death,2020-11-14,US,quantile,0.55,241772.3
