forecast_date,target,target_end_date,location,type,quantile,value
2021-12-12,1 wk ahead cum death,2021-12-18,01,point,NA,17195.362
2021-12-12,1 wk ahead cum death,2021-12-18,02,point,NA,793.172
2021-12-12,1 wk ahead cum death,2021-12-18,04,point,NA,23595.884
2021-12-12,1 wk ahead cum death,2021-12-18,05,point,NA,8501.7
2021-12-12,1 wk ahead cum death,2021-12-18,06,point,NA,79965.303
2021-12-12,1 wk ahead cum death,2021-12-18,08,point,NA,9481.464
2021-12-12,1 wk ahead cum death,2021-12-18,09,point,NA,9287.685
2021-12-12,1 wk ahead cum death,2021-12-18,10,point,NA,2286.608
2021-12-12,1 wk ahead cum death,2021-12-18,11,point,NA,1370.565
2021-12-12,1 wk ahead cum death,2021-12-18,12,point,NA,60736.124
2021-12-12,1 wk ahead cum death,2021-12-18,13,point,NA,32709.261
2021-12-12,1 wk ahead cum death,2021-12-18,15,point,NA,1017.426
2021-12-12,1 wk ahead cum death,2021-12-18,16,point,NA,3634.57
2021-12-12,1 wk ahead cum death,2021-12-18,17,point,NA,31563.388
2021-12-12,1 wk ahead cum death,2021-12-18,18,point,NA,18984.198
2021-12-12,1 wk ahead cum death,2021-12-18,19,point,NA,8498.124
2021-12-12,1 wk ahead cum death,2021-12-18,20,point,NA,7210.86
2021-12-12,1 wk ahead cum death,2021-12-18,21,point,NA,11764.095
2021-12-12,1 wk ahead cum death,2021-12-18,22,point,NA,15466.43
2021-12-12,1 wk ahead cum death,2021-12-18,23,point,NA,1542.924
2021-12-12,1 wk ahead cum death,2021-12-18,24,point,NA,11660.012
2021-12-12,1 wk ahead cum death,2021-12-18,25,point,NA,20892.164
2021-12-12,1 wk ahead cum death,2021-12-18,26,point,NA,28724.376
2021-12-12,1 wk ahead cum death,2021-12-18,27,point,NA,10852.75
2021-12-12,1 wk ahead cum death,2021-12-18,28,point,NA,11129.6
2021-12-12,1 wk ahead cum death,2021-12-18,29,point,NA,13568.611
2021-12-12,1 wk ahead cum death,2021-12-18,30,point,NA,2752.48
2021-12-12,1 wk ahead cum death,2021-12-18,31,point,NA,3290.805
2021-12-12,1 wk ahead cum death,2021-12-18,32,point,NA,7713.712
2021-12-12,1 wk ahead cum death,2021-12-18,33,point,NA,1967.32
2021-12-12,1 wk ahead cum death,2021-12-18,34,point,NA,29458.009
2021-12-12,1 wk ahead cum death,2021-12-18,35,point,NA,6051.858
2021-12-12,1 wk ahead cum death,2021-12-18,36,point,NA,61263.095
2021-12-12,1 wk ahead cum death,2021-12-18,37,point,NA,19785.667
2021-12-12,1 wk ahead cum death,2021-12-18,38,point,NA,2239.414
2021-12-12,1 wk ahead cum death,2021-12-18,39,point,NA,32306.714
2021-12-12,1 wk ahead cum death,2021-12-18,40,point,NA,10865.541
2021-12-12,1 wk ahead cum death,2021-12-18,41,point,NA,5024.409
2021-12-12,1 wk ahead cum death,2021-12-18,42,point,NA,37279.533
2021-12-12,1 wk ahead cum death,2021-12-18,44,point,NA,3218.804
2021-12-12,1 wk ahead cum death,2021-12-18,45,point,NA,15281.184
2021-12-12,1 wk ahead cum death,2021-12-18,46,point,NA,2697.638
2021-12-12,1 wk ahead cum death,2021-12-18,47,point,NA,19671.479
2021-12-12,1 wk ahead cum death,2021-12-18,48,point,NA,76239.559
2021-12-12,1 wk ahead cum death,2021-12-18,49,point,NA,3381.358
2021-12-12,1 wk ahead cum death,2021-12-18,50,point,NA,479.622
2021-12-12,1 wk ahead cum death,2021-12-18,51,point,NA,15608.775
2021-12-12,1 wk ahead cum death,2021-12-18,53,point,NA,9681.43
2021-12-12,1 wk ahead cum death,2021-12-18,54,point,NA,5128.132
2021-12-12,1 wk ahead cum death,2021-12-18,55,point,NA,10924.996
2021-12-12,1 wk ahead cum death,2021-12-18,56,point,NA,1355.487
2021-12-12,1 wk ahead cum death,2021-12-18,72,point,NA,3395.961
2021-12-12,1 wk ahead cum death,2021-12-18,US,point,NA,829495.638
2021-12-12,1 wk ahead inc case,2021-12-18,01,point,NA,3636.585
2021-12-12,1 wk ahead inc case,2021-12-18,02,point,NA,642.225
2021-12-12,1 wk ahead inc case,2021-12-18,04,point,NA,10182.276
2021-12-12,1 wk ahead inc case,2021-12-18,05,point,NA,318.151
2021-12-12,1 wk ahead inc case,2021-12-18,06,point,NA,30257.755
2021-12-12,1 wk ahead inc case,2021-12-18,08,point,NA,10083.817
2021-12-12,1 wk ahead inc case,2021-12-18,09,point,NA,4034.152
2021-12-12,1 wk ahead inc case,2021-12-18,10,point,NA,1334.528
2021-12-12,1 wk ahead inc case,2021-12-18,11,point,NA,973.907
2021-12-12,1 wk ahead inc case,2021-12-18,12,point,NA,8860.448
2021-12-12,1 wk ahead inc case,2021-12-18,13,point,NA,14129.162
2021-12-12,1 wk ahead inc case,2021-12-18,15,point,NA,977.914
2021-12-12,1 wk ahead inc case,2021-12-18,16,point,NA,2332.516
2021-12-12,1 wk ahead inc case,2021-12-18,17,point,NA,18476.251
2021-12-12,1 wk ahead inc case,2021-12-18,18,point,NA,7518.537
2021-12-12,1 wk ahead inc case,2021-12-18,19,point,NA,12597.368
2021-12-12,1 wk ahead inc case,2021-12-18,20,point,NA,1609.693
2021-12-12,1 wk ahead inc case,2021-12-18,21,point,NA,2493.285
2021-12-12,1 wk ahead inc case,2021-12-18,22,point,NA,2220.589
2021-12-12,1 wk ahead inc case,2021-12-18,23,point,NA,4178.068
2021-12-12,1 wk ahead inc case,2021-12-18,24,point,NA,10573.5
