forecast_date,target,target_end_date,location,type,quantile,value
2021-12-19,1 wk ahead inc case,2021-12-25,US,quantile,0.025,721589
2021-12-19,2 wk ahead inc case,2022-01-01,US,quantile,0.025,676409
2021-12-19,3 wk ahead inc case,2022-01-08,US,quantile,0.025,610257
2021-12-19,4 wk ahead inc case,2022-01-15,US,quantile,0.025,494619
2021-12-19,5 wk ahead inc case,2022-01-22,US,quantile,0.025,401604
2021-12-19,6 wk ahead inc case,2022-01-29,US,quantile,0.025,331140
2021-12-19,7 wk ahead inc case,2022-02-05,US,quantile,0.025,252123
2021-12-19,8 wk ahead inc case,2022-02-12,US,quantile,0.025,132874
2021-12-19,1 wk ahead inc case,2021-12-25,US,quantile,0.1,770727
2021-12-19,2 wk ahead inc case,2022-01-01,US,quantile,0.1,719886
2021-12-19,3 wk ahead inc case,2022-01-08,US,quantile,0.1,633038
2021-12-19,4 wk ahead inc case,2022-01-15,US,quantile,0.1,515642
2021-12-19,5 wk ahead inc case,2022-01-22,US,quantile,0.1,414194
2021-12-19,6 wk ahead inc case,2022-01-29,US,quantile,0.1,331817
2021-12-19,7 wk ahead inc case,2022-02-05,US,quantile,0.1,266294
2021-12-19,8 wk ahead inc case,2022-02-12,US,quantile,0.1,148901
2021-12-19,1 wk ahead inc case,2021-12-25,US,quantile,0.25,916635
2021-12-19,2 wk ahead inc case,2022-01-01,US,quantile,0.25,779285
2021-12-19,3 wk ahead inc case,2022-01-08,US,quantile,0.25,670948
2021-12-19,4 wk ahead inc case,2022-01-15,US,quantile,0.25,604414
2021-12-19,5 wk ahead inc case,2022-01-22,US,quantile,0.25,530176
2021-12-19,6 wk ahead inc case,2022-01-29,US,quantile,0.25,468215
2021-12-19,7 wk ahead inc case,2022-02-05,US,quantile,0.25,419041
2021-12-19,8 wk ahead inc case,2022-02-12,US,quantile,0.25,343979
2021-12-19,1 wk ahead inc case,2021-12-25,US,quantile,0.5,995188
2021-12-19,2 wk ahead inc case,2022-01-01,US,quantile,0.5,932682
2021-12-19,3 wk ahead inc case,2022-01-08,US,quantile,0.5,933694
2021-12-19,4 wk ahead inc case,2022-01-15,US,quantile,0.5,876175
2021-12-19,5 wk ahead inc case,2022-01-22,US,quantile,0.5,809341
2021-12-19,6 wk ahead inc case,2022-01-29,US,quantile,0.5,745401
2021-12-19,7 wk ahead inc case,2022-02-05,US,quantile,0.5,687209
2021-12-19,8 wk ahead inc case,2022-02-12,US,quantile,0.5,622351
2021-12-19,1 wk ahead inc case,2021-12-25,US,quantile,0.75,1043107
2021-12-19,2 wk ahead inc case,2022-01-01,US,quantile,0.75,1094314
2021-12-19,3 wk ahead inc case,2022-01-08,US,quantile,0.75,1091765
2021-12-19,4 wk ahead inc case,2022-01-15,US,quantile,0.75,1051866
2021-12-19,5 wk ahead inc case,2022-01-22,US,quantile,0.75,1014652
2021-12-19,6 wk ahead inc case,2022-01-29,US,quantile,0.75,974216
2021-12-19,7 wk ahead inc case,2022-02-05,US,quantile,0.75,933662
2021-12-19,8 wk ahead inc case,2022-02-12,US,quantile,0.75,893481
2021-12-19,1 wk ahead inc case,2021-12-25,US,quantile,0.9,1071733
2021-12-19,2 wk ahead inc case,2022-01-01,US,quantile,0.9,1124180
2021-12-19,3 wk ahead inc case,2022-01-08,US,quantile,0.9,1175424
2021-12-19,4 wk ahead inc case,2022-01-15,US,quantile,0.9,1165083
2021-12-19,5 wk ahead inc case,2022-01-22,US,quantile,0.9,1128856
2021-12-19,6 wk ahead inc case,2022-01-29,US,quantile,0.9,1085501
2021-12-19,7 wk ahead inc case,2022-02-05,US,quantile,0.9,1039226
2021-12-19,8 wk ahead inc case,2022-02-12,US,quantile,0.9,991437
2021-12-19,1 wk ahead inc case,2021-12-25,US,quantile,0.975,1092884
2021-12-19,2 wk ahead inc case,2022-01-01,US,quantile,0.975,1143491
2021-12-19,3 wk ahead inc case,2022-01-08,US,quantile,0.975,1180802
2021-12-19,4 wk ahead inc case,2022-01-15,US,quantile,0.975,1175333
2021-12-19,5 wk ahead inc case,2022-01-22,US,quantile,0.975,1156091
2021-12-19,6 wk ahead inc case,2022-01-29,US,quantile,0.975,1128497
2021-12-19,7 wk ahead inc case,2022-02-05,US,quantile,0.975,1093025
2021-12-19,8 wk ahead inc case,2022-02-12,US,quantile,0.975,1049945
2021-12-19,1 wk ahead inc case,2021-12-25,US,point,NA,944552
2021-12-19,2 wk ahead inc case,2022-01-01,US,point,NA,924321
2021-12-19,3 wk ahead inc case,2022-01-08,US,point,NA,899418
2021-12-19,4 wk ahead inc case,2022-01-15,US,point,NA,840447
2021-12-19,5 wk ahead inc case,2022-01-22,US,point,NA,779273
2021-12-19,6 wk ahead inc case,2022-01-29,US,point,NA,723541
2021-12-19,7 wk ahead inc case,2022-02-05,US,point,NA,670083
2021-12-19,8 wk ahead inc case,2022-02-12,US,point,NA,597567
