forecast_date,target,target_end_date,location,type,quantile,value
2021-06-13,1 wk ahead cum death,2021-06-19,US,quantile,0.01,602150.7194192329
2021-06-13,2 wk ahead cum death,2021-06-26,US,quantile,0.01,604584.6299441695
2021-06-13,3 wk ahead cum death,2021-07-03,US,quantile,0.01,607065.7480958181
2021-06-13,4 wk ahead cum death,2021-07-10,US,quantile,0.01,609586.7715429823
2021-06-13,5 wk ahead cum death,2021-07-17,US,quantile,0.01,612140.4239343298
2021-06-13,6 wk ahead cum death,2021-07-24,US,quantile,0.01,614714.3843657791
2021-06-13,7 wk ahead cum death,2021-07-31,US,quantile,0.01,617276.0583014261
2021-06-13,8 wk ahead cum death,2021-08-07,US,quantile,0.01,619841.6478776671
2021-06-13,9 wk ahead cum death,2021-08-14,US,quantile,0.01,622408.255458425
2021-06-13,10 wk ahead cum death,2021-08-21,US,quantile,0.01,624973.7191917761
2021-06-13,11 wk ahead cum death,2021-08-28,US,quantile,0.01,627536.419833468
2021-06-13,12 wk ahead cum death,2021-09-04,US,quantile,0.01,630095.136748661
2021-06-13,13 wk ahead cum death,2021-09-11,US,quantile,0.01,632648.9452014102
2021-06-13,14 wk ahead cum death,2021-09-18,US,quantile,0.01,635197.1435689582
2021-06-13,1 wk ahead inc death,2021-06-19,US,quantile,0.01,2486.719419232928
2021-06-13,2 wk ahead inc death,2021-06-26,US,quantile,0.01,2433.9105249366166
2021-06-13,3 wk ahead inc death,2021-07-03,US,quantile,0.01,2481.1181516485894
2021-06-13,4 wk ahead inc death,2021-07-10,US,quantile,0.01,2520.503819606784
2021-06-13,5 wk ahead inc death,2021-07-17,US,quantile,0.01,2540.7709451514716
2021-06-13,6 wk ahead inc death,2021-07-24,US,quantile,0.01,2553.8609026303284
2021-06-13,7 wk ahead inc death,2021-07-31,US,quantile,0.01,2561.6739356470202
2021-06-13,8 wk ahead inc death,2021-08-07,US,quantile,0.01,2565.58957624102
2021-06-13,9 wk ahead inc death,2021-08-14,US,quantile,0.01,2566.607580757956
2021-06-13,10 wk ahead inc death,2021-08-21,US,quantile,0.01,2565.4637333510304
2021-06-13,11 wk ahead inc death,2021-08-28,US,quantile,0.01,2562.7006416919735
2021-06-13,12 wk ahead inc death,2021-09-04,US,quantile,0.01,2558.716915192972
2021-06-13,13 wk ahead inc death,2021-09-11,US,quantile,0.01,2553.808452749108
2021-06-13,14 wk ahead inc death,2021-09-18,US,quantile,0.01,2548.198367548054
2021-06-13,1 wk ahead cum death,2021-06-19,US,quantile,0.025,602164.8140456676
2021-06-13,2 wk ahead cum death,2021-06-26,US,quantile,0.025,604624.6375810504
2021-06-13,3 wk ahead cum death,2021-07-03,US,quantile,0.025,607127.9576087341
2021-06-13,4 wk ahead cum death,2021-07-10,US,quantile,0.025,609662.3536700497
2021-06-13,5 wk ahead cum death,2021-07-17,US,quantile,0.025,612217.4870643903
2021-06-13,6 wk ahead cum death,2021-07-24,US,quantile,0.025,614785.9519067397
2021-06-13,7 wk ahead cum death,2021-07-31,US,quantile,0.025,617368.5822056013
2021-06-13,8 wk ahead cum death,2021-08-07,US,quantile,0.025,619991.1911299677
2021-06-13,9 wk ahead cum death,2021-08-14,US,quantile,0.025,622629.9927696808
2021-06-13,10 wk ahead cum death,2021-08-21,US,quantile,0.025,625280.5932343542
2021-06-13,11 wk ahead cum death,2021-08-28,US,quantile,0.025,627940.9611371005
2021-06-13,12 wk ahead cum death,2021-09-04,US,quantile,0.025,630609.3829322977
2021-06-13,13 wk ahead cum death,2021-09-11,US,quantile,0.025,633284.3974593169
2021-06-13,14 wk ahead cum death,2021-09-18,US,quantile,0.025,635964.7442428991
2021-06-13,1 wk ahead inc death,2021-06-19,US,quantile,0.025,2500.8140456676715
2021-06-13,2 wk ahead inc death,2021-06-26,US,quantile,0.025,2459.8235353827245
2021-06-13,3 wk ahead inc death,2021-07-03,US,quantile,0.025,2503.3200276837915
2021-06-13,4 wk ahead inc death,2021-07-10,US,quantile,0.025,2534.396061315504
2021-06-13,5 wk ahead inc death,2021-07-17,US,quantile,0.025,2560.6108661481876
2021-06-13,6 wk ahead inc death,2021-07-24,US,quantile,0.025,2586.3309863957343
2021-06-13,7 wk ahead inc death,2021-07-31,US,quantile,0.025,2607.3079040553885
2021-06-13,8 wk ahead inc death,2021-08-07,US,quantile,0.025,2624.551432899968
2021-06-13,9 wk ahead inc death,2021-08-14,US,quantile,0.025,2638.801639713091
2021-06-13,10 wk ahead inc death,2021-08-21,US,quantile,0.025,2650.6004646734104
2021-06-13,11 wk ahead inc death,2021-08-28,US,quantile,0.025,2656.863194035343
2021-06-13,12 wk ahead inc death,2021-09-04,US,quantile,0.025,2653.375970475469
2021-06-13,13 wk ahead inc death,2021-09-11,US,quantile,0.025,2648.378495750763
2021-06-13,14 wk ahead inc death,2021-09-18,US,quantile,0.025,2641.673198080412
2021-06-13,1 wk ahead cum death,2021-06-19,US,quantile,0.05,602174.4620527887
2021-06-13,2 wk ahead cum death,2021-06-26,US,quantile,0.05,604674.0479614985
2021-06-13,3 wk ahead cum death,2021-07-03,US,quantile,0.05,607251.0899651479
2021-06-13,4 wk ahead cum death,2021-07-10,US,quantile,0.05,609867.4520525327
2021-06-13,5 wk ahead cum death,2021-07-17,US,quantile,0.05,612514.6438285819
2021-06-13,6 wk ahead cum death,2021-07-24,US,quantile,0.05,615183.3966784795
2021-06-13,7 wk ahead cum death,2021-07-31,US,quantile,0.05,617881.3938806328
