forecast_date,target,target_end_date,location,type,quantile,value
2020-07-26,1 wk ahead inc death,2020-08-01,US,point,,4827
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.01,4743
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.025,4753
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.05,4767
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.1,4780
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.15,4790
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.2,4796
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.25,4803
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.3,4809
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.35,4814
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.4,4819
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.45,4824
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.5,4829
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.55,4833
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.6,4838
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.65,4843
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.7,4848
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.75,4853
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.8,4859
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.85,4867
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.9,4877
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.95,4893
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.975,4908
2020-07-26,1 wk ahead inc death,2020-08-01,US,quantile,0.99,4934
2020-07-26,2 wk ahead inc death,2020-08-08,US,point,,4792
2020-07-26,2 wk ahead inc death,2020-08-08,US,quantile,0.01,4511
2020-07-26,2 wk ahead inc death,2020-08-08,US,quantile,0.025,4546
2020-07-26,2 wk ahead inc death,2020-08-08,US,quantile,0.05,4591
