forecast_date,target,target_end_date,location,type,quantile,value
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.01,20239.0
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.025,20239.0
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.05,20239.0
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.1,20245.253025692822
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.15,20263.55514481165
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.2,20277.98852330373
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.25,20290.487531482442
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.3,20301.647360213432
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.35,20311.988801504154
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.4,20321.809450787427
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.45,20331.258105779667
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.5,20340.6323619137
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.55,20357.407280388168
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.6,20374.315333136245
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.65,20391.889057252356
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.7,20410.394721283716
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.75,20430.36486232475
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.8,20452.73142029071
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.85,20478.55946937045
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.9,20511.310500677748
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.95,20559.638241997054
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.975,20601.57553818323
2022-09-12,1 wk ahead cum death,2022-09-17,01,quantile,0.99,20683.586250725082
2022-09-12,1 wk ahead cum death,2022-09-17,01,point,NA,20340.6323619137
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.01,0.0
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.025,0.0
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.05,0.0
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.1,6.253025692821126
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.15,24.55514481164785
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.2,38.98852330373074
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.25,51.48753148244166
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.3,62.64736021343358
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.35,72.98880150415275
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.4,82.80945078742562
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.45,92.25810577966544
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.5,101.63236191369865
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.55,118.40728038816852
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.6,135.31533313624527
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.65,152.88905725235657
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.7,171.3947212837162
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.75,191.36486232475175
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.8,213.73142029071155
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.85,239.5594693704509
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.9,272.3105006777492
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.95,320.6382419970553
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.975,362.5755381832299
2022-09-12,1 wk ahead inc death,2022-09-17,01,quantile,0.99,444.58625072508266
2022-09-12,1 wk ahead inc death,2022-09-17,01,point,NA,101.63236191369865
2022-09-12,2 wk ahead cum death,2022-09-24,01,quantile,0.01,20239.0
2022-09-12,2 wk ahead cum death,2022-09-24,01,quantile,0.025,20239.0
2022-09-12,2 wk ahead cum death,2022-09-24,01,quantile,0.05,20239.0
