forecast_date,target,target_end_date,location,type,quantile,value
2021-03-21,1 wk ahead inc case,2021-03-27,01001,point,,101.29
2021-03-21,1 wk ahead inc case,2021-03-27,01003,point,,181.35
2021-03-21,1 wk ahead inc case,2021-03-27,01005,point,,30.26
2021-03-21,1 wk ahead inc case,2021-03-27,01007,point,,40.17
2021-03-21,1 wk ahead inc case,2021-03-27,01009,point,,114.88
2021-03-21,1 wk ahead inc case,2021-03-27,01011,point,,9.9
2021-03-21,1 wk ahead inc case,2021-03-27,01013,point,,34.85
2021-03-21,1 wk ahead inc case,2021-03-27,01015,point,,117.42
2021-03-21,1 wk ahead inc case,2021-03-27,01017,point,,25.1
2021-03-21,1 wk ahead inc case,2021-03-27,01019,point,,7.75
2021-03-21,1 wk ahead inc case,2021-03-27,01021,point,,48.32
2021-03-21,1 wk ahead inc case,2021-03-27,01023,point,,11.2
2021-03-21,1 wk ahead inc case,2021-03-27,01025,point,,9.67
2021-03-21,1 wk ahead inc case,2021-03-27,01027,point,,9.0
2021-03-21,1 wk ahead inc case,2021-03-27,01029,point,,23.2
2021-03-21,1 wk ahead inc case,2021-03-27,01031,point,,60.68
2021-03-21,1 wk ahead inc case,2021-03-27,01033,point,,87.11
2021-03-21,1 wk ahead inc case,2021-03-27,01035,point,,8.35
2021-03-21,1 wk ahead inc case,2021-03-27,01037,point,,26.58
2021-03-21,1 wk ahead inc case,2021-03-27,01039,point,,19.23
2021-03-21,1 wk ahead inc case,2021-03-27,01041,point,,5.36
2021-03-21,1 wk ahead inc case,2021-03-27,01043,point,,226.94
2021-03-21,1 wk ahead inc case,2021-03-27,01045,point,,26.77
2021-03-21,1 wk ahead inc case,2021-03-27,01047,point,,64.64
2021-03-21,1 wk ahead inc case,2021-03-27,01049,point,,78.99
2021-03-21,1 wk ahead inc case,2021-03-27,01051,point,,176.61
2021-03-21,1 wk ahead inc case,2021-03-27,01053,point,,23.09
2021-03-21,1 wk ahead inc case,2021-03-27,01055,point,,111.1
2021-03-21,1 wk ahead inc case,2021-03-27,01057,point,,12.34
2021-03-21,1 wk ahead inc case,2021-03-27,01059,point,,79.89
2021-03-21,1 wk ahead inc case,2021-03-27,01061,point,,8.81
2021-03-21,1 wk ahead inc case,2021-03-27,01063,point,,7.86
2021-03-21,1 wk ahead inc case,2021-03-27,01065,point,,11.52
2021-03-21,1 wk ahead inc case,2021-03-27,01067,point,,14.26
2021-03-21,1 wk ahead inc case,2021-03-27,01069,point,,66.51
2021-03-21,1 wk ahead inc case,2021-03-27,01071,point,,88.58
2021-03-21,1 wk ahead inc case,2021-03-27,01073,point,,1260.68
2021-03-21,1 wk ahead inc case,2021-03-27,01075,point,,15.67
2021-03-21,1 wk ahead inc case,2021-03-27,01077,point,,248.04
2021-03-21,1 wk ahead inc case,2021-03-27,01079,point,,33.98
2021-03-21,1 wk ahead inc case,2021-03-27,01081,point,,125.11
2021-03-21,1 wk ahead inc case,2021-03-27,01083,point,,159.39
2021-03-21,1 wk ahead inc case,2021-03-27,01085,point,,13.59
2021-03-21,1 wk ahead inc case,2021-03-27,01087,point,,21.74
2021-03-21,1 wk ahead inc case,2021-03-27,01089,point,,328.29
2021-03-21,1 wk ahead inc case,2021-03-27,01091,point,,15.01
2021-03-21,1 wk ahead inc case,2021-03-27,01093,point,,71.81
2021-03-21,1 wk ahead inc case,2021-03-27,01095,point,,212.84
2021-03-21,1 wk ahead inc case,2021-03-27,01097,point,,442.72
2021-03-21,1 wk ahead inc case,2021-03-27,01099,point,,13.35
2021-03-21,1 wk ahead inc case,2021-03-27,01101,point,,456.53
2021-03-21,1 wk ahead inc case,2021-03-27,01103,point,,182.91
2021-03-21,1 wk ahead inc case,2021-03-27,01105,point,,4.86
2021-03-21,1 wk ahead inc case,2021-03-27,01107,point,,26.1
2021-03-21,1 wk ahead inc case,2021-03-27,01109,point,,46.78
2021-03-21,1 wk ahead inc case,2021-03-27,01111,point,,53.03
2021-03-21,1 wk ahead inc case,2021-03-27,01113,point,,63.02
2021-03-21,1 wk ahead inc case,2021-03-27,01115,point,,98.15
2021-03-21,1 wk ahead inc case,2021-03-27,01117,point,,313.57
2021-03-21,1 wk ahead inc case,2021-03-27,01119,point,,8.74
2021-03-21,1 wk ahead inc case,2021-03-27,01121,point,,141.1
2021-03-21,1 wk ahead inc case,2021-03-27,01123,point,,110.9
2021-03-21,1 wk ahead inc case,2021-03-27,01125,point,,262.49
2021-03-21,1 wk ahead inc case,2021-03-27,01127,point,,82.76
2021-03-21,1 wk ahead inc case,2021-03-27,01129,point,,22.42
2021-03-21,1 wk ahead inc case,2021-03-27,01131,point,,2.82
2021-03-21,1 wk ahead inc case,2021-03-27,01133,point,,105.78
2021-03-21,1 wk ahead inc case,2021-03-27,02016,point,,2.37
2021-03-21,1 wk ahead inc case,2021-03-27,02020,point,,318.83
2021-03-21,1 wk ahead inc case,2021-03-27,02050,point,,31.63
2021-03-21,1 wk ahead inc case,2021-03-27,02068,point,,3.29
2021-03-21,1 wk ahead inc case,2021-03-27,02070,point,,0.0
2021-03-21,1 wk ahead inc case,2021-03-27,02090,point,,62.92
2021-03-21,1 wk ahead inc case,2021-03-27,02122,point,,30.62
2021-03-21,1 wk ahead inc case,2021-03-27,02150,point,,3.04
2021-03-21,1 wk ahead inc case,2021-03-27,02164,point,,0.0
