,quantile,value,type,location,target,forecast_date
0,0.010,6,quantile,02,1 wk ahead cum death,2020-04-26
1,0.025,7,quantile,02,1 wk ahead cum death,2020-04-26
2,0.050,8,quantile,02,1 wk ahead cum death,2020-04-26
3,0.100,9,quantile,02,1 wk ahead cum death,2020-04-26
4,0.150,10,quantile,02,1 wk ahead cum death,2020-04-26
5,0.200,10,quantile,02,1 wk ahead cum death,2020-04-26
6,0.250,11,quantile,02,1 wk ahead cum death,2020-04-26
7,0.300,11,quantile,02,1 wk ahead cum death,2020-04-26
8,0.350,11,quantile,02,1 wk ahead cum death,2020-04-26
9,0.400,12,quantile,02,1 wk ahead cum death,2020-04-26
10,0.450,12,quantile,02,1 wk ahead cum death,2020-04-26
11,0.500,12,quantile,02,1 wk ahead cum death,2020-04-26
12,NA,12,point,02,1 wk ahead cum death,2020-04-26
13,0.550,13,quantile,02,1 wk ahead cum death,2020-04-26
14,0.600,13,quantile,02,1 wk ahead cum death,2020-04-26
15,0.650,14,quantile,02,1 wk ahead cum death,2020-04-26
16,0.700,14,quantile,02,1 wk ahead cum death,2020-04-26
17,0.750,15,quantile,02,1 wk ahead cum death,2020-04-26
18,0.800,15,quantile,02,1 wk ahead cum death,2020-04-26
19,0.850,16,quantile,02,1 wk ahead cum death,2020-04-26
20,0.900,16,quantile,02,1 wk ahead cum death,2020-04-26
21,0.950,18,quantile,02,1 wk ahead cum death,2020-04-26
22,0.975,19,quantile,02,1 wk ahead cum death,2020-04-26
23,0.990,20,quantile,02,1 wk ahead cum death,2020-04-26
24,0.010,6,quantile,02,2 wk ahead cum death,2020-04-26
25,0.025,8,quantile,02,2 wk ahead cum death,2020-04-26
26,0.050,8,quantile,02,2 wk ahead cum death,2020-04-26
27,0.100,10,quantile,02,2 wk ahead cum death,2020-04-26
28,0.150,10,quantile,02,2 wk ahead cum death,2020-04-26
29,0.200,11,quantile,02,2 wk ahead cum death,2020-04-26
30,0.250,11,quantile,02,2 wk ahead cum death,2020-04-26
31,0.300,12,quantile,02,2 wk ahead cum death,2020-04-26
32,0.350,12,quantile,02,2 wk ahead cum death,2020-04-26
33,0.400,13,quantile,02,2 wk ahead cum death,2020-04-26
34,0.450,13,quantile,02,2 wk ahead cum death,2020-04-26
35,0.500,14,quantile,02,2 wk ahead cum death,2020-04-26
36,NA,14,point,02,2 wk ahead cum death,2020-04-26
37,0.550,14,quantile,02,2 wk ahead cum death,2020-04-26
38,0.600,15,quantile,02,2 wk ahead cum death,2020-04-26
39,0.650,15,quantile,02,2 wk ahead cum death,2020-04-26
40,0.700,15,quantile,02,2 wk ahead cum death,2020-04-26
41,0.750,16,quantile,02,2 wk ahead cum death,2020-04-26
42,0.800,17,quantile,02,2 wk ahead cum death,2020-04-26
43,0.850,17,quantile,02,2 wk ahead cum death,2020-04-26
44,0.900,18,quantile,02,2 wk ahead cum death,2020-04-26
45,0.950,19,quantile,02,2 wk ahead cum death,2020-04-26
46,0.975,21,quantile,02,2 wk ahead cum death,2020-04-26
47,0.990,22,quantile,02,2 wk ahead cum death,2020-04-26
48,0.010,7,quantile,02,3 wk ahead cum death,2020-04-26
49,0.025,8,quantile,02,3 wk ahead cum death,2020-04-26
50,0.050,9,quantile,02,3 wk ahead cum death,2020-04-26
51,0.100,10,quantile,02,3 wk ahead cum death,2020-04-26
52,0.150,11,quantile,02,3 wk ahead cum death,2020-04-26
53,0.200,12,quantile,02,3 wk ahead cum death,2020-04-26
54,0.250,12,quantile,02,3 wk ahead cum death,2020-04-26
55,0.300,13,quantile,02,3 wk ahead cum death,2020-04-26
56,0.350,13,quantile,02,3 wk ahead cum death,2020-04-26
57,0.400,14,quantile,02,3 wk ahead cum death,2020-04-26
58,0.450,14,quantile,02,3 wk ahead cum death,2020-04-26
59,0.500,15,quantile,02,3 wk ahead cum death,2020-04-26
60,NA,15,point,02,3 wk ahead cum death,2020-04-26
61,0.550,15,quantile,02,3 wk ahead cum death,2020-04-26
62,0.600,16,quantile,02,3 wk ahead cum death,2020-04-26
63,0.650,16,quantile,02,3 wk ahead cum death,2020-04-26
64,0.700,17,quantile,02,3 wk ahead cum death,2020-04-26
65,0.750,17,quantile,02,3 wk ahead cum death,2020-04-26
66,0.800,18,quantile,02,3 wk ahead cum death,2020-04-26
67,0.850,19,quantile,02,3 wk ahead cum death,2020-04-26
68,0.900,20,quantile,02,3 wk ahead cum death,2020-04-26
69,0.950,23,quantile,02,3 wk ahead cum death,2020-04-26
70,0.975,25,quantile,02,3 wk ahead cum death,2020-04-26
71,0.990,32,quantile,02,3 wk ahead cum death,2020-04-26
72,0.010,6,quantile,02,4 wk ahead cum death,2020-04-26
73,0.025,8,quantile,02,4 wk ahead cum death,2020-04-26
74,0.050,9,quantile,02,4 wk ahead cum death,2020-04-26
75,0.100,10,quantile,02,4 wk ahead cum death,2020-04-26
76,0.150,11,quantile,02,4 wk ahead cum death,2020-04-26
77,0.200,12,quantile,02,4 wk ahead cum death,2020-04-26
