quantile,value,type,location,target,forecast_date,target_end_date
0.010,4385,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.025,4640,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.050,4808,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.100,5082,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.150,5243,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.200,5392,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.250,5497,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.300,5618,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.350,5732,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.400,5819,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.450,5932,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.500,6050,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
,6050,point,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.550,6151,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.600,6251,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.650,6337,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.700,6474,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.750,6642,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.800,6798,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.850,6954,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.900,7163,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.950,7576,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.975,7922,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.990,8221,quantile,US,1 wk ahead inc death,2021-04-04,2021-04-10
0.010,3910,quantile,US,2 wk ahead inc death,2021-04-04,2021-04-17
0.025,4122,quantile,US,2 wk ahead inc death,2021-04-04,2021-04-17
0.050,4314,quantile,US,2 wk ahead inc death,2021-04-04,2021-04-17
0.100,4558,quantile,US,2 wk ahead inc death,2021-04-04,2021-04-17
