location,target_end_date,quantile,value,forecast_date,horizon
01,2022-12-03,0.010,42.24935408033736,2022-12-04,-1
02,2022-12-03,0.010,2.550758600327816,2022-12-04,-1
04,2022-12-03,0.010,143.4314533982968,2022-12-04,-1
05,2022-12-03,0.010,19.31632176867474,2022-12-04,-1
06,2022-12-03,0.010,613.7468415003002,2022-12-04,-1
08,2022-12-03,0.010,75.09106984845815,2022-12-04,-1
09,2022-12-03,0.010,47.94526944154228,2022-12-04,-1
10,2022-12-03,0.010,7.7147014442924,2022-12-04,-1
11,2022-12-03,0.010,6.6921035013304575,2022-12-04,-1
12,2022-12-03,0.010,172.8188390111615,2022-12-04,-1
13,2022-12-03,0.010,81.5267640086348,2022-12-04,-1
15,2022-12-03,0.010,5.470214333843677,2022-12-04,-1
16,2022-12-03,0.010,13.019079008342539,2022-12-04,-1
17,2022-12-03,0.010,179.08731092197021,2022-12-04,-1
18,2022-12-03,0.010,80.85293605992113,2022-12-04,-1
19,2022-12-03,0.010,22.922752934244492,2022-12-04,-1
20,2022-12-03,0.010,31.596306118490393,2022-12-04,-1
21,2022-12-03,0.010,42.54961145463681,2022-12-04,-1
22,2022-12-03,0.010,46.80476966044172,2022-12-04,-1
23,2022-12-03,0.010,3.6414254743157297,2022-12-04,-1
24,2022-12-03,0.010,43.89463268220047,2022-12-04,-1
25,2022-12-03,0.010,76.293413242376,2022-12-04,-1
26,2022-12-03,0.010,97.01060154009775,2022-12-04,-1
27,2022-12-03,0.010,53.6291123267121,2022-12-04,-1
28,2022-12-03,0.010,14.732732108565193,2022-12-04,-1
29,2022-12-03,0.010,82.22938702060182,2022-12-04,-1
30,2022-12-03,0.010,7.547853404549531,2022-12-04,-1
31,2022-12-03,0.010,23.805660330127015,2022-12-04,-1
32,2022-12-03,0.010,30.115294361180542,2022-12-04,-1
33,2022-12-03,0.010,7.543926354244038,2022-12-04,-1
34,2022-12-03,0.010,135.370033105958,2022-12-04,-1
35,2022-12-03,0.010,18.564493224806334,2022-12-04,-1
36,2022-12-03,0.010,322.28562680223513,2022-12-04,-1
37,2022-12-03,0.010,56.545351794068075,2022-12-04,-1
38,2022-12-03,0.010,4.228719369307803,2022-12-04,-1
39,2022-12-03,0.010,173.93477091766425,2022-12-04,-1
40,2022-12-03,0.010,41.61045121404464,2022-12-04,-1
41,2022-12-03,0.010,32.041491705715444,2022-12-04,-1
42,2022-12-03,0.010,148.8898728797988,2022-12-04,-1
44,2022-12-03,0.010,4.673291944431739,2022-12-04,-1
45,2022-12-03,0.010,30.108886218553703,2022-12-04,-1
46,2022-12-03,0.010,4.763143786402556,2022-12-04,-1
