"forecast_date","target","target_end_date","location","type","quantile","value"
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","point",NA,91
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.01,60
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.025,65
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.05,71
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.1,72
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.15,75
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.2,77
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.25,79
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.3,81
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.35,82.5
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.4,85
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.45,90.5
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.5,91
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.55,93
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.6,94.5
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.65,97
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.7,100.5
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.75,103
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.8,106
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.85,107.5
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.9,114
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.95,120.5
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.975,130.5
2023-01-16,"1 day ahead inc hosp",2023-01-17,"01","quantile",0.99,137.5
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","point",NA,92
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.01,4.5
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.025,10.5
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.05,21
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.1,33
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.15,43.5
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.2,52
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.25,59
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.3,66
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.35,72
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.4,79
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.45,85
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.5,92
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.55,98
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.6,105
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.65,113
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.7,121
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.75,130.5
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.8,141
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.85,152.5
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.9,166
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.95,186.5
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.975,209
2023-01-16,"10 day ahead inc hosp",2023-01-26,"01","quantile",0.99,237.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","point",NA,92
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.01,3.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.025,7.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.05,18
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.1,31
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.15,41.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.2,50.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.25,58
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.3,65
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.35,71
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.4,78
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.45,85
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.5,92
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.55,98
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.6,106
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.65,114
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.7,123
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.75,132.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.8,143.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.85,155.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.9,170
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.95,191.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.975,214.5
2023-01-16,"11 day ahead inc hosp",2023-01-27,"01","quantile",0.99,244.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","point",NA,92
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.01,3
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.025,6
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.05,15
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.1,28.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.15,40
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.2,49
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.25,56.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.3,64
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.35,70.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.4,77
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.45,84
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.5,92
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.55,99
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.6,106.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.65,114.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.7,124
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.75,134.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.8,146
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.85,159
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.9,173.5
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.95,196
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.975,219
2023-01-16,"12 day ahead inc hosp",2023-01-28,"01","quantile",0.99,251
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","point",NA,92
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.01,2
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.025,5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.05,13
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.1,26.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.15,38
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.2,47.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.25,55.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.3,62.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.35,70
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.4,77
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.45,84
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.5,92
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.55,99
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.6,107
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.65,116
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.7,125.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.75,136.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.8,148.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.85,162
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.9,177.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.95,200.5
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.975,224
2023-01-16,"13 day ahead inc hosp",2023-01-29,"01","quantile",0.99,257
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","point",NA,92
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.01,1.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.025,4
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.05,10.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.1,24.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.15,36.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.2,46
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.25,54
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.3,61.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.35,69
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.4,76
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.45,84
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.5,92
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.55,100
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.6,108
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.65,116.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.7,126.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.75,137.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.8,150.5
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.85,165
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.9,181
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.95,205
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.975,229
2023-01-16,"14 day ahead inc hosp",2023-01-30,"01","quantile",0.99,263
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","point",NA,92
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.01,1
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.025,3.5
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.05,8
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.1,22.5
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.15,35
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.2,45
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.25,53
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.3,61
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.35,68
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.4,76
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.45,84
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.5,92
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.55,100
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.6,108.5
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.65,118
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.7,128
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.75,139.5
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.8,153
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.85,168
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.9,184.5
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.95,209
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.975,233.5
2023-01-16,"15 day ahead inc hosp",2023-01-31,"01","quantile",0.99,269.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","point",NA,92
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.01,0.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.025,2.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.05,5.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.1,20.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.15,33.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.2,43.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.25,51.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.3,60
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.35,67.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.4,75
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.45,83
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.5,92
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.55,100
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.6,109
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.65,119
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.7,129.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.75,141.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.8,155.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.85,170.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.9,187.5
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.95,213
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.975,239
2023-01-16,"16 day ahead inc hosp",2023-02-01,"01","quantile",0.99,274.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","point",NA,92
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.01,0.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.025,2
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.05,4.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.1,19
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.15,32
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.2,42.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.25,50.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.3,58.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.35,66.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.4,75
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.45,83
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.5,92
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.55,100
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.6,109.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.65,119.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.7,131
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.75,143.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.8,158.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.85,173
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.9,191
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.95,217.5
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.975,243
2023-01-16,"17 day ahead inc hosp",2023-02-02,"01","quantile",0.99,281
2023-01-16,"18 day ahead inc hosp",2023-02-03,"01","point",NA,92
2023-01-16,"18 day ahead inc hosp",2023-02-03,"01","quantile",0.01,0
2023-01-16,"18 day ahead inc hosp",2023-02-03,"01","quantile",0.025,1.5
2023-01-16,"18 day ahead inc hosp",2023-02-03,"01","quantile",0.05,3.5
2023-01-16,"18 day ahead inc hosp",2023-02-03,"01","quantile",0.1,17
2023-01-16,"18 day ahead inc hosp",2023-02-03,"01","quantile",0.15,30.5
