,forecast_date,target,target_end_date,location,type,quantile,value
1,2020-05-18,0 day ahead inc hosp,2020-05-18,01,point,,29.585475339464622
4,2020-05-18,1 day ahead inc hosp,2020-05-19,01,point,,29.387804939690056
7,2020-05-18,2 day ahead inc hosp,2020-05-20,01,point,,29.172027272019182
10,2020-05-18,3 day ahead inc hosp,2020-05-21,01,point,,28.93872678045125
13,2020-05-18,4 day ahead inc hosp,2020-05-22,01,point,,28.68852517101232
16,2020-05-18,5 day ahead inc hosp,2020-05-23,01,point,,28.422078049353466
18,2020-05-18,1 wk ahead inc death,2020-05-23,01,point,,71.50291411647774
19,2020-05-18,1 wk ahead cum death,2020-05-23,01,point,,545.844632376038
21,2020-05-18,6 day ahead inc hosp,2020-05-24,01,point,,28.140071454233762
24,2020-05-18,7 day ahead inc hosp,2020-05-25,01,point,,27.843218316572337
27,2020-05-18,8 day ahead inc hosp,2020-05-26,01,point,,27.53225487338652
30,2020-05-18,9 day ahead inc hosp,2020-05-27,01,point,,27.207937065208704
33,2020-05-18,10 day ahead inc hosp,2020-05-28,01,point,,26.871036944561556
36,2020-05-18,11 day ahead inc hosp,2020-05-29,01,point,,26.52233912175135
39,2020-05-18,12 day ahead inc hosp,2020-05-30,01,point,,26.16263727269027
41,2020-05-18,2 wk ahead inc death,2020-05-30,01,point,,66.70717929857861
42,2020-05-18,2 wk ahead cum death,2020-05-30,01,point,,612.5518116746166
44,2020-05-18,13 day ahead inc hosp,2020-05-31,01,point,,25.792730731689574
47,2020-05-18,14 day ahead inc hosp,2020-06-01,01,point,,25.413421190224966
50,2020-05-18,15 day ahead inc hosp,2020-06-02,01,point,,25.02550952059648
53,2020-05-18,16 day ahead inc hosp,2020-06-03,01,point,,24.62979274123529
56,2020-05-18,17 day ahead inc hosp,2020-06-04,01,point,,24.227061138175817
59,2020-05-18,18 day ahead inc hosp,2020-06-05,01,point,,23.81809555495025
62,2020-05-18,19 day ahead inc hosp,2020-06-06,01,point,,23.403664860911523
64,2020-05-18,3 wk ahead inc death,2020-06-06,01,point,,60.407625402326545
65,2020-05-18,3 wk ahead cum death,2020-06-06,01,point,,672.9594370769431
67,2020-05-18,20 day ahead inc hosp,2020-06-07,01,point,,22.98452360578361
70,2020-05-18,21 day ahead inc hosp,2020-06-08,01,point,,22.561409866085924
73,2020-05-18,22 day ahead inc hosp,2020-06-09,01,point,,22.135043287021638
76,2020-05-18,23 day ahead inc hosp,2020-06-10,01,point,,21.70612332147644
79,2020-05-18,24 day ahead inc hosp,2020-06-11,01,point,,21.2753276659508
82,2020-05-18,25 day ahead inc hosp,2020-06-12,01,point,,20.843310891574674
85,2020-05-18,26 day ahead inc hosp,2020-06-13,01,point,,20.410703266813808
87,2020-05-18,4 wk ahead inc death,2020-06-13,01,point,,53.25806296659265
88,2020-05-18,4 wk ahead cum death,2020-06-13,01,point,,726.2175000435358
